ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001600095-24-000020	179088	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000019	179091	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000018	179092	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000017	179080	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000016	179094	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000015	179100	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000014	179085	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000013	179072	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000012	179096	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000011	179073	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000010	179087	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000009	179086	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000008	179068	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000007	179098	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000006	179093	0000927971				BANK OF MONTREAL /CAN/
0001600095-24-000005	179095	0000927971				BANK OF MONTREAL /CAN/
0001085146-24-002674	179071	0001692234	028-17598			Russell Investments Group, Ltd.
0001085146-24-002674	179070	0001390777	028-12592			Bank of New York Mellon Corp
0000950123-24-005988	179075		028-15014			Allianz Asset Management GmbH
0000950123-24-005986	179089		028-15014			Allianz Asset Management GmbH
0000950123-24-005983	179078		028-15014			Allianz Asset Management GmbH
0000950123-24-005980	179081		028-15014			Allianz Asset Management GmbH
0000950123-24-005979	179104		028-15014			Allianz Asset Management GmbH
0000950123-24-005975	179084		028-15014			Allianz Asset Management GmbH
0000950123-24-005973	179105		028-15014			Allianz Asset Management GmbH
0000950123-24-005971	179082		028-15014			Allianz Asset Management GmbH
0000950123-24-005969	179077		028-15014			Allianz Asset Management GmbH
0000950123-24-005962	179069		028-15014			Allianz Asset Management GmbH
0000950123-24-005960	179102		028-15014			Allianz Asset Management GmbH
0000950123-24-005959	179076		028-15014			Allianz Asset Management GmbH
0000950123-24-005955	179099		028-15014			Allianz Asset Management GmbH
0000950123-24-005951	179101		028-15014			Allianz Asset Management GmbH
0000950123-24-005950	179066		028-15014			Allianz Asset Management GmbH
0000950123-24-005937	179067		028-15014			Allianz Asset Management GmbH
0000950123-24-005936	179103		028-15014			Allianz Asset Management GmbH
0000950123-24-005921	179083		028-15014			Allianz Asset Management GmbH
0000950123-24-005913	179090		028-15014			Allianz Asset Management GmbH
0000950123-24-005911	179079		028-15014			Allianz Asset Management GmbH
0000950123-24-005910	179074		028-15014			Allianz Asset Management GmbH
0000950123-24-005904	179097		028-15014			Allianz Asset Management GmbH
0000950123-24-005897	177581		028-15014			Allianz Asset Management GmbH
0000950123-24-005895	176820		028-15014			Allianz Asset Management GmbH
0001905627-24-000003	178534	0001730242				55I, LLC
0001905627-24-000003	178535	0001697723	028-17779	000282580	801-107319	AE Wealth Management LLC
0001905627-24-000003	178536	0001599584	028-15771	000141413	801-68010	Brookstone Capital Management
0001905627-24-000003	178537	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001905627-24-000003	178538	0001812090				Vise Technologies, Inc.
0001905627-24-000002	177755	0001697723	028-17779	000282580	801-107319	AE Wealth Management LLC
0001905627-24-000002	177754	0001730242				55I, LLC
0001905627-24-000002	177758	0001812090				Vise Technologies, Inc.
0001905627-24-000002	177756	0001599584	028-15771	000141413	801-68010	Brookstone Capital Management
0001905627-24-000002	177757	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
