ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001905128-24-000008	188634		028-04557			Wellington
0001905128-24-000008	188633		028-07104			WCM
0001905128-24-000008	188632		028-03459			Smith Group
0001905128-24-000008	188631		028-01185			Frontier
0001905128-24-000008	188630		028-02204			Brandywine
0001905128-24-000008	188629		028-10562			AllianceBernstein
0001624489-24-000009	188640	0001538449	028-14623			Mawer Investment Management Ltd.
0001624489-24-000009	188639	0001364615	028-11964			Aperio Group, LLC
0001624489-24-000009	188638	0001591546	028-15835			Pacific Ridge Capital Partners, LLC
0001624489-24-000009	188637	0001310051	028-11012			Pier Capital, LLC
0001624489-24-000009	188636	0001341401	028-11487			River Road Asset Management, LLC
0001624489-24-000009	188641	0001386060	028-12484			Boston Partners
0001624489-24-000009	188635	0000938206	028-04207			DRIEHAUS CAPITAL MANAGEMENT LLC
0000038777-24-000215	188621	0000829108	028-02204	000110783	801-27797	Brandywine Global Investment Management, LLC
0000038777-24-000215	188622	0001499094	028-16543	000151223	801-70506	ClearBridge Investments Ltd
0000038777-24-000215	188623	0001348883	028-11611	000137028	801-64710	Clearbridge Investments, LLC
0000038777-24-000215	188628	0001138897	028-10245	000110441	801-8162	Western Asset Management Company, LLC
0000038777-24-000215	188625	0001094499	028-13902			MARTIN CURRIE LTD
0000038777-24-000215	188626	0001423442	028-12966	000144594	801-68177	O'SHAUGHNESSY ASSET MANAGEMENT, LLC
0000038777-24-000215	188627	0000906304	028-03780	000107689	801-8268	ROYCE & ASSOCIATES LP
0000038777-24-000215	188624	0001621157	028-17321	000147281	801-71411	Lexington Partners L.P.
0000950123-24-012068	188601		028-05050	000106793	801-48923	Oaktree Capital Management, L.P.
0000950123-24-012068	188602		028-21340	000290193	801-112570	Oaktree Fund Advisors, LLC
0000950123-24-012066	188593		028-21340	000290193	801-112570	Oaktree Fund Advisors, LLC
0000950123-24-012066	188592		028-05050	000106793	801-48923	Oaktree Capital Management, L.P.
0000950123-24-012064	188599		028-05050	000106793	801-48923	Oaktree Capital Management, L.P.
0000950123-24-012064	188600		028-21340	000290193	801-112570	Oaktree Fund Advisors, LLC
0002037214-24-000002	188598	0000927971				BANK OF MONTREAL /CAN/
0001172661-24-005355	188586	0001364615	028-11964	000111616	801-57184	Aperio Group, LLC
0001172661-24-005355	188587	0001759654	028-19308	000298733	801-114071	Quantinno Capital Management LP
0001172661-24-005355	188588	0001780570	028-19978	000282827	801-107290	Ethic Inc.
0001172661-24-005354	188597	0001780570	028-19978	000282827	801-107290	Ethic Inc.
0001172661-24-005354	188595	0001364615	028-11964	000111616	801-57184	Aperio Group, LLC
0001172661-24-005354	188596	0001759654	028-19308	000298733	801-114071	Quantinno Capital Management LP
0001085146-24-005999	188582	0001352187	028-11680	000104796	801-28445	Clark Capital Management Group, Inc.
0001085146-24-005999	188581	0001353099		000167626	801-107723	Aptus Capital, LLC
0001673995-24-000011	188594	0001970075	028-23257			LBP AM SA
0001420506-24-002601	188589		028-12194			BlackRock Investment Management (uk) Ltd.
0001420506-24-002601	188591		028-02682			UBS ASSET MANAGEMAENT AMERICAS INC
0001420506-24-002601	188590		028-11326			State Street Global Advisors LTD
0001420506-24-002599	188583		028-12194			BlackRock Investment Management (uk) Ltd.
0001420506-24-002599	188585		028-02682			UBS ASSET MANAGEMAENT AMERICAS INC
0001420506-24-002599	188584		028-11326			State Street Global Advisors LTD
0001085146-24-005989	188466	0001457320	028-19670	000151197	801-70485	EXCHANGE TRADED CONCEPTS, LLC
0001977052-24-000008	188422	0001540235	028-14616	000105348	801-18564	Creative Planning
0001654954-24-014603	188458	0000048966	028-19611			COWEN AND COMPANY, LLC
0001654954-24-014603	188457	0001056053	028-05987			TD ASSET MANAGEMENT INC
0001654954-24-014603	188462	0001475770	028-13626			Cowen Investment Management LLC
0001654954-24-014603	188459	0001999606	028-23436			TD Waterhouse Canada Inc.
0001654954-24-014603	188460	0001551017	028-24317			TD PRIVATE CLIENT WEALTH LLC
0001654954-24-014603	188461	0001305841	028-10968			Epoch Investment Partners, Inc.
0002045083-24-000001	188451	0001651424	028-17020	000331740		Quadrature Capital Ltd
0001654954-24-014562	188465	0000947263	028-11527			TORONTO DOMINION BANK
0000225602-24-000014	188439		028-19111			Baring Asset Management Korea Ltd
0000225602-24-000014	188438		028-15112	000105724	801-15160	Baring International Investment Ltd.
0000225602-24-000014	188437		028-00060	000106006	801-241	Barings LLC
0000225602-24-000014	188440		028-20060			Baring SICE (Taiwan) Limited
0000225602-24-000014	188436		028-16290	000108513	801-56176	Baring Asset Management (Asia) Ltd.
0000225602-24-000014	188435		028-16289	000299118	802-114253	Baring Asset Management Ltd
0000225602-24-000014	188441		028-15866			MassMutual Private Wealth & Trust FSB
0000225602-24-000014	188442		028-16947	000010409	801-44264	MML Investors Services, LLC
0001418812-24-000022	188424	0001351069				ValueAct Capital Management, L.P.
0002035165-24-000003	188450			000120338	801-61115	EVANSTON CAPITAL MANAGEMENT, LLC
0002035165-24-000003	188449		028-03133	000105834	801-15323	KENNEDY CAPITAL MANAGEMENT
0002035165-24-000003	188448		028-21264	000306128	801-117641	CSM Advisors, LLC
0002035165-24-000003	188447		028-21352	000312148	801-120192	NSI Retail Advisors, LLC
0002035165-24-000003	188446		028-10104	000109678	801-63055	ALTRINSIC GLOBAL ADVISOR, LLC
0002035165-24-000003	188444		028-05637	000108254	801-14172	ADVISORY RESEARCH, INC.
0002035165-24-000003	188443		028-10860	000125523	801-61878	ALGERT GLOBAL LLC
0002035165-24-000003	188445		028-18686	000170939	801-79728	RED CEDAR INVESTMENT MANAGEMENT, LLC
0000950123-24-011985	188464		028-16678			Anson Funds Management LP
0002011050-24-000006	188453					Gabelli Asset Managementhwab Investment Management, Inc.
0002011050-24-000006	188454					Nuveen Asset Management, LLC
0002011050-24-000006	188455					Cullen Capital Management, LLC
0002011050-24-000006	188456					Charles Schwab Investment Management, Inc.
0002011050-24-000006	188452					CIBC Private Wealth Advisors, Inc
0001580642-24-006993	188405			000163833	801-76469	MKT Adviors, LLC
0001580642-24-006993	188406			000110216	801-13452	Meridian Investment Advisors
0001580642-24-006993	188407			000285967	801-118916	XY Investment Solutions
0001580642-24-006993	188408			000311298	801-119910	Transitus Wealth Partners, LLC
0001580642-24-006993	188409			000285359	801-108434	Bryn Mawr Capital Management, LLC
0001580642-24-006993	188410			000300279	801-114673	Inspire Advisors, LLC
