ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001905128-24-000008	6	256	1211895892	N
0001760444-24-000005	0	123016	132	N
0001493152-24-047983	0	1	378987	Y
0000038777-24-000215	19	12097	356094857262	
0001172661-24-005396	0	15	291160301	
0001172661-24-005395	0	14	226777483	
0001172661-24-005394	0	21	314938972	
0001172661-24-005393	0	24	471835636	
0001172661-24-005392	0	15	137449155	
0001172661-24-005391	0	18	118527957	
0001172661-24-005390	0	18	277365594	
0001172661-24-005389	0	14	291870115	
0001172661-24-005388	0	11	289696827	
0001172661-24-005387	0	16	454098238	
0001172661-24-005386	0	12	357347461	
0001172661-24-005385	0	9	187344973	
0001172661-24-005384	0	9	169136272	
0001172661-24-005383	0	10	156698127	
0001172661-24-005382	0	8	123633169	
0001172661-24-005381	0	8	306687424	
0001172661-24-005380	0	12	290334863	
0001172661-24-005379	0	16	319421130	
0001172661-24-005378	0	13	237827611	
0001172661-24-005377	0	11	314526566	
0001172661-24-005376	0	8	329546782	
0001172661-24-005375	0	8	283699897	
0001172661-24-005374	0	6	97599585	
0001172661-24-005373	0	11	365405792	
0001172661-24-005372	0	11	390824698	
0001172661-24-005371	0	6	133645094	
0001172661-24-005370	0	7	143216299	
0001172661-24-005369	0	11	235845098	
0001172661-24-005368	0	12	128562778	
0001172661-24-005367	0	13	107503835	
0001172661-24-005366	0	9	116142615	
0001172661-24-005365	0	5	36840210	
0001172661-24-005364	0	12	77622895	
0001172661-24-005363	0	13	227573221	
0001172661-24-005362	0	11	156112910	
0001172661-24-005361	0	8	115932047	
0001376474-24-000722	0	50	217152114	
0001376474-24-000720	0	106	961448203	
0002045579-24-000002	0	29	197362333	N
0001050743-24-000014	0	1197	6935888	
0001398344-24-021759	0	919	5671731568	
0001398344-24-021758	0	952	5222506130	
0001398344-24-021755	0	929	4464440513	
0001398344-24-021754	0	938	4740799290	
0001398344-24-021749	0	1027	6825513948	
0001398344-24-021746	0	968	1488079185	
0001398344-24-021742	0	934	4495885590	
0001398344-24-021740	0	873	7343248156	
0001398344-24-021737	0	874	7550195284	
0001398344-24-021736	0	884	5806817619	
0001628280-24-049151	1	62	3970773371	N
0001172661-24-005359	2	1496	8633901557	
0001832521-24-000010	0	59	237213929	N
0001172661-24-005358	0	26	103038873	
0001062993-24-019630	0	254	338247673	N
0000820434-24-000003	0	44	24890	N
0001600064-24-000008	4	2348	9460842607	N
0002011850-24-000005	0	122	221585349	N
0001580642-24-007108	0	153	610478605	
0000900974-24-000010	0	2709	5570750753	N
0001278573-24-000010	0	239	3225371456	
0001625959-24-000002	0	235	1735052242	N
0001697024-24-000005	0	42	147737340	N
0001512026-24-000006	0	274	1233572257	N
0001062993-24-019612	0	1189	3188860201	N
0001777271-24-000005	0	2369	15784004619	N
0001765380-24-000458	0	517	1652502148	N
0001398344-24-021400	0	872	5049499026	
0001398344-24-021392	0	856	2931665020	
0001398344-24-021398	0	853	5021207463	
0001398344-24-021402	0	898	5551737464	
0001398344-24-021404	0	876	5239690282	
0001398344-24-021396	0	922	3613280459	
0001398344-24-021394	0	892	4085492392	
0000950123-24-012068	1	1	5965500	N
0000950123-24-012066	1	1	18156000	N
0000950123-24-012064	1	1	9721850	N
0001993327-24-000006	0	25	120508314	N
0000892303-24-000017	0	662	3105688133	N
0001803397-24-000004	0	103	250720875	N
0001085146-24-006001	0	79	155321718	N
0002040263-24-000001	0	11	234009248	N
0001972322-24-000003	0	62	245753080	
0001398344-24-021124	0	840	2504922524	
0001398344-24-021122	0	844	1718829965	
0001172661-24-005355	1	464	2798498824	
0001172661-24-005354	1	447	2684635041	
0001398344-24-021119	0	980	2259543801	
0001398344-24-021117	0	1032	1876030802	
0001398344-24-021115	0	996	1882427543	
0001398344-24-021111	0	976	1786337077	
0001737888-24-000006	0	137	118363608	N
0001477872-24-000005	0	41	2283445754	N
0001737888-24-000007	0	137	118383608	N
0001634149-24-000040	0	1052	1059614117	N
0001832237-24-000007	0	83	564126	N
0001420506-24-002605	0	199	200374720	N
0001420506-24-002603	0	199	202925241	N
0001214659-24-019459	0	124	162356065	
0001632968-24-000004	0	131	1135175967	N
0001848237-24-000005	0	308	601520	N
0001983408-24-000013	0	127	6461539	N
0002045579-24-000001	0	29	135637142	N
0001983408-24-000012	0	134	3983325	N
0001062993-24-019448	0	68	84832864	N
0001999371-24-014905	0	1	2701000	
