ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001665018-20-000005	0	19	145887	N
0001665018-20-000004	0	16	113792	N
0001665018-20-000003	0	31	115256	N
0001665018-20-000002	0	20	113538	N
0001591379-20-000003	0	171	454646	N
0001591379-20-000002	0	189	797815	N
0001483260-20-000015	0	1	330358	N
0001172661-20-001430	0	1	7666	
0001172661-20-001431	0	1	41010	
0001104659-20-076049	0	1	264461	
0000905718-20-000605	0	32	110512	
0001756485-20-000006	0	55	160708	N
0001483066-20-000003	0	1588	20620569	N
0000093751-20-000860	11	3758	1143422225	N
0001482010-20-000006	0	1	330358	N
0001482010-20-000005	0	207	180224	N
0001482010-20-000004	0	488	437420	N
0001482010-20-000003	0	82	42445	N
0001779453-20-000007	0	38	338033	
0001779453-20-000006	0	42	408697	
0000909012-20-000094	0	91	109426	N
0000909012-20-000093	0	106	127481	N
0000919574-20-004168	0	52	723593	
0000919574-20-004167	0	33	158691	
0001011443-20-000014	0	1	17100	N
0001567619-20-012198	27	25058	207851832	N
0001571075-20-000003	0	32	108219	N
0001532155-20-000154	6	2549	19993978	N
0001596077-20-000002	0	133	117124	N
0000902664-20-002395	0	1	77518	
0001420506-20-000683	0	89	127540	N
0000862469-20-000002	0	906	1653651	N
0001812046-20-000002	0	104	144625	
0001085146-20-001666	0	65	95705	
0001085146-20-001665	0	65	84881	
0001085146-20-001664	0	64	79825	
0001085146-20-001663	0	809	703786	
0001062993-20-002771	0	513	553820	Y
0000891092-20-007521	0	222	1311795	
0000909012-20-000091	0	65	285716	N
0001652035-20-000003	0	220	197468	N
0001711200-20-000004	0	123	577982	N
0001104659-20-070266	0	8	189173	
0001104659-20-070265	0	4	362047	
0000909012-20-000088	0	47	109086	N
0001590491-20-000004	0	373	1220852	
0001534653-20-000006	1	1069	9888816	
0001639101-20-000010	0	8	166829	
0001547927-20-000002	0	10	8035025	N
0001214659-20-005405	0	276	838296	
0001214659-20-005398	0	215	520350	
0001214659-20-005402	0	259	709667	
0001214659-20-005391	0	149	341699	
0001214659-20-005395	0	152	381555	
0001214659-20-005411	0	187	865427	
0001214659-20-005409	0	196	816799	
0001214659-20-005403	0	267	762060	
0001214659-20-005412	0	196	1007286	
0001214659-20-005390	0	145	353769	
0001214659-20-005404	0	287	827039	
0001214659-20-005400	0	263	629538	
0001214659-20-005406	0	234	746247	
0001214659-20-005408	0	190	699309	
0001214659-20-005397	0	202	495625	
0001214659-20-005393	0	149	392258	
0001214659-20-005389	0	139	340546	
0001214659-20-005401	0	283	688160	
0001214659-20-005407	0	218	764085	
0001214659-20-005399	0	232	573311	
0001214659-20-005394	0	151	400548	
0001214659-20-005392	0	146	372689	
0001214659-20-005410	0	198	856669	
0001214659-20-005396	0	161	424207	
0001085146-20-001651	0	21	75635	N
0001767905-20-000002	0	3	135708	N
0001607045-20-000070	0	144	218752	N
0001636661-20-000007	1	343	5263776	N
0001437749-20-012299	1	289	135282	N
0001283072-20-000014	5	3812	9930166	N
0000923116-20-000004	0	84	37247	N
0001636661-20-000006	1	336	6799321	N
0001636661-20-000005	1	344	6250264	N
0001628280-20-008749	1	71	2784923	N
0001104659-20-068235	0	154	140854	
0001592613-20-000002	0	220	253987	N
0001172661-20-001426	0	2	40527	
0001214659-20-005139	0	59	230864	
0001172661-20-001423	0	2	14916	
0000921895-20-001626	0	28	81874	
0000805870-20-000006	0	164	78694	N
0001802084-20-000005	0	305	98490	N
0001532155-20-000150	2	646	3422437	N
0000779519-20-000002	0	22	42215	N
0001104659-20-066873	0	11	81136	
0001418342-20-000006	0	63	110168	N
0001398344-20-011576	0	7302	150243	
0001398344-20-011574	0	6988	149854	
0001398344-20-011572	0	6912	139480	
0001398344-20-011570	0	7086	136727	
0001398344-20-011568	0	7399	128681	
0001398344-20-011567	0	7926	149796	
0001398344-20-011563	0	6968	138254	
0001508097-20-000004	0	40	24380665	N
0001811783-20-000002	0	92	190964	
