ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001597850-20-000004	29347	0001402568	028-12524			BlueBay Asset Management LLP
0001597850-20-000004	29346	0001261239	028-11701			FLAHERTY & CRUMRINE INC
0001597850-20-000004	29348	0001026710	028-05876			GRANAHAN INVESTMENT MANAGEMENT INC/MA
0001481057-20-000196	12824	0000931151				T. Rowe Price U.S. Equity Research Fund, Inc.
0001481057-20-000196	12825	0000810893				PIMCO FUNDS
0001481057-20-000196	12826	0000880195				FIDELITY ABERDEEN STREET TRUST
0001481057-20-000196	12827	0000722574				FIDELITY ADVISOR SERIES I
0001481057-20-000196	12828	0000744822				FIDELITY INVESTMENT TRUST
0001481057-20-000196	12829	0001261788				Trust for Advised Portfolios
0001481057-20-000196	12830	0000898745				PRINCIPAL FUNDS INC
0001481057-20-000196	12831	0000215829				FIDELITY SCHOOL STREET TRUST
0001481057-20-000196	12832	0000880366				LEGG MASON PARTNERS EQUITY TRUST
0001481057-20-000196	12833	0001020861				SUNAMERICA SERIES, INC.
0001481057-20-000196	12834					PRINCIPAL FUNDS INC
0001481057-20-000196	12835					Kwasi D. Yeboah
0001481057-20-000196	12836					Stephen L. Bartolini
0001481057-20-000196	12837					Jeff Rottinghaus
0001481057-20-000196	12838					Jerome A Clark
0001481057-20-000196	12839					Team Managed
0001481057-20-000196	12840					Daniel J. Ivascyn, Alfred T. Murata
0001481057-20-000196	12841					Andrew J. Dierdorf, Brett F. Sumsion
0001481057-20-000196	12842					Team Managed
0001481057-20-000196	12843					Jed Weiss
0001481057-20-000196	12844					Ronald T Bates, Aimee Eudy
0001481057-20-000196	12845					Noble Welch
0001481057-20-000196	12846					Michael R. Foggin, Matthew Bartlett
0001481057-20-000196	12847					Thomas Kruchten, Jeffery A. Schwarte
0001481057-20-000196	12848					Sam M. Peters, Albert Grosman
0001481057-20-000196	12849					Douglas A. Leoffler, Manisha Singh
0001481057-20-000196	12823	0001177017				T. Rowe Price Retirement Funds, Inc.
0001481057-20-000196	12822	0000706211				T. Rowe Price Growth & Income Fund, Inc.
0001481057-20-000196	12820	0000275309				FIDELITY CAPITAL TRUST
0001481057-20-000196	12821	0000080249				T. Rowe Price New Income Fund, Inc.
0000950123-20-009646	24847		028-13602			MU Investments Co., Ltd.
0000950123-20-009646	24866		028-14770			WESTPAC BANKING CORP
0000950123-20-009646	24849		028-13997			BROWN ADVISORY INC
0000950123-20-009646	24850		028-03697			SOUND SHORE MANAGEMENT INC
0000950123-20-009646	24851		028-04701			ABERDEEN ASSET MANAGEMENT PLC/UK
0000950123-20-009646	24852		028-19504			Levin Easterly Partners LLC
0000950123-20-009646	24853		028-02405			COHEN & STEERS CAPITAL MANAGEMENT INC
0000950123-20-009646	24854		028-14100			Sanders Capital, LLC
0000950123-20-009646	24855		028-00074			JENNISON ASSOCIATES LLC
0000950123-20-009646	24856		028-15414			AMP Capital Investors Ltd
0000950123-20-009646	24857		028-16230			Jackson Square Partners, LLC
0000950123-20-009646	24858		028-11022			Aberdeen Asset Management Asia Limited
0000950123-20-009646	24859		028-03743			Marathon Asset Management
0000950123-20-009646	24860		028-05734			Sands Capital Management, LLC
0000950123-20-009646	24861		028-17489			Coronation Investment Management
0000950123-20-009646	24862		028-13566			Mitsubishi UFJ Kokusai Asset Management Co., Ltd.
0000950123-20-009646	24863		028-18096			Mitsubishi UFJ Asset Management (UK) Ltd.
0000950123-20-009646	24864		028-00290			NORTHERN TRUST CORP
0000950123-20-009646	24865		028-17598			RUSSELL INVESTMENT GROUP LTD
0000950123-20-009646	24848		028-04395			BAILLIE GIFFORD OVERSEAS LTD
0000950123-20-009370	26922		028-19904			Mizuho Markets Cayman LP
0000950123-20-009370	26921		028-14335			MIZUHO SECURITIES USA LLC
0000950123-20-009368	19598		028-19904			Mizuho Markets Cayman LP
0000950123-20-009368	19597		028-14335			MIZUHO SECURITIES USA LLC
0000950123-20-009364	24886		028-14335			MIZUHO SECURITIES USA LLC
0001214659-20-007483	111137	0001786379	028-19583			Stonehage Fleming Financial Services Holdings Ltd
0000950123-20-009331	13313		028-17598			Russell Investments Group, Ltd
0001730083-20-000003	22626	0001569638	028-15330			M Holdings Securities, Inc.
0001785149-20-000003	23396	0001513006				MIZUHO SECURITIES USA LLC
0001172661-20-001886	30281	0001276525	028-10830			DIKER MANAGEMENT LLC
0001085146-20-002365	20137	0001085972	028-04395			BAILLIE GIFFORD OVERSEAS LTD
0001085146-20-002365	20141	0001317724	028-11450			Mondrian Investment Partners LTD
0001085146-20-002365	20139	0000902367	028-04871			BLAIR WILLIAM & CO/IL
0001085146-20-002365	20140	0000813917	028-02013			HARRIS ASSOCIATES L P
0001085146-20-002365	20136	0000748054	028-11918			AMERICAN CENTURY COMPANIES INC
0001085146-20-002365	20138	0001305227	028-12016			BlackRock Investment Management, LLC
0001085146-20-002363	13272	0001705438	028-18532			Siris Capital Group, LLC
0001667731-20-000316	13133	0001677560	028-17500			MEMBERS Trust Co
