ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0002031775-25-000001	0	161	220894407	N
0001628280-25-008999	1	66	4588043246	N
0002058285-25-000002	0	1350	144716239	N
0001667731-25-000316	0	201	110172589	
0001803156-25-000001	0	316	166695495	N
0002058325-25-000001	0	17	116381194	N
0001085146-25-001778	0	78	123752734	N
0002056922-25-000003	0	592	173877244	N
0002056922-25-000002	0	626	147882656	N
0002056922-25-000001	0	611	127943931	N
0000764068-25-000017	4	8406	380118367425	N
0002057170-25-000003	4	1006	50588707787	N
0001754960-25-000156	0	62	300641465	N
0001398739-25-000006	0	311	11715060	N
0001085146-25-001776	0	94	257663913	N
0001085146-25-001775	0	138	116314351	N
0001398344-25-003673	0	70	667532292	
0001437749-25-005464	0	173	150241134	N
0000320335-25-000015	0	2	358328908	
0001121914-25-000003	0	172	518464511	
0002027344-25-000002	0	5	627223043	N
0001951757-25-000276	1	79	241952663	N
0000943663-25-000059	1	10	387991381	
0002048581-25-000005	0	691	403101649	N
0002048581-25-000004	0	597	408032656	N
0002048581-25-000003	0	543	371776377	N
0002048581-25-000002	0	587	364444959	N
0002048581-25-000001	0	658	343135992	N
0001085146-25-001774	6	1551	16708418202	N
0001977500-25-000001	0	192	338584887	N
0001420506-25-000653	0	197	193751500	N
0001493152-25-008486	0	20	96455976	
0001104659-25-018020	0	89	361176000	
0001104659-25-018014	0	13	124721412	
0002056313-25-000002	0	332	212498729	
0001420506-25-000651	0	1	0	N
0001398344-25-003543	0	1056	508763668	
0001599390-25-000001	0	50	305350	N
0001754960-25-000155	0	92	133162057	N
0001726752-25-000002	0	390	665514459	N
0001085146-25-001771	0	95	6086475530	N
0001540866-25-000003	0	12	641075747	N
0001172661-25-001342	0	114	67324625	
0002055297-25-000002	0	846	60248828	N
0001667731-25-000315	0	40	573072769	
0002033794-25-000001	0	148	150927185	N
0002011580-25-000002	0	76	215907252	N
0002011580-25-000001	0	29	200191097	N
0001831132-25-000002	0	27	305555094	N
0001754960-25-000154	0	10	206107124	N
0002054264-25-000009	0	93	379977704	N
0002054264-25-000008	0	94	392708438	N
0002054264-25-000006	0	103	426039199	N
0002054264-25-000005	0	103	449345886	N
0002054264-25-000004	0	104	460118385	N
0002054264-25-000003	0	107	495689535	N
0001085146-25-001770	0	59	66145381	N
0002011314-25-000001	0	186	558906	N
0001803397-25-000003	0	110	250720875	N
0001104659-25-017266	0	254	496688899	
0001803397-25-000002	0	107	253016287	N
0002058093-25-000001	0	18	189210912	N
0001085146-25-001768	0	69	139293390	N
0000950123-25-002905	0	2	385291661	N
0001986042-25-000006	0	381	204971323	N
0001632253-25-000001	0	61	234932	N
0001140361-25-005807	0	31	200480176	
0000946629-25-000002	0	160	118531512	N
0001213900-25-016975	0	1136	3050781898	
0001493152-25-008165	0	380	817074896	
0000908195-25-000005	0	296	1293655550	N
0001085146-25-001767	0	695	2093244382	N
0000898427-25-000008	6	2596	33616097121	
0001172661-25-001339	0	48	161140091	
0001326389-25-000142	0	667	8521150032	N
0001616328-25-000001	0	278	1516197	N
0001067926-25-000004	0	42	1548651	N
0000905148-25-000751	0	4	692267	
0001802635-25-000001	0	76	164595706	N
0001167376-25-000008	3	1	2438	
0001167376-25-000007	3	60	94595	N
0002011668-25-000001	0	103	153829002	N
0001976010-25-000001	0	51	105689751	N
0001172661-25-001337	0	71	95594162	
0001951757-25-000275	0	154	274107877	N
0001085146-25-001765	0	101	214379512	N
0001085146-25-001764	0	840	4466444538	N
0001085146-25-001763	0	105	402769769	N
0001085146-25-001762	0	104	388380547	N
0002057637-25-000001	0	1171	218360523	N
0002004873-25-000001	0	363	505568534	N
0001951757-25-000274	0	81	107721200	N
0001274419-25-000011	1	299	758420287	N
0002057602-25-000001	0	109	116108525	N
0001221073-25-000036	0	928	1331417121	
0001642274-25-000001	0	12	132629	N
0001908965-25-000002	0	215	143742770	N
0001398344-25-003226	0	166	145954882	
0001667731-25-000314	0	221	806675348	
0002056907-25-000001	0	321	112256205	N
0001172661-25-001336	0	68	639103262	
0001172661-25-001335	0	60	798639170	
0002057370-25-000006	0	21	164452500	N
0002057370-25-000005	0	20	182011833	N
0001437749-25-004716	0	168	137399304	N
0002057370-25-000004	0	21	157561352	N
0000902664-25-001158	3	28	391442230	
0002057370-25-000003	0	23	165527847	N
0001085146-25-001759	0	240	737065438	N
0002057370-25-000002	0	25	101227798	N
0001376474-25-000227	0	80	260534453	
0000820434-25-000001	0	46	21138684	N
0001697360-25-000001	0	76	459445857	N
0001062993-25-003138	0	77	177164241	N
0001062993-25-003136	0	89	1235838456	N
0001062993-25-003134	0	86	1153230353	N
0001062993-25-003132	0	82	1222634769	N
0001398344-25-003207	4	1309	43478010576	
0001667731-25-000313	0	96	146504996	
0001398344-25-003197	0	551	195265646	
0001398344-25-003188	0	258	462693155	
0001062993-25-003075	0	1691	76949507914	N
0001911832-25-000003	3	990	6035606006	N
0001754960-25-000152	0	24	92759082	N
0001667731-25-000312	0	153	381591890	
0001754960-25-000151	0	69	151486032	N
0001667731-25-000311	0	141	358113977	
0002057285-25-000001	0	36	130610000	N
0001667731-25-000310	0	146	323766309	
0001667731-25-000309	0	143	289813446	
0001667731-25-000308	0	132	255203079	
0001667731-25-000307	0	130	268191532	
0001667731-25-000306	0	123	239422204	
0001951757-25-000273	0	81	107721200	N
0001667731-25-000305	0	123	213560324	
0001667731-25-000304	0	124	231569971	
0001667731-25-000303	0	123	229854540	
0001667731-25-000302	0	158	314057987	
0001667731-25-000301	0	154	357503008	
0001667731-25-000300	0	138	334434593	
0001667731-25-000299	0	141	311463749	
0001667731-25-000298	0	127	265826359	
0001667731-25-000297	0	114	239124224	
0001667731-25-000296	0	114	204344423	
0001667731-25-000295	0	85	168022120	
0001667731-25-000294	0	79	118048685	
0001667731-25-000293	0	88	138304635	
0001667731-25-000292	0	75	105358669	
0001667731-25-000291	0	102	126202943	
0001667731-25-000290	0	88	115054274	
0001667731-25-000289	0	64	77075469	
0001940660-25-000001	0	54	103059	N
0001828064-25-000002	0	30	158368	N
0001214659-25-003152	0	121	109238815	
0001667731-25-000284	0	83	142779550	
0001085146-25-001757	0	1	0	N
0001085146-25-001756	0	91	157384484	
0002056697-25-000001	0	96	147981645	N
0002031642-25-000002	0	151	433456827	N
0002054965-25-000001	0	38	33830543	N
0002051288-25-000006	0	48	168208219	N
0002051288-25-000005	0	45	163788588	N
0002051288-25-000004	0	46	153428698	N
0002051288-25-000003	0	42	146136405	N
