FILINGMANAGER_NAME,AAPL,AMD,AMZN,ASML,CRM,GOOGL,META,MSFT,NVDA,PANW,PLTR,SHOP,SNOW,TSLA
" CALDWELL SUTTER CAPITAL, INC.",0.5533667643355659,0.0006905462051082041,0.03143009626015933,0.0,0.004552938453091801,0.0,0.16360867844462657,0.2010877740800022,0.03147728864487778,0.009607317967921166,0.0011421739708188693,0.0001614257629668588,3.877030996511232e-05,0.002836225564896281
" FOGEL CAPITAL MANAGEMENT, INC.",0.1258475539109307,0.0,0.0,0.0,0.0,0.0,0.0,0.8592769383219304,0.009453965425465737,0.0,0.0,0.0,0.0,0.005421542341673166
 HARRIS ASSOCIATES L P,0.01361957888559645,0.0,0.3565476499970022,0.0,0.6210710198306657,0.0,0.008094671697483027,0.000550627429667324,0.00011645215958529131,0.0,0.0,0.0,0.0,0.0
 NEUBERGER BERMAN GROUP LLC,0.2468080742768642,0.01108795239769542,0.22369785646046061,0.05578369442953996,0.007284337491239332,0.0,0.01638669628147016,0.2891264209953862,0.1411522446134849,0.002590400225256124,4.263956787156109e-05,1.172766103046892e-05,5.176952731634541e-06,0.006022778646969415
" ONCE CAPITAL MANAGEMENT, LLC",0.1925164118409704,0.09853022569437021,0.08448029651820452,0.0,0.013088838166306856,0.0,0.0,0.08957469247705364,0.4486853028299206,0.0,0.0,0.0,0.06184832155478307,0.011275910918390721
&PARTNERS,0.3406932336189888,0.007805060875314098,0.11080212492310217,0.00805702077818667,0.012440805010020015,0.0,0.05353330982879919,0.2803500227275879,0.13984392775520285,0.015099544626671655,0.008576340106299844,0.0032308667934039022,0.0027781804577762925,0.016789562498646465
1 NORTH WEALTH SERVICES LLC,0.7580827156488129,0.0,0.08997782770955784,0.0,0.0,0.0,0.025031422370207498,0.0259341545526098,0.037543668431779594,0.0,0.0,4.860173265176903e-06,0.0,0.06342535111376721
"10-15 ASSOCIATES, INC.",0.29189440446232506,0.0,0.08755549856545225,0.0,0.0,0.0,0.0,0.6113497571687316,0.0,0.0,0.0,0.0,0.0,0.009200339803491
10Elms LLP,0.13582492245416913,0.0,0.42466249418093416,0.0,0.0,0.0,0.0,0.26024781294894406,0.1378021534297866,0.0,0.0,0.0,0.0,0.04146261698616606
11 Capital Partners LP,0.0,0.0,0.34355731900902675,0.21829192306205264,0.0,0.0,0.0,0.4381507579289206,0.0,0.0,0.0,0.0,0.0,0.0
12 West Capital Management LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"1248 Management, LLC",0.18167836336397944,0.019347707206504552,0.36260113712291436,0.0,0.0,0.0,0.04132706148974448,0.2607027514194877,0.0927375860779503,0.025632155794045288,0.0,0.0,0.0,0.015973237525373947
1492 Capital Management LLC,0.06413597074781209,0.26320567101717474,0.09016940240473034,0.0,0.0,0.0,0.11918093437026972,0.39810049699616873,0.06511524799097329,0.0,0.0,9.227647287105824e-05,0.0,0.0
14B Captial Management LP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1620 INVESTMENT ADVISORS, INC.",0.3865378557201092,0.001444823750666096,0.1011898428894848,0.0,0.003240401551353909,0.0,0.0021686593425864365,0.3682223519888417,0.004921517058158596,0.11515910145856373,3.7558999493337685e-05,0.008544785378114268,1.8598710338758673e-05,0.008514503152289314
1623 Capital LLC,0.4109972511022896,0.0,0.34222472451002495,0.1543849276925819,0.0,0.0,0.09237413493682975,1.1207279265369926e-05,3.635074780310506e-06,0.0,3.848596364827313e-06,0.0,2.708078632896079e-07,0.0
"17 CAPITAL PARTNERS, LLC",0.054199977032389116,0.007905509611160705,0.056584028300800865,0.001255527536614351,0.023031520974327573,0.0,0.6756683255279078,0.11832202580441588,0.041947255653159335,0.02108582955922437,0.0,0.0,0.0,0.0
1776 WEALTH LLC,0.445061585224429,0.0002685579657954809,0.41263931444475643,0.0,0.005053772629060413,0.0,0.0005004943908006689,0.09502069117054651,0.005920482427764011,0.0015381047131922997,0.0,0.0,0.0,0.0339969970336552
1776 Wealth LLC,0.3677424495876458,0.0,0.27069816534164315,0.0,0.026939811891183746,0.0,0.001911943770032368,0.11264000840700067,0.06002728061432116,0.009395901430884533,0.08620726748372402,0.0,0.0,0.06443717147356456
"180 WEALTH ADVISORS, LLC",0.1843601432133104,0.004865409238337012,0.1294285040403341,0.006445779732912644,0.023154838999687625,0.0,0.0541145393545542,0.36577435281732035,0.13385193206957582,0.0026256297658275086,0.0011056989402853132,0.0014491962040155777,0.020505920526730583,0.0723180550971088
1832 Asset Management L.P.,0.15391938527361598,0.0050178400632224516,0.17866080265553477,0.021977811524891016,0.03415629222864703,0.0,0.06980578724366031,0.3613477592417598,0.1000787801544251,0.01988156588043795,0.006390059026585733,0.019084876434543093,0.023369514797889245,0.0063095254747874575
1834 INVESTMENT ADVISORS CO,0.4053159548576433,0.02371624172978559,0.07815699599268482,0.004872394200440627,0.010997348181542172,0.0,0.02683150592276039,0.384948101603626,0.04318236823978475,0.019310121406465108,0.0008003304295784988,0.0,0.0,0.0018686374356887095
"1858 WEALTH MANAGEMENT, LLC",0.2418597193009078,0.02409726554431991,0.10434446289731633,0.0,0.010007470427399424,0.0,0.12516153580817257,0.23354164968908783,0.1356530135904933,0.10242080808357558,0.0,0.0,0.002042966212510579,0.02087110844621667
"1888 Investments, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1900 WEALTH MANAGEMENT LLC,0.3914394111149374,0.0,0.22559710995828766,0.03234215469323012,0.008449473787224188,0.0,0.04396661749410625,0.25092775657130295,0.019624831334060334,0.022059271605569874,0.0,0.0,0.0,0.0055933734412812325
1ST SOURCE BANK,0.34688681529425963,0.002988177448951721,0.14736338037505445,0.0,0.012323415073991614,0.0,0.019349808654177018,0.3397353386866438,0.06945896919634936,0.06023577231076741,0.0,0.0,0.0,0.0016583229598050257
"20/20 Capital Management, Inc.",0.33692254254949633,0.03837692931128152,0.19982900045421753,0.0,0.003704990158619891,0.0,0.0,0.30441481639814394,0.06649388587561567,0.0,0.0,0.0018168701739386004,0.0,0.04844096507868651
25 LLC,0.5501425665466347,6.874017132249621e-05,0.13333481982077938,0.0,7.182056507359049e-05,0.0,0.03127500080149476,0.14909115233430936,0.06433572955583541,0.0004148816475993058,0.0,9.582394099557899e-05,1.3103521110424131e-05,0.07115636109484492
36 SOUTH CAPITAL ADVISORS LLP,0.0985283994076814,0.0,0.3770888784420497,0.0,0.1343940981279054,0.0,0.0,0.3899886240223635,0.0,0.0,0.0,0.0,0.0,0.0
"360 Financial, Inc.",0.2781500610306025,0.015376894179069836,0.07440519148740433,0.0,0.0031589284393850636,0.0,0.05519505096038796,0.2889625461270798,0.2725638277904737,0.0,0.005809694860507176,0.0,1.0477884159370341e-05,0.0063673272409302045
361 CAPITAL LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.6162807630697539,0.3837192369302461,0.0,0.0,0.0,0.0,0.0,0.0
"3Chopt Investment Partners, LLC",0.32646759709250783,0.0,0.0544408042872989,0.0,0.0024964224948844063,0.0,0.10174322115699913,0.1509137797339561,0.3436330652247113,0.0,0.0,0.0,0.0,0.02030511000964233
"3D ASSET MANAGEMENT, INC",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3D/L Capital Management, LLC",0.9984995232158155,0.0,0.0006747374657860396,0.0,0.0,0.0,0.0,0.0007954480741432727,0.0,0.0,0.0,0.0,0.0,3.0291244255265528e-05
"3EDGE Asset Management, LP",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3G Capital Partners LP,0.0,0.0,0.3382388379349522,0.0,0.0,0.0,0.5934620138676188,0.0004874065109869169,0.058921690257340176,0.0,0.0,0.0,0.008890051429102,0.0
3G Sahana Capital Management LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40 North Management LLC,0.0,0.0,0.177301996660675,0.0,0.0,0.0,0.0,0.8098568576457458,0.0,0.0,0.0,0.0,0.012841145693579246,0.0
400 Capital Management LLC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44 WEALTH MANAGEMENT LLC,0.26449582321675974,0.0,0.03810524798941389,0.023609292382380555,0.0,0.0,0.02539734043027798,0.6293121497971267,0.012426250998909594,0.0,0.0,0.0,0.0,0.006653895185131611
"49 WEALTH MANAGEMENT, LLC",0.4339343134812604,0.0,0.1351898873697502,0.0,0.013452640147338702,0.0,0.03765552428902783,0.22513243465959762,0.12498514808902433,0.00676465166990441,0.0,0.0,0.0,0.02288540029409651
4J Wealth Management LLC,0.2690434428266295,0.0,0.16508365932624985,0.0,0.0,0.0,0.05377192554125667,0.14453381747216829,0.26025937361624224,0.0,0.0,1.609424618415286e-05,0.0,0.10729168697126927
4Thought Financial Group Inc.,0.24425880522073612,0.0,0.0,0.0,0.0,0.0,0.0,0.31458458737685907,0.0,0.0,0.0,0.0,0.0,0.4411566074024048
"4WEALTH ADVISORS, INC.",0.2607022384777172,0.03871462191896678,0.11871763892973917,0.0,0.041406007376153034,0.0,0.06668324318065622,0.15695934623641147,0.21171973540523323,0.0,0.0,0.0,0.0,0.10509716847512295
"55I, LLC",0.41965921967460795,0.0053019599065512076,0.14556607864807017,0.0016997048249234085,0.008358630723388778,0.0,0.028066113621420478,0.30895457661262116,0.0278143054992096,0.0,0.001517843403326665,0.0,0.0,0.05306156708588056
"5T Wealth, LLC",0.1567621358030814,0.0,0.09582924105953082,0.0,0.0,0.0,0.09394874951390972,0.04030635159518725,0.16391747751238575,0.06170127660402842,0.38753476791187663,0.0,0.0,0.0
"5th Street Advisors, LLC",0.8562743365390368,0.0,0.0,0.0,0.0,0.0,0.0,0.015458213693144611,0.06301463410258958,0.0,0.0,0.0,0.0,0.06525281566522903
6 Meridian,0.14492818550807746,0.0,0.35839149874111836,0.0,0.0,0.0,0.025052192066805846,0.18039191090164594,0.26583458026826273,0.0,0.0,0.0,0.0,0.02540163251408962
"626 Financial, LLC",0.38395560493007036,0.0,0.20072347188928816,0.0,0.026906076834313827,0.0,0.005418335804687597,0.24584004681627672,0.1173266435166792,0.0,0.0,0.0,0.0,0.019829820208684134
6elm Capital LP,0.0,0.0,0.012678475626754436,0.0,0.0,0.0,0.9873215243732456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7G CAPITAL MANAGEMENT, LLC",0.9999789714681174,0.0,2.1028531882573364e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
