FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15897.0,16080.0,11233.0
 NEUBERGER BERMAN GROUP LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6921194.0,9714333.0,23345588.0,11429485.0,3877601.0
" ONCE CAPITAL MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13268778.0,14570304.0,12417212.0
&PARTNERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355299.0,2151878.0,5842068.0,7223846.0
"1248 Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035050.0
1492 Capital Management LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219049.0,0.0,300716.0,373614.0,373083.0,377876.0,283857.0
"1620 INVESTMENT ADVISORS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63934.0
"17 CAPITAL PARTNERS, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400688.0,392548.0,494701.0,0.0
1776 WEALTH LLC,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"180 WEALTH ADVISORS, LLC",0.0,0.0,0.0,0.0,390.0,520.0,545.0,600.0,691.0,512.0,421.0,428225.0,514749.0,528255.0,470093.0,456067.0,649223.0,739768.0,642373.0,469390.0
1832 Asset Management L.P.,59490.0,0.0,0.0,310518.0,93117.0,233268.0,20453.0,535268.0,80157.0,37205.0,55085.0,78675017.0,44946307.0,44894550.0,8219636.0,11846752.0,24745540.0,26937079.0,34510454.0,909549.0
1834 INVESTMENT ADVISORS CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074210.0,2222475.0,2131257.0,1784030.0,2313748.0,1561239.0,1327365.0,944773.0,695509.0
