FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",,,,,,,,,,,,,,,,,,inf,1.15,-30.14
 NEUBERGER BERMAN GROUP LLC,,,,,,,,,,,,,,,,inf,40.36,140.32,-51.04,-66.07
" ONCE CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,,,,,,inf,9.81,-14.78
&PARTNERS,,,,,,,,,,,,,,,,,inf,58.78,171.49,23.65
"1248 Management, LLC",,,,,,,,,,,,,,,,,,,,inf
1492 Capital Management LLC,,,,,,,,,,,,,,inf,-100.0,inf,24.24,-0.14,1.28,-24.88
"1620 INVESTMENT ADVISORS, INC.",,,,,,,,,,,,,,,,,,,,inf
"17 CAPITAL PARTNERS, LLC",,,,,,,,,,,,,,,,,inf,-2.03,26.02,-100.0
1776 WEALTH LLC,,inf,-100.0,,,,,,,,,,,,,,,,,
"180 WEALTH ADVISORS, LLC",,,,,inf,33.33,4.81,10.09,15.17,-25.9,-17.77,101616.15,20.21,2.62,-11.01,-2.98,42.35,13.95,-13.17,-26.93
1832 Asset Management L.P.,,-100.0,,inf,-70.01,150.51,-91.23,2517.06,-85.02,-53.58,48.06,142724.76,-42.87,-0.12,-81.69,44.13,108.88,8.86,28.12,-97.36
1834 INVESTMENT ADVISORS CO,,,,,,,,,,,,inf,106.89,-4.1,-16.29,29.69,-32.52,-14.98,-28.82,-26.38
"1858 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,0.0,40.1,4.8,-46.07
1ST SOURCE BANK,,,,,,,,,,,,,,inf,-2.25,46.68,37.2,-5.82,1.15,54.1
"20/20 Capital Management, Inc.",,62.53,-3.38,9.73,-11.63,24.61,-100.0,,,,,,,,,,,,,
25 LLC,,,,,,,,,,,,,inf,77.34,-100.0,,,,,
"360 Financial, Inc.",,,,,,,inf,55.98,-36.81,-100.0,,,,,,inf,22.44,-10.13,6.18,-100.0
"4WEALTH ADVISORS, INC.",,,,,,,,,,,,,,,,,,,,inf
"55I, LLC",,,,,,,inf,-100.0,,inf,82.03,-100.0,,,,,,,,
"9258 Wealth Management, LLC",,135.5,-15.21,15.33,-4.24,18.91,17.89,3.16,-18.08,-7.11,-21.34,97032.94,37.1,5.1,-10.83,632.98,-62.99,-6.09,6.57,-100.0
"A.R.T. Advisors, LLC",,,,,inf,-100.0,,,,,,,,,,,,,,
AAFMAA Wealth Management & Trust LLC,,,,inf,20.23,20.12,-14.16,-27.85,59.2,-65.18,-7.81,85621.69,-6.18,-34.85,-5.26,60.56,-33.63,-4.11,24.44,-20.98
ABEILLE ASSET MANAGEMENT SA,,,,,,,,,,,,inf,-100.0,,,,,,,
"ABLE Financial Group, LLC",,,,,,,,,,,,,,,,,,,inf,-100.0
"ABLES, IANNONE, MOORE & ASSOCIATES, INC.",,,,,,,,,,,,,,,,inf,-100.0,,,
ABNER HERRMAN & BROCK LLC,,inf,57.43,15.42,-8.38,15.75,8.57,36.91,-24.65,-100.0,,,,inf,-7.25,35.93,20.59,-5.92,-0.39,-25.44
