ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0002058285-25-000002,111862863,ADVANCED MICRO DEVICES INC,COM,007903107,,51940,430,SH,,SOLE,,0,0,430,advanced micro devices inc,"Park Square Financial Group, LLC",31-DEC-2024,,2024-12-31
0001132708-25-000001,109394903,ADVANCED MICRO DEVICES,COM,007903107,,1003282,8306,SH,,SOLE,,0,0,8306,advanced micro devices,NORTHSTAR ASSET MANAGEMENT Co LLC,31-DEC-2024,,2024-12-31
0001728681-25-000001,109375320,ADVANCED MICRO DEVICES,ADVANCED MICRO DEVICES,007903107,,11380,67942,SH,,SOLE,,67942,0,0,advanced micro devices,SYCOMORE ASSET MANAGEMENT,31-DEC-2024,,2024-12-31
0001802530-25-000002,109319131,ADVANCED MICRO DEVICES INC,COM,007903107,,392999,3254,SH,,SOLE,,2483,0,771,advanced micro devices inc,Soltis Investment Advisors LLC,31-DEC-2024,,2024-12-31
0001822587-25-000001,109373663,ADVANCED MICRO DEVICES INC COM,Common Stock,007903107,,33928,295,SH,,SOLE,,0,0,295,advanced micro devices inc com,Cornerstone Planning Group LLC,31-DEC-2024,,2024-12-31
0001085146-25-000573,109354165,ADVANCED MICRO DEVICES INC,COM,007903107,BBG001S5NN36,3705283,30676,SH,,SOLE,,13207,2628,14841,advanced micro devices inc,"Savant Capital, LLC",31-DEC-2024,,2024-12-31
0001398344-25-001317,109342777,ADVANCED MICRO DEVICES INC COM,Stock,007903107,,13131278,108712,SH,,SOLE,,108711,0,0,advanced micro devices inc com,Silicon Valley Capital Partners,31-DEC-2024,,2024-12-31
0001505207-25-000001,109319206,Advanced Micro Devices Inc,cs,007903107,,6965,57660,SH,,SOLE,,57660,0,0,advanced micro devices inc,THOMAS STORY & SON LLC,31-DEC-2024,,2024-12-31
0001976256-25-000001,109436452,ADVANCED MICRO DEVICES INC,COM,007903107,,9422,78,SH,,SOLE,,0,0,78,advanced micro devices inc,"ELEVATION WEALTH PARTNERS, LLC",31-DEC-2024,,2024-12-31
0002003557-25-000001,109434521,"Advanced Micro Devices, Inc.",Com,007903107,,240010,1987,SH,,SOLE,0,1987,0,0,"advanced micro devices, inc.",Harbour Trust & Investment Management Co,31-DEC-2024,,2024-12-31
