REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,"PRIMORIS WEALTH ADVISORS, LLC",4010850
31-DEC-2024,"Pines Wealth Management, LLC",560938
31-DEC-2024,"Second Line Capital, LLC",2579712
31-DEC-2024,"Second Half Financial Partners, LLC",339782
31-DEC-2024,"SeaCrest Wealth Management, LLC",3557990
31-DEC-2024,SeaBridge Investment Advisors LLC,415397
31-DEC-2024,"Scott & Selber, Inc.",1193
31-DEC-2024,Schonfeld Strategic Advisors LLC,50972171
31-DEC-2024,"Schechter Investment Advisors, LLC",928996
31-DEC-2024,"Schear Investment Advisers, LLC",2628390
31-DEC-2024,"Saxony Capital Management, LLC",450064
31-DEC-2024,"Savvy Advisors, Inc.",960047
31-DEC-2024,Savoie Capital LLC,26141976
31-DEC-2024,"Savant Capital, LLC",3705283
31-DEC-2024,Sava Infond d.o.o.,84553
31-DEC-2024,"Sargent Investment Group, LLC",1465561
31-DEC-2024,Sara-Bay Financial,369891
31-DEC-2024,"Sanibel Captiva Trust Company, Inc.",18777168
31-DEC-2024,Sandy Spring Bank,896694
31-DEC-2024,"Sandy Cove Advisors, LLC",589153
31-DEC-2024,"Sand Hill Global Advisors, LLC",2427709
31-DEC-2024,"Secure Asset Management, LLC",720150
31-DEC-2024,Seelaus Asset Management LLC,492823
31-DEC-2024,"Segment Wealth Management, LLC",1937230
31-DEC-2024,Sigma Planning Corp,5047786
31-DEC-2024,Simmons Bank,265497
31-DEC-2024,SilverOak Wealth Management LLC,403559
31-DEC-2024,Silver Coast Investments LLC,209209
31-DEC-2024,Silvant Capital Management LLC,1077809
31-DEC-2024,Silicon Valley Capital Partners,13131278
31-DEC-2024,Significant Wealth Partners LLC,261994
31-DEC-2024,"Signature Resources Capital Management, LLC",8335
31-DEC-2024,"SignalPoint Asset Management, LLC",281290
31-DEC-2024,Sienna Gestion,6648285
31-DEC-2024,Sellwood Investment Partners LLC,35271
31-DEC-2024,"Shum Financial Group, Inc.",621344
31-DEC-2024,Shepherd Financial Partners LLC,1036865
31-DEC-2024,"Sheaff Brock Investment Advisors, LLC",5232382
31-DEC-2024,Shay Capital LLC,4891995
31-DEC-2024,"SevenBridge Financial Group, LLC",684117
31-DEC-2024,"Serenus Wealth Advisors, LLC",254021
31-DEC-2024,"Sequoia Financial Advisors, LLC",7432096
31-DEC-2024,"Sendero Wealth Management, LLC",27782
31-DEC-2024,"Sanctuary Wealth Management, L.L.C.",362
31-DEC-2024,San Luis Wealth Advisors LLC,370
31-DEC-2024,"Salomon & Ludwin, LLC",2537
31-DEC-2024,SOMERVILLE KURT F,7991346
31-DEC-2024,STABLEFORD CAPITAL II LLC,688020
31-DEC-2024,ST GERMAIN D J CO INC,5860489
31-DEC-2024,"SRS Capital Advisors, Inc.",355365
31-DEC-2024,"SRN Advisors, LLC",1262014
31-DEC-2024,SPIRIT OF AMERICA MANAGEMENT CORP/NY,911965
31-DEC-2024,"SPC Financial, Inc.",434240
31-DEC-2024,SP Asset Management LLC,5685644
31-DEC-2024,SONATA CAPITAL GROUP INC,277
31-DEC-2024,SOMA EQUITY PARTNERS LP,29688974
31-DEC-2024,STATE OF MICHIGAN RETIREMENT SYSTEM,117110737
31-DEC-2024,"SOA Wealth Advisors, LLC.",1774088
