FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679854.0,568120.0,718722.0
 HARRIS ASSOCIATES L P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802084512.0,687050696.0,0.0
 NEUBERGER BERMAN GROUP LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152153020.0,182093249.0,382612970.0,183572316.0,215000006.0
" ONCE CAPITAL MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10416175.0,11068002.0,13031766.0
&PARTNERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779426.0,5852531.0,10225201.0,35716465.0,64273975.0,117427146.0
1 NORTH WEALTH SERVICES LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999541.0
"10-15 ASSOCIATES, INC.",2673.0,3771.0,4178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10Elms LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509020.0
11 Capital Partners LP,0.0,0.0,0.0,20382.0,27138.0,37591.0,42991.0,45304.0,31693.0,21183.0,28409.0,15398292.0,12884808.0,14410516.0,8142544.0,15855547.0,21732724.0,27733114.0,30615696.0,25554328.0
"1248 Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19398180.0
1492 Capital Management LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211222.0,203845.0,245497.0
"1620 INVESTMENT ADVISORS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,1004.0,325.0,341.0,266532.0,326087.0,410895.0,389496.0,468887.0,599763.0,632507.0,628422.0,752426.0
1623 Capital LLC,4759.0,6734.0,8816.0,10748.0,10210.0,11697.0,11169.0,11337.0,15974.0,7222.0,7774.0,5476800.0,6873950.0,8786264.0,8567888.0,10301532.0,12319954.0,13276275.0,0.0,0.0
"17 CAPITAL PARTNERS, LLC",0.0,0.0,0.0,0.0,0.0,1331.0,1284.0,1420.0,867.0,310.0,333.0,0.0,0.0,0.0,0.0,1172217.0,1741749.0,1998592.0,1956838.0,2343524.0
1776 WEALTH LLC,15222.0,11501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776 Wealth LLC,0.0,0.0,12963.0,13858.0,12748.0,14573.0,13958.0,15074.0,16033.0,10789.0,11578.0,8611.0,11052547.0,13885817.0,13564339.0,16383386.0,19463002.0,20756983.0,19219194.0,22377999.0
"180 WEALTH ADVISORS, LLC",7437.0,11184.0,11536.0,14173.0,16062.0,15984.0,16515.0,12882.0,14262.0,10432.0,10666.0,9476792.0,9988257.0,12494616.0,12266324.0,14128811.0,16777330.0,18251615.0,16937873.0,19927316.0
1832 Asset Management L.P.,444948.0,732590.0,572142.0,491031.0,578831.0,1255152.0,377705.0,385132.0,510245.0,292715.0,399013.0,299281836.0,572362942.0,1074912319.0,870618057.0,1131532278.0,1476383243.0,1560503992.0,1356329423.0,1518496038.0
1834 INVESTMENT ADVISORS CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2558611.0,4689908.0,5860757.0,5679625.0,5441768.0,5330994.0,5471294.0,5145317.0,6138752.0
"1858 WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2078691.0,2078691.0,3209883.0,3196305.0,3695186.0
