FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",,,,,,,,,,,,,,,,,,inf,-16.43,26.51
 HARRIS ASSOCIATES L P,,,,,,,,,,,,,,,,,,inf,-14.34,-100.0
 NEUBERGER BERMAN GROUP LLC,,,,,,,,,,,,,,,,inf,19.68,110.12,-52.02,17.12
" ONCE CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,,,,,,inf,6.26,17.74
&PARTNERS,,,,,,,,,,,,,,,inf,228.9,74.71,249.3,79.96,82.7
1 NORTH WEALTH SERVICES LLC,,,,,,,,,,,,,,,,,,,,inf
"10-15 ASSOCIATES, INC.",,41.08,10.79,-100.0,,,,,,,,,,,,,,,,
10Elms LLP,,,,,,,,,,,,,,,,,,,,inf
11 Capital Partners LP,,,,inf,33.15,38.52,14.37,5.38,-30.04,-33.16,34.11,54102.16,-16.32,11.84,-43.5,94.72,37.07,27.61,10.39,-16.53
"1248 Management, LLC",,,,,,,,,,,,,,,,,,,,inf
1492 Capital Management LLC,,,,,,,,,,,,,,,,,,inf,-3.49,20.43
"1620 INVESTMENT ADVISORS, INC.",,,,,,,,inf,0.0,-67.63,4.92,78061.88,22.34,26.01,-5.21,20.38,27.91,5.46,-0.65,19.73
1623 Capital LLC,,41.5,30.92,21.91,-5.01,14.56,-4.51,1.5,40.9,-54.79,7.64,70350.22,25.51,27.82,-2.49,20.23,19.59,7.76,-100.0,
"17 CAPITAL PARTNERS, LLC",,,,,,inf,-3.53,10.59,-38.94,-64.24,7.42,-100.0,,,,inf,48.59,14.75,-2.09,19.76
1776 WEALTH LLC,,-24.44,-100.0,,,,,,,,,,,,,,,,,
1776 Wealth LLC,,,inf,6.9,-8.01,14.32,-4.22,8.0,6.36,-32.71,7.31,-25.63,128253.81,25.63,-2.32,20.78,18.8,6.65,-7.41,16.44
"180 WEALTH ADVISORS, LLC",,50.38,3.15,22.86,13.33,-0.49,3.32,-22.0,10.71,-26.85,2.24,88750.48,5.4,25.09,-1.83,15.18,18.75,8.79,-7.2,17.65
1832 Asset Management L.P.,,64.65,-21.9,-14.18,17.88,116.84,-69.91,1.97,32.49,-42.63,36.31,74905.54,91.25,87.8,-19.01,29.97,30.48,5.7,-13.08,11.96
1834 INVESTMENT ADVISORS CO,,,,,,,,,,,,inf,83.3,24.97,-3.09,-4.19,-2.04,2.63,-5.96,19.31
"1858 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,0.0,54.42,-0.42,15.61
1900 WEALTH MANAGEMENT LLC,,,,,,inf,-4.5,42.61,-1.47,-34.56,6.11,74285.3,8.51,49.4,5.2,10.65,7.9,7.63,89.33,-37.44
1ST SOURCE BANK,,39.94,13.09,-7.54,-6.5,9.09,-3.42,0.96,-2.67,-35.86,19.4,73877.72,21.24,21.01,-3.0,19.35,17.67,7.73,-3.83,20.19
"20/20 Capital Management, Inc.",,32.17,2.19,25.93,-5.54,12.86,-100.0,,,,,,,,,,,,,
25 LLC,,,,,,,,,,,,,inf,28.68,-2.95,33.33,66.11,7.27,-1.72,33.28
36 SOUTH CAPITAL ADVISORS LLP,,,,inf,-100.0,inf,-2.68,-100.0,,,,,,,,,,,,
"360 Financial, Inc.",,53.74,-0.54,56.69,-12.57,11.2,11.71,4.67,-3.12,-63.11,-28.21,99985.71,-13.19,26.21,-50.5,133.33,20.68,7.14,1.19,14.65
"3Chopt Investment Partners, LLC",,,,,,,,,,,,inf,487.12,37.48,-100.0,inf,32.07,15.1,-3.2,22.27
"3D/L Capital Management, LLC",,,,inf,-100.0,,,,,,,,,,,,,,,
3G Capital Partners LP,,41.5,92.88,3.44,26.66,11.19,-55.24,-100.0,inf,-86.97,-33.5,118838.05,-100.0,,inf,9.4,18.72,7.13,28.56,-57.48
40 North Management LLC,,,,,inf,11.18,-100.0,,,,,,,,,,,,,
44 WEALTH MANAGEMENT LLC,,,,inf,-3.59,4.66,-4.01,4.64,-2.22,-17.98,14.73,66695.51,49.52,21.07,-100.0,,,,inf,19.3
"49 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,-20.69,19.63,12.86,21.97
4J Wealth Management LLC,,,,inf,-0.09,13.87,-3.05,7.08,1.6,-35.72,4.91,73197.37,15.14,21.53,-2.89,16.22,17.65,5.84,-4.65,13.88
"4WEALTH ADVISORS, INC.",,,,,,,,,,,,,,,,,,,,inf
"55I, LLC",,102.02,83.87,7.99,8.35,62.93,55.66,-19.71,26.69,-26.62,278.42,-100.0,,,,,,,,
"5T Wealth, LLC",,,,,,,,,,,,,,,,,,,,inf
6 Meridian,,-61.77,87.49,3.03,-2.94,7.44,-66.85,-0.23,-100.0,,,,,,,,,,,
"626 Financial, LLC",,,,,inf,-100.0,,inf,8.31,-35.21,32.44,99661.58,57.89,26.96,3.59,48.91,26.29,7.75,-7.39,18.49
6elm Capital LP,,,,,,,,inf,6.52,-100.0,inf,-100.0,,,,,,,,
"7G CAPITAL MANAGEMENT, LLC",,,,,,,,,inf,-34.84,6.38,-100.0,,,,,,,,
"9258 Wealth Management, LLC",,20.73,24.5,11.29,-7.27,9.95,-4.49,9.13,-3.08,-32.5,-0.6,68469.62,26.6,29.64,-3.35,263.55,-62.23,9.33,8.59,-100.0
"A&I FINANCIAL SERVICES, LLC",,,,,,,,,,,,,,,,,,,,inf
"A. D. Beadell Investment Counsel, Inc.",,,inf,198.64,83.56,43.12,3.3,19.07,27.74,-25.81,15.56,-31.27,23.78,10.57,-3.02,22.21,13.85,6.17,-7.41,15.48
"A.P. Gilfoyle & Co., L.P.",,,,,,,,,,,,,,,,inf,1484.46,20.13,-100.0,
"A.R.T. Advisors, LLC",,,,,inf,-100.0,,,,,,,,,,,,,,
"AA Financial Advisors, LLC",,,,,,,,,,,,,,,,inf,635.0,8.96,5.44,25.41
"AAF Wealth Management, LLC",,,,,,,inf,-100.0,inf,-53.69,11.89,79317.39,60.6,23.05,-2.88,19.52,-29.11,8.76,-3.84,38.26
AAFMAA Wealth Management & Trust LLC,,,,,inf,-100.0,inf,1.48,95.57,-67.42,6.4,74232.14,22.19,26.21,2.33,58.75,37.61,12.6,-52.24,2.56
ABEILLE ASSET MANAGEMENT SA,,,,,,,,inf,3594.47,-48.81,-27.61,152146.23,-100.0,,,,,,,
"ABLE Financial Group, LLC",,,,,,,,,,,,,inf,36.15,-4.1,25.77,20.45,7.84,-2.78,21.59
"ABLES, IANNONE, MOORE & ASSOCIATES, INC.",,,,,,,,,,,,,,,,inf,15.2,5.2,-5.94,15.33
ABNER HERRMAN & BROCK LLC,,38.69,13.72,3.02,-12.92,2.74,-6.05,-1.31,-4.03,-35.63,5.97,-17.95,10.29,513.45,0.58,18.42,17.02,6.96,-3.83,18.32
"ABOUND FINANCIAL, LLC",,,,,,,,,,,,,,,,,,,,inf
"ABSHER WEALTH MANAGEMENT, LLC",,46.33,9.82,-1.28,-4.99,1.75,-25.24,10.74,-12.7,-33.6,3.19,79197.3,22.81,25.69,8.62,17.5,14.88,5.47,5.01,26.56
"ABSOLUTE CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,,,,,inf,37.8,221.74,-70.33
ACADEMY CAPITAL MANAGEMENT,,,,,,,,,,,,,,,,,,,inf,17.92
ACADEMY CAPITAL MANAGEMENT INC/TX,,41.08,12.36,-100.0,inf,15.0,19.28,3.13,66.11,-33.12,62.72,95883.9,-99.91,117354.0,-3.49,18.29,18.21,6.87,-100.0,
"ACAS, LLC",,,,,inf,12.07,-2.74,19.1,-11.14,-10.94,-100.0,inf,22.03,23.29,-4.68,19.39,24.04,0.92,0.12,27.28
"ACCESS FINANCIAL SERVICES, INC.",,38.12,14.14,0.57,-100.0,inf,483.22,-100.0,,,,,,,,inf,18.72,8.93,-3.85,6.3
ACCIDENT COMPENSATION CORP,,301.42,-100.0,,,,,,,,,,,,,,,,,
ACCOUNT MANAGEMENT LLC,,,,,,,,inf,-5.39,-51.18,6.34,-100.0,inf,15.0,-4.75,16.97,18.72,2.19,-11.19,17.74
"ACCREDITED INVESTOR SERVICES, LLC",,,,,,,,,,,,,,,,,,,,inf
"ACCURATE INVESTMENT SOLUTIONS, INC.",,-100.0,,,,,,,,,,,,,,,,,,
ACG Wealth,,38.15,11.9,3.71,-4.63,9.08,-5.94,-28.89,-41.35,-32.8,1.88,-100.0,,,,,,,,
"ACIMA PRIVATE WEALTH, LLC",,41.62,14.12,3.51,-11.47,7.3,-4.42,-9.79,-4.93,65124.48,6.39,-25.66,92.59,26.21,-4.59,16.89,15.16,7.13,-3.58,17.74
ACORN CREEK CAPITAL LLC,,,,,,,,,,,,,,,,inf,19.7,15.35,-9.21,13.98
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,,29.58,8.09,5.59,-6.0,16.33,-1.58,15.34,11.28,-32.71,24.63,78868.71,30.85,32.02,3.72,9.75,-7.53,-11.11,-8.08,16.06
"ACT Advisors, LLC.",,,,,,,,,,,,,,,inf,29.15,25.37,32.11,-2.04,25.94
"ACT CAPITAL MANAGEMENT, LLC",,,,,,,,inf,-2.25,-83.74,-100.0,,,,,,,,,
