ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0002031775-25-000001,111862527,AMAZON COM INC,COM,023135106,,2016335,9660,SH,,SOLE,0,0,0,9660,amazon com inc,"BridgePort Financial Solutions, LLC",31-DEC-2024,,2024-12-31
0001004140-25-000001,109267537,AMAZON COM INC,COM,023135106,,25412616,115833,SH,,SOLE,0,0,0,115833,amazon com inc,PENNSYLVANIA CAPITAL MANAGEMENT INC /ADV,31-DEC-2024,,2024-12-31
0001527641-25-000002,109183072,AMAZON COM INC,COM,023135106,,10813760,49290,SH,,SOLE,,0,0,49290,amazon com inc,"MATHER GROUP, LLC.",31-DEC-2024,,2024-12-31
0001536755-25-000003,109185027,AMAZON COM INC,COM,023135106,,3259986,14859,SH,,SOLE,,42,0,14817,amazon com inc,"Commonwealth Financial Services, LLC",31-DEC-2024,,2024-12-31
0000873759-25-000001,109185769,AMAZON COM INC,COM,023135106,,1940066,8843,SH,,SOLE,0,0,0,8843,amazon com inc,TANDEM CAPITAL MANAGEMENT CORP /ADV,31-DEC-2024,,2024-12-31
0001842787-25-000002,109112852,AMAZON COM INC,COM,023135106,,562955,2566,SH,,SOLE,,0,0,2566,amazon com inc,"Stephens Consulting, LLC",31-DEC-2024,,2024-12-31
0001949059-25-000003,109113099,AMAZON COM INC,COM,023135106,,3738,17034,SH,,SOLE,0,0,0,17034,amazon com inc,"James J. Burns & Company, LLC",31-DEC-2024,,2024-12-31
0001847820-25-000001,109248218,AMAZON COM INC,COM,023135106,,7159793,32635,SH,,SOLE,,0,0,32635,amazon com inc,Robbins Farley,31-DEC-2024,,2024-12-31
0001172661-25-000354,109263081,AMAZON COM INC,COM,023135106,,9012770,41081,SH,,SOLE,,15,0,41066,amazon com inc,"Rockline Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001443095-25-000001,109128773,AMAZON COM INC,COMMON,023135106,,12711091,57438,SH,,SOLE,,0,0,57438,amazon com inc,"Welch Group, LLC",31-DEC-2024,,2024-12-31
0001172661-25-000355,109130739,AMAZON COM INC,COM,023135106,,8281316,37747,SH,,SOLE,,0,0,37747,amazon com inc,"Sloy Dahl & Holst, LLC",31-DEC-2024,,2024-12-31
0001842787-25-000001,109130857,AMAZON COM INC,COM,023135106,,280820,1280,SH,,SOLE,,0,0,1280,amazon com inc,Newton One Investments LLC,31-DEC-2024,,2024-12-31
0001597298-25-000001,109269927,AMAZONCOM INC,C,023135106,,1962005,9496,SH,,SOLE,,0,0,9496,amazoncom inc,"Verity Asset Management, Inc.",31-DEC-2024,,2024-12-31
0001667731-25-000131,109229502,AMAZON COM INC,COM,023135106,,5162424,23531,SH,,SOLE,,0,0,23531,amazon com inc,Tanager Wealth Management LLP,31-DEC-2024,,2024-12-31
0002002654-25-000001,109141967,AMAZON COM INC,COM,023135106,,392928,1791,SH,,SOLE,,0,0,1791,amazon com inc,"PFS Partners, LLC",31-DEC-2024,,2024-12-31
0001172661-25-000357,109156060,AMAZON COM INC,COM,023135106,,16720260,76213,SH,,SOLE,,39366,0,36847,amazon com inc,"WESPAC Advisors SoCal, LLC",31-DEC-2024,,2024-12-31
0001104659-25-006090,109178734,AMAZON,COM,023135106,,234162626,1067335,SH,,SOLE,,1067335,0,0,amazon,E. Ohman J:or Asset Management AB,31-DEC-2024,,2024-12-31
0001722053-25-000001,109245267,AMAZON COM INC,PUT,023135956,,1096950,5000,SH,Put,SOLE,,5000,0,0,amazon com inc,"CenterStar Asset Management, LLC",31-DEC-2024,,2024-12-31
