FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10822895.0,11237700.0,12565586.0
" FOGEL CAPITAL MANAGEMENT, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4183926.0,4601818.0,4864599.0
 HARRIS ASSOCIATES L P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26888381.0,29994323.0,0.0
 NEUBERGER BERMAN GROUP LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188664575.0,170387158.0,411400254.0,224449599.0,235765171.0
" ONCE CAPITAL MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78656039.0,0.0,0.0
&PARTNERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9984268.0,15676031.0,30119936.0,99009754.0,214157496.0,354472877.0
1 NORTH WEALTH SERVICES LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8419301.0
"10-15 ASSOCIATES, INC.",8892.0,13194.0,13070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10Elms LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162806.0
"1248 Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9719301.0
1492 Capital Management LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224732.0,245116.0,0.0
"1620 INVESTMENT ADVISORS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2128.0,2128.0,1487.0,1448.0,1356317.0,1718889.0,2009108.0,1765004.0,1879829.0,1655610.0,2023811.0,2249486.0,2439202.0
1623 Capital LLC,3880.0,5566.0,7068.0,8098.0,7455.0,8359.0,8636.0,10837.0,10657.0,8344.0,8545.0,8426220.0,10694095.0,12726760.0,11253976.0,11879101.0,10683204.0,13163750.0,0.0,0.0
"17 CAPITAL PARTNERS, LLC",0.0,0.0,0.0,0.0,0.0,1192.0,1201.0,1507.0,1482.0,1161.0,1149.0,0.0,0.0,0.0,0.0,1608973.0,1441975.0,1619247.0,1980034.0,2172143.0
