FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",,,,,,,,,,,,,,,,,,inf,3.83,11.82
" FOGEL CAPITAL MANAGEMENT, INC.",,,,,,,,,,,,,,,,,,inf,9.99,5.71
 HARRIS ASSOCIATES L P,,,,,,,,,,,,,,,,,,inf,11.55,-100.0
 NEUBERGER BERMAN GROUP LLC,,,,,,,,,,,,,,,,inf,-9.69,141.45,-45.44,5.04
" ONCE CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,,,,,,inf,-100.0,
&PARTNERS,,,,,,,,,,,,,,,inf,57.01,92.14,228.72,116.3,65.52
1 NORTH WEALTH SERVICES LLC,,,,,,,,,,,,,,,,,,,,inf
"10-15 ASSOCIATES, INC.",,48.38,-0.94,-100.0,,,,,,,,,,,,,,,,
10Elms LLP,,,,,,,,,,,,,,,,,,,,inf
"1248 Management, LLC",,,,,,,,,,,,,,,,,,,,inf
1492 Capital Management LLC,,,,,,,,,,,,,,,,,,inf,9.07,-100.0
"1620 INVESTMENT ADVISORS, INC.",,,,,,,,inf,0.0,-30.12,-2.62,93568.3,26.73,16.88,-12.15,6.51,-11.93,22.24,11.15,8.43
1623 Capital LLC,,43.45,26.99,14.57,-7.94,12.13,3.31,25.49,-1.66,-21.7,2.41,98509.95,26.91,19.01,-11.57,5.55,-10.07,23.22,-100.0,
"17 CAPITAL PARTNERS, LLC",,,,,,inf,0.76,25.48,-1.66,-21.66,-1.03,-100.0,,,,inf,-10.38,12.29,22.28,9.7
1776 WEALTH LLC,,-30.67,-100.0,,,,,,,,,,,,,,,,,
1776 Wealth LLC,,,inf,14.34,-14.72,16.23,4.76,29.77,2.42,-21.2,1.46,-5.01,132099.81,10.78,-11.13,15.93,-10.94,22.89,6.96,-51.39
"180 WEALTH ADVISORS, LLC",,56.84,14.49,27.52,2.99,14.84,-0.66,10.09,2.44,-18.42,0.65,103087.88,13.34,14.26,-9.68,7.81,-6.05,33.27,1.64,7.38
1832 Asset Management L.P.,,55.84,-30.06,62.63,-42.56,205.56,-58.12,144.36,-5.63,-53.82,-4.21,77601.77,114.17,13.02,-39.7,28.92,-46.9,230.53,-32.29,12.36
1834 INVESTMENT ADVISORS CO,,,,,,,,,,,,inf,44.11,10.5,-13.03,2.03,-17.52,20.59,-0.94,0.73
"1858 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,0.0,22.97,17.15,4.16
1900 WEALTH MANAGEMENT LLC,,,,,,inf,3.94,62.23,10.41,-21.37,2.36,94550.96,6.9,30.63,10.34,3.97,-30.54,20.06,93.92,-34.64
