FILINGMANAGER_NAME,Quarter_Count,Average_Holdings_Per_Quarter,Max_Holdings_Single_Quarter
" CALDWELL SUTTER CAPITAL, INC.",3,11542060.333333334,12565586
" FOGEL CAPITAL MANAGEMENT, INC.",3,4550114.333333333,4864599
 HARRIS ASSOCIATES L P,2,28441352.0,29994323
 NEUBERGER BERMAN GROUP LLC,5,246133351.4,411400254
" ONCE CAPITAL MANAGEMENT, LLC",1,78656039.0,78656039
&PARTNERS,6,120570060.33333333,354472877
1 NORTH WEALTH SERVICES LLC,2,4211420.5,8419301
"10-15 ASSOCIATES, INC.",4,9105.5,13194
10Elms LLP,1,162806.0,162806
"1248 Management, LLC",1,9719301.0,9719301
1492 Capital Management LLC,2,234924.0,245116
"1620 INVESTMENT ADVISORS, INC.",13,1315726.6923076923,2439202
1623 Capital LLC,19,4153626.0,13163750
"17 CAPITAL PARTNERS, LLC",11,802733.0909090909,2172143
1776 WEALTH LLC,3,12153.0,16349
1776 Wealth LLC,18,10327096.388888888,29244141
"180 WEALTH ADVISORS, LLC",21,8844756.952380951,26758142
1832 Asset Management L.P.,21,404770207.4285714,1561840183
1834 INVESTMENT ADVISORS CO,9,26688489.666666668,31359448
"1858 WEALTH MANAGEMENT, LLC",5,6610065.6,8036729
1900 WEALTH MANAGEMENT LLC,15,4099069.066666667,11935108
1ST SOURCE BANK,21,13570844.952380951,38144976
"20/20 Capital Management, Inc.",7,5404.285714285715,6922
25 LLC,8,2902166.875,3925399
36 SOUTH CAPITAL ADVISORS LLP,1,343932.0,343932
"360 Financial, Inc.",21,862125.8095238095,2619644
"3Chopt Investment Partners, LLC",9,10251939.888888888,15006168
"3D ASSET MANAGEMENT, INC",1,391.0,391
"3D/L Capital Management, LLC",12,549388.4166666666,1901617
"3EDGE Asset Management, LP",1,235.0,235
44 WEALTH MANAGEMENT LLC,13,2036269.5384615385,5899334
"49 WEALTH MANAGEMENT, LLC",5,5826681.2,7315600
4J Wealth Management LLC,17,1765091.8235294118,4073287
4Thought Financial Group Inc.,4,41593.0,47998
"4WEALTH ADVISORS, INC.",1,2855012.0,2855012
"55I, LLC",14,8571.0,32539
"5T Wealth, LLC",1,1691088.0,1691088
"5th Street Advisors, LLC",13,1380628.1538461538,3518259
6 Meridian,6,2695.8333333333335,5964
"626 Financial, LLC",14,6196501.071428572,12728644
"7G CAPITAL MANAGEMENT, LLC",17,58804021.058823526,163100000
"9258 Wealth Management, LLC",20,10301027.7,65141073
"A&I FINANCIAL SERVICES, LLC",1,1234070.0,1234070
"A. D. Beadell Investment Counsel, Inc.",21,2402.190476190476,2992
"A.P. Gilfoyle & Co., L.P.",3,817252.0,1343647
"A.R.T. Advisors, LLC",1,517.0,517
"AA Financial Advisors, LLC",5,3643250.6,5020960
"AAF Wealth Management, LLC",15,2699688.1333333333,5385555
"AAFCPAs Wealth Management, LLC",2,1482.5,1521
AAFMAA Wealth Management & Trust LLC,17,1786630.7647058824,4296287
ABEILLE ASSET MANAGEMENT SA,4,29541988.25,117628542
"ABLE Financial Group, LLC",8,8599478.5,11221058
"ABLES, IANNONE, MOORE & ASSOCIATES, INC.",5,22705863.8,25412480
