ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED
0001172661-24-005410,108425498,APPLE INC,COM,037833100,,895293,5266,SH,,SOLE,,5266,0,0,"Alternative Investment Advisors, LLC.",31-MAR-2024,
0000919574-25-001295,111009246,APPLE INC,COM,037833100,,3791385,22109,SH,,SOLE,,22109,0,0,"Ategra Capital Management, LLC",31-MAR-2024,
0001986152-24-000058,108438226,APPLE INC,COM,037833100,,1156595,6745,SH,,SOLE,,6745,0,0,"Boulder Wealth Advisors, LLC",31-MAR-2024,
0001840084-25-000004,110343536,APPLE INC,COM,037833100,,19115070,111471,SH,,SOLE,,107954,0,3517,"Brown Miller Wealth Management, LLC",31-MAR-2024,
0001910503-25-000005,108653400,APPLE INC,COM,037833100,,312212,1821,SH,,SOLE,0,0,0,1821,"Buska Wealth Management, LLC",31-MAR-2024,
0001214659-24-019874,108423646,APPLE INC,COM,037833100,,27637770,161172,SH,,SOLE,,161172,0,0,"CONWAY CAPITAL MANAGEMENT, INC.",31-MAR-2024,
0001085146-25-001208,111278416,APPLE INC,COM,037833100,,6852726,40303,SH,,SOLE,,0,0,40303,"CORNERSTONE ENTERPRISES, LLC",31-MAR-2024,
0002010947-25-000004,109129381,Apple Inc,Stock,037833100,,471730,2751,SH,,SOLE,0,2750,0,0,"Caitlin John, LLC",31-MAR-2024,
0002024908-24-000027,108444249,Apple Hospitality REIT Inc,COM NEW,03784Y200,,19656,1200,SH,,SOLE,,1200,0,0,Catalyst Funds Management Pty Ltd,31-MAR-2024,
0002024908-24-000027,108444250,Apple Inc,COM,037833100,,5555952,32400,SH,,SOLE,,32400,0,0,Catalyst Funds Management Pty Ltd,31-MAR-2024,
0001667731-25-000310,111815240,APPLE INC,COM,037833100,,44409650,258979,SH,,SOLE,,258979,0,0,Clare Market Investments LLC,31-MAR-2024,
0002056922-25-000002,111869789,APPLE INC,COM,037833100,,1250269,7291,SH,,SOLE,,0,0,7291,Dogwood Wealth Management LLC,31-MAR-2024,
0001085146-24-006040,108445270,APPLE INC,COM,037833100,,700845,4087,SH,,SOLE,,0,0,4087,"FFG Partners, LLC",31-MAR-2024,
0002050972-25-000003,108636437,APPLE INC,COM,037833100,,2966837,17301,SH,,SOLE,,0,0,17301,"FLORIDA FINANCIAL ADVISORS, LLC",31-MAR-2024,
0001697478-24-000013,108417245,APPLE INC COM,Stock,037833100,,1203735,7020,SH,,SOLE,,0,0,7019,"Fortis Advisors, LLC",31-MAR-2024,
0002043130-25-000004,109561031,APPLE INC,COM,037833100,,3999085,23321,SH,,SOLE,,23321,0,0,Generali Investments Towarzystwo Funduszy Inwestycyjnych,31-MAR-2024,
0001213900-25-003641,108879129,APPLE INC,COM,037833100,,3148393,18360,SH,,SOLE,,0,0,18360,"Goldstone Financial Group, LLC",31-MAR-2024,
0001591122-24-000013,108429788,Apple Computer Inc,COM,037833100,,48801888,284592,SH,,SOLE,,106692,0,177900,Heritage Wealth Advisors,31-MAR-2024,
0001214659-24-020598,108425437,APPLE INC,COM,037833100,,1095525,6389,SH,,SOLE,,0,0,6389,Hiley Hunt Wealth Management,31-MAR-2024,
