REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,"Centiva Capital, LP",114894449
31-DEC-2024,"FULLER & THALER ASSET MANAGEMENT, INC.",5694801
31-DEC-2024,FSA Wealth Management LLC,4891000
31-DEC-2024,"FSB PREMIER WEALTH MANAGEMENT, INC.",3158178
31-DEC-2024,"FSC Wealth Advisors, LLC",3311085
31-DEC-2024,"FSM Wealth Advisors, LLC",9221335
31-DEC-2024,FSR Wealth Management Ltd.,1252525
31-DEC-2024,FUKOKU MUTUAL LIFE INSURANCE Co,15789732
31-DEC-2024,FULLCIRCLE WEALTH LLC,6267706
31-DEC-2024,FULTON BREAKEFIELD BROENNIMAN LLC,85726554
31-DEC-2024,"Fairscale Capital, LLC",5570357
31-DEC-2024,"FWG Holdings, LLC",4360928
31-DEC-2024,"FWL INVESTMENT MANAGEMENT, LLC",7828726
31-DEC-2024,"Facet Wealth, Inc.",26606744
31-DEC-2024,"Factorial Partners, LLC",2904872
31-DEC-2024,"Fairbanks Capital Management, Inc.",2647440
31-DEC-2024,"Fairfield Financial Advisors, LTD",13539997
31-DEC-2024,"Fairhaven Wealth Management, LLC",19824617
31-DEC-2024,"FSA Investment Group, LLC",495309
31-DEC-2024,"FSA Advisors, Inc.",1918776
31-DEC-2024,FRG Family Wealth Advisors LLC,24764014
31-DEC-2024,"FRED ALGER MANAGEMENT, LLC",1123822355
31-DEC-2024,FOREFRONT WEALTH MANAGEMENT INC.,7894596
31-DEC-2024,"FORESIGHT CAPITAL MANAGEMENT ADVISORS, INC.",4798776
31-DEC-2024,FORSTA AP-FONDEN,1019434778
31-DEC-2024,FORT WASHINGTON INVESTMENT ADVISORS INC /OH/,748870254
31-DEC-2024,FORTE ASSET MANAGEMENT LLC,1184737
31-DEC-2024,FORTE CAPITAL LLC /ADV,59235856
31-DEC-2024,"FORTEM FINANCIAL GROUP, LLC",6973558
31-DEC-2024,"FORTRESS FINANCIAL GROUP, LLC",2219882
31-DEC-2024,"FORTRESS PRIVATE LEDGER, LLC",12487722
31-DEC-2024,"FOSTER DYKEMA CABOT & PARTNERS, LLC",22339968
31-DEC-2024,"FOUNDERS CAPITAL MANAGEMENT, LLC",20607813
31-DEC-2024,FOUNDERS FINANCIAL SECURITIES LLC,19173058
31-DEC-2024,"FOUNDERS GROVE WEALTH PARTNERS, LLC",6904330
31-DEC-2024,"FOURPATH CAPITAL MANAGEMENT, LLC",13711593
31-DEC-2024,"FPC INVESTMENT ADVISORY, INC.",9758305
31-DEC-2024,"Fairman Group, LLC",1082374
31-DEC-2024,"Fairvoy Private Wealth, LLC",12248997
31-DEC-2024,"GPM Growth Investors, Inc.",12777681
31-DEC-2024,Field & Main Bank,18936216
31-DEC-2024,"Fernwood Investment Management, LLC",12437159
31-DEC-2024,"Fi3 FINANCIAL ADVISORS, LLC",10456268
31-DEC-2024,Fidato Wealth LLC,2803567
31-DEC-2024,"Fidelis Capital Partners, LLC",56794213
31-DEC-2024,"Fiduciary Group, LLC",56705756
31-DEC-2024,Fiduciary Planning LLC,3634590
31-DEC-2024,Fiduciary Trust Co,351144934
31-DEC-2024,Fielder Capital Group LLC,4276392
31-DEC-2024,Fairway Wealth LLC,1281549
31-DEC-2024,Fiera Capital Corp,4528345
31-DEC-2024,Fifth Third Wealth Advisors LLC,72934940
31-DEC-2024,"FinDec Wealth Services, Inc.",5492906
31-DEC-2024,"Financial & Tax Architects, LLC",3073783
31-DEC-2024,"Financial Advisors Network, Inc.",13844147
31-DEC-2024,"Financial Advisors, LLC",6598838
31-DEC-2024,Financial Advisory Corp,2281837
31-DEC-2024,"Fermata Advisors, LLC",16399340
31-DEC-2024,Ferguson Shapiro LLC,5151646
31-DEC-2024,Fenimore Asset Management Inc,3449035
31-DEC-2024,"Fee-Only Financial Planning, L.C.",301005
31-DEC-2024,"Faithward Advisors, LLC",11497066
31-DEC-2024,Falcon Wealth Planning,59556364
31-DEC-2024,"Family Capital Management, Inc.",4234519
31-DEC-2024,Family Capital Trust Co,12328394
31-DEC-2024,"Family Firm, Inc.",9001943
31-DEC-2024,"Family Investment Center, Inc.",2548510
31-DEC-2024,"Family Legacy, Inc.",9977977
31-DEC-2024,Family Management Corp,24117700
31-DEC-2024,Family Office Research LLC,2773479
31-DEC-2024,Farmers & Merchants Trust Co of Chambersburg PA,4178
31-DEC-2024,Farrell Financial LLC,8101265
31-DEC-2024,"Farringdon Capital, Ltd.",358101
31-DEC-2024,Farrow Financial Inc.,16215199
31-DEC-2024,"Farther Finance Advisors, LLC",68351569
31-DEC-2024,Fedenia Advisers LLC,4853140
31-DEC-2024,FORBES J M & CO LLP,62401158
31-DEC-2024,"FORA Capital, LLC",6619602
31-DEC-2024,"FOLGER NOLAN FLEMING DOUGLAS CAPITAL MANAGEMENT, INC",38811845
31-DEC-2024,"FF Advisors,LLC",1929866
31-DEC-2024,FARMERS TRUST CO,28525092
31-DEC-2024,"FAS Wealth Partners, Inc.",35784904
31-DEC-2024,FC Advisory LLC,2514126
31-DEC-2024,FCA CORP /TX,3304120
31-DEC-2024,FCG Investment Co,14091671
31-DEC-2024,"FDx Advisors, Inc.",2635
31-DEC-2024,"FERGUSON WELLMAN CAPITAL MANAGEMENT, INC",308858092
31-DEC-2024,"FFG Partners, LLC",1013593
31-DEC-2024,"FOCUS Wealth Advisors, LLC",3881561
31-DEC-2024,FFT WEALTH MANAGEMENT LLC,4878914
31-DEC-2024,"FIDELIS iM, LLC",274
31-DEC-2024,FIDELITY D & D BANCORP INC,4670583
