FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
 NEUBERGER BERMAN GROUP LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37773336.0,48064468.0,109432110.0,44776355.0,38109697.0
&PARTNERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163594.0,2930157.0,5976667.0,7037679.0
11 Capital Partners LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6896.0,0.0,0.0,0.0,11744574.0,14754763.0,15176246.0,13693332.0,18502208.0,20932073.0,14846467.0
1623 Capital LLC,0.0,0.0,0.0,0.0,4013.0,4698.0,5067.0,5414.0,4542.0,3236.0,2892.0,1975236.0,2460767.0,2652585.0,2154496.0,5570931.0,7181478.0,7619339.0,0.0,0.0
"17 CAPITAL PARTNERS, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204546.0,0.0,0.0
"180 WEALTH ADVISORS, LLC",302.0,456.0,428.0,622.0,693.0,846.0,839.0,639.0,567.0,417.0,393.0,610039.0,603109.0,625266.0,539213.0,654548.0,879246.0,987063.0,748259.0,840706.0
1832 Asset Management L.P.,10429.0,2059.0,1802.0,134547.0,211907.0,532818.0,243642.0,241716.0,160461.0,104701.0,443.0,186072695.0,276236202.0,255757752.0,419714.0,1665224.0,238784144.0,250001235.0,2398927.0,738823.0
1834 INVESTMENT ADVISORS CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256628.0,294249.0,349665.0,261138.0,361986.0,415229.0,525781.0,422779.0
1900 WEALTH MANAGEMENT LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,201.0,0.0,231127.0,231128.0,306570.0,319054.0,467020.0,811313.0,761934.0,1433751.0,517731.0
44 WEALTH MANAGEMENT LLC,0.0,0.0,0.0,0.0,309.0,457.0,482.0,498.0,386.0,318.0,307.0,396686.0,507810.0,511674.0,0.0,0.0,0.0,0.0,473358.0,470601.0
"55I, LLC",0.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9258 Wealth Management, LLC",0.0,0.0,0.0,267.0,356.0,478.0,513.0,562.0,416.0,342.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A.R.T. Advisors, LLC",0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AA Financial Advisors, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559961.0,625911.0,520781.0,376342.0
AAFMAA Wealth Management & Trust LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576459.0,785457.0,869913.0,939123.0
"ACCESS FINANCIAL SERVICES, INC.",0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCOUNT MANAGEMENT LLC,0.0,0.0,6076.0,0.0,0.0,0.0,0.0,12913.0,7384.0,5245.0,4566.0,5284781.0,6311543.0,6176320.0,4480880.0,5553522.0,7120338.0,7171383.0,4809519.0,6064450.0
"ADAGE CAPITAL PARTNERS GP, L.L.C.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19035.0,31151.0,35516000.0,21850791.0,0.0,15952686.0,30274529.0,19406489.0,0.0,0.0,19059700.0
ADELL HARRIMAN & CARPENTER INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278524.0,868297.0,869913.0,609217.0
"ADIRONDACK RETIREMENT SPECIALISTS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13114.0,16048.0,8697.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIRONDACK TRUST CO,0.0,11.0,11.0,16.0,19.0,21.0,24.0,24.0,20.0,14.0,12.0,16391.0,20421.0,21492.0,17659.0,62810.0,64050.0,67498.0,54994.0,45742.0
"ADVANCED RESEARCH INVESTMENT SOLUTIONS, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADVENT CAPITAL MANAGEMENT /DE/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2458800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ADVISOR GROUP HOLDINGS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000458.0,1285180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADVISOR PARTNERS LLC,1142.0,3107.0,3989.0,4915.0,6396.0,3782.0,4057.0,4413.0,3127.0,2204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADVISORY RESEARCH INC,0.0,0.0,309.0,345.0,390.0,289.0,359.0,11953.0,13061.0,13339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ADVISORY SERVICES NETWORK, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4109042.0,0.0,0.0,0.0,0.0,0.0,0.0
AE Wealth Management LLC,0.0,0.0,0.0,225.0,238.0,926.0,1260.0,2660.0,1016.0,950.0,864.0,925998.0,1431221.0,2627098.0,2436058.0,3976475.0,1278718.0,1588875.0,1989066.0,1913976.0
"AFT FORSYTH AND COMPANY, INC.",0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AFT, FORSYTH & COMPANY, INC.",0.0,0.0,222.0,293.0,370.0,415.0,766.0,906.0,760.0,542.0,473.0,578091.0,720191.0,803023.0,637519.0,819744.0,706502.0,1051366.0,856581.0,702090.0
AGF INVESTMENTS INC.,0.0,0.0,0.0,0.0,30903.0,42871.0,59659.0,70114.0,72136.0,51395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGF MANAGEMENT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49083461.0,0.0,0.0,0.0
"AIGEN INVESTMENT MANAGEMENT, LP",0.0,0.0,943.0,0.0,0.0,391.0,2154.0,2339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALBION FINANCIAL GROUP /UT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,5.0,0.0,0.0,0.0,2899.0,2355.0,8327.0,23292.0,24546.0,19998.0,38813.0
ALKEON CAPITAL MANAGEMENT LLC,116115.0,205847.0,206540.0,0.0,0.0,0.0,0.0,0.0,0.0,279601.0,212652.0,222867818.0,366099452.0,341041984.0,326134122.0,239854323.0,307524475.0,477617978.0,388816115.0,175754692.0
ALTA CAPITAL MANAGEMENT LLC/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31797985.0
"ALTERNA WEALTH MANAGEMENT, INC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239318.0,211645.0,233568.0
ALTFEST L J & CO INC,278.0,367.0,667.0,915.0,1155.0,1977.0,1577.0,1709.0,1843.0,1348.0,1037.0,1464.0,1841.0,1400.0,1141.0,1447.0,1827.0,1923.0,2140.0,370165.0
AMERICAN INTERNATIONAL GROUP INC,1153.0,1692.0,1687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AMERICAN INTERNATIONAL GROUP, INC.",0.0,0.0,0.0,2394.0,3011.0,3445.0,7602.0,4157.0,3370.0,2491.0,2195.0,2594307.0,3220439.0,3428068.0,3477803.0,4617212.0,0.0,0.0,0.0,0.0
AMERICAN NATIONAL BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,83.0,253224.0,269607.0,218982.0,267950.0,401775.0,423410.0,0.0,0.0
AMERICAN NATIONAL BANK & TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218312.0,167725.0
AMERICAN NATIONAL BANK & TRUST CO /VA/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500493.0,0.0,0.0,0.0
"AMERIFLEX GROUP, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203310.0
AMG National Trust Bank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202098.0,205292.0,0.0,0.0
AMJ Financial Wealth Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481234.0,390870.0,542712.0,0.0,0.0,0.0,0.0
