FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
 NEUBERGER BERMAN GROUP LLC,,,,,,,,,,,,,,,,inf,27.24,127.68,-59.08,-14.89
&PARTNERS,,,,,,,,,,,,,,,,,inf,151.82,103.97,17.75
11 Capital Partners LP,,,,,,,,,,inf,-100.0,,,inf,25.63,2.86,-9.77,35.12,13.13,-29.07
1623 Capital LLC,,,,,inf,17.07,7.85,6.85,-16.11,-28.75,-10.63,68200.0,24.58,7.8,-18.78,158.57,28.91,6.1,-100.0,
"17 CAPITAL PARTNERS, LLC",,,,,,,,,,,,,,,,,,inf,-100.0,
"180 WEALTH ADVISORS, LLC",,50.99,-6.14,45.33,11.41,22.08,-0.83,-23.84,-11.27,-26.46,-5.76,155126.21,-1.14,3.67,-13.76,21.39,34.33,12.26,-24.19,12.35
1832 Asset Management L.P.,,-80.26,-12.48,7366.54,57.5,151.44,-54.27,-0.79,-33.62,-34.75,-99.58,42002765.69,48.46,-7.41,-99.84,296.75,14239.46,4.7,-99.04,-69.2
1834 INVESTMENT ADVISORS CO,,,,,,,,,,,,,inf,14.66,18.83,-25.32,38.62,14.71,26.62,-19.59
1900 WEALTH MANAGEMENT LLC,,,,,,,,,inf,-45.97,-100.0,inf,0.0,32.64,4.07,46.38,73.72,-6.09,88.17,-63.89
44 WEALTH MANAGEMENT LLC,,,,,inf,47.9,5.47,3.32,-22.49,-17.62,-3.46,129113.68,28.01,0.76,-100.0,,,,inf,-0.58
"55I, LLC",,,,,,,inf,-100.0,,,,,,,,,,,,
"9258 Wealth Management, LLC",,,,inf,33.33,34.27,7.32,9.55,-25.98,-17.79,-25.73,-100.0,,,,,,,,
"A.R.T. Advisors, LLC",,,,,,inf,-100.0,,,,,,,,,,,,,
"AA Financial Advisors, LLC",,,,,,,,,,,,,,,,,inf,11.78,-16.8,-27.74
AAFMAA Wealth Management & Trust LLC,,,,,,,,,,,,,,,,,inf,36.26,10.75,7.96
"ACCESS FINANCIAL SERVICES, INC.",,,,,,inf,-100.0,,,,,,,,,,,,,
ACCOUNT MANAGEMENT LLC,,,inf,-100.0,,,,inf,-42.82,-28.97,-12.95,115642.03,19.43,-2.14,-27.45,23.94,28.21,0.72,-32.93,26.09
"ADAGE CAPITAL PARTNERS GP, L.L.C.",,,,,,,,,,inf,63.65,113912.39,-38.48,-100.0,inf,89.78,-35.9,-100.0,,inf
ADELL HARRIMAN & CARPENTER INC,,,,,,,,,,,,,,,,,inf,211.75,0.19,-29.97
"ADIRONDACK RETIREMENT SPECIALISTS, INC.",,,,,,,,,,,inf,262180.0,22.37,-45.81,-100.0,,,,,
ADIRONDACK TRUST CO,,inf,0.0,45.45,18.75,10.53,14.29,0.0,-16.67,-30.0,-14.29,136491.67,24.59,5.24,-17.83,255.68,1.97,5.38,-18.52,-16.82
"ADVANCED RESEARCH INVESTMENT SOLUTIONS, LLC",,,,,,,,,inf,-100.0,,,,,,,,,,
ADVENT CAPITAL MANAGEMENT /DE/,,,,,,,,,,,,inf,-100.0,,,,,,,
"ADVISOR GROUP HOLDINGS, INC.",,,,,,,,,,,,inf,28.46,-100.0,,,,,,
ADVISOR PARTNERS LLC,,172.07,28.39,23.21,30.13,-40.87,7.27,8.77,-29.14,-29.52,-100.0,,,,,,,,,
ADVISORY RESEARCH INC,,,inf,11.65,13.04,-25.9,24.22,3229.53,9.27,2.13,-100.0,,,,,,,,,
"ADVISORY SERVICES NETWORK, LLC",,,,,,,,,,,,,,inf,-100.0,,,,,
AE Wealth Management LLC,,,,inf,5.78,289.08,36.07,111.11,-61.8,-6.5,-9.05,107075.69,54.56,83.56,-7.27,63.23,-67.84,24.26,25.19,-3.78
"AFT FORSYTH AND COMPANY, INC.",,inf,-100.0,,,,,,,,,,,,,,,,,
"AFT, FORSYTH & COMPANY, INC.",,,inf,31.98,26.28,12.16,84.58,18.28,-16.11,-28.68,-12.73,122117.97,24.58,11.5,-20.61,28.58,-13.81,48.81,-18.53,-18.04
AGF INVESTMENTS INC.,,,,,inf,38.73,39.16,17.52,2.88,-28.75,-100.0,,,,,,,,,
AGF MANAGEMENT LTD,,,,,,,,,,,,,,,,,inf,-100.0,,
"AIGEN INVESTMENT MANAGEMENT, LP",,,inf,-100.0,,inf,450.9,8.59,-100.0,,,,,,,,,,,
ALBION FINANCIAL GROUP /UT,,,,,,,,inf,-56.25,-28.57,-100.0,,,inf,-18.77,253.59,179.72,5.38,-18.53,94.08
ALKEON CAPITAL MANAGEMENT LLC,,77.28,0.34,-100.0,,,,,,inf,-23.94,104704.01,64.27,-6.84,-4.37,-26.46,28.21,55.31,-18.59,-54.8
ALTA CAPITAL MANAGEMENT LLC/,,,,,,,,,,,,,,,,,,,,inf
"ALTERNA WEALTH MANAGEMENT, INC",,,,,,,,,,,,,,,,,,inf,-11.56,10.36
ALTFEST L J & CO INC,,32.01,81.74,37.18,26.23,71.17,-20.23,8.37,7.84,-26.86,-23.07,41.18,25.75,-23.95,-18.5,26.82,26.26,5.25,11.28,17197.43
AMERICAN INTERNATIONAL GROUP INC,,46.75,-0.3,-100.0,,,,,,,,,,,,,,,,
"AMERICAN INTERNATIONAL GROUP, INC.",,,,inf,25.77,14.41,120.67,-45.32,-18.93,-26.08,-11.88,118091.66,24.13,6.45,1.45,32.76,-100.0,,,
AMERICAN NATIONAL BANK,,,,,,,,,,,inf,31.75,304989.16,6.47,-18.78,22.36,49.94,5.38,-100.0,
AMERICAN NATIONAL BANK & TRUST,,,,,,,,,,,,,,,,,,,inf,-23.17
AMERICAN NATIONAL BANK & TRUST CO /VA/,,,,,,,,,,,,,,,,,inf,-100.0,,
"AMERIFLEX GROUP, INC.",,,,,,,,,,,,,,,,,,,,inf
AMG National Trust Bank,,,,,,,,,,,,,,,,,inf,1.58,-100.0,
AMJ Financial Wealth Management,,,,,,,,,,,,,,inf,-18.78,38.85,-100.0,,,
ANDERSON HOAGLAND & CO,,47.68,-2.67,113.21,26.57,20.98,6.77,-5.48,-3.63,-32.34,-7.92,151631.15,12.99,-46.58,-18.79,20.02,37.86,8.76,-21.41,-9.2
"ANGELES WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,inf,-8.59,4.37,48.32,19.97,-30.25,-16.1
APEIRON CAPITAL Ltd,,,,,,,,,,,,,,inf,-43.6,-100.0,,,,
APPALOOSA LP,,,,,,,,,,,,,,inf,-18.78,28.58,28.21,15.26,-27.84,71.72
AR ASSET MANAGEMENT INC,,,,,,,,,,,,,,,,,,,inf,-8.52
