ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0002058285-25-000002,111863972,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,15941,23,SH,,SOLE,,0,0,23,asml holding n v,"Park Square Financial Group, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000475,109191588,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,BBG001SCG0R3,9148656,13200,SH,Call,SOLE,,13200,0,0,asml holding n v,CAAS CAPITAL MANAGEMENT LP,31-DEC-2024,,2024-12-31
0001667731-25-000123,109226483,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,43240330,62389,SH,,SOLE,,62389,0,0,asml holding n v,"Chicago Capital, LLC",31-DEC-2024,,2024-12-31
0001667731-25-000127,109136424,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,328520,474,SH,,SOLE,,465,0,9,asml holding n v,"Catalina Capital Group, LLC",31-DEC-2024,,2024-12-31
0001667731-25-000129,109138480,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,249509,360,SH,,SOLE,,360,0,0,asml holding n v,"Resonant Capital Advisors, LLC",31-DEC-2024,,2024-12-31
0001986389-25-000001,109193241,ASML HOLDING N V,AMERICAN DEPOSITORY RECEIPT,N07059210,,381194,550,SH,,SOLE,,550,0,0,asml holding n v,"LAZARI CAPITAL MANAGEMENT, INC.",31-DEC-2024,,2024-12-31
0001986152-25-000005,109129900,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,284163,410,SH,,SOLE,,0,0,410,asml holding n v,"PRUDENT INVESTORS NETWORK, INC.",31-DEC-2024,,2024-12-31
0000714364-25-000002,109269518,ASML,ASML Holding NV,N07059210,,25,37,SH,,SOLE,,37,0,0,asml,OGOREK ANTHONY JOSEPH /NY/ /ADV,31-DEC-2024,,2024-12-31
0002053368-25-000001,109179372,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,21020,30,SH,,SOLE,,0,0,30,asml holding n v,Financial Life Planners,31-DEC-2024,,2024-12-31
0001894484-25-000003,109201043,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1913594,2761,SH,,SOLE,,0,0,2761,asml holding n v,"FOURPATH CAPITAL MANAGEMENT, LLC",31-DEC-2024,,2024-12-31
0001172661-25-000353,109136659,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,916252,1322,SH,,SOLE,,1322,0,0,asml holding n v,"Alliance Wealth Advisors, LLC /UT",31-DEC-2024,,2024-12-31
0001635633-25-000001,109163782,ASML HOLDING NV,COMMON STOCK,N07059210,,420006,606,SH,,SOLE,,473,0,133,asml holding nv,TRUST POINT INC.,31-DEC-2024,,2024-12-31
0001085146-25-000475,109191589,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,BBG001SCG0R3,9911044,14300,SH,Put,SOLE,,14300,0,0,asml holding n v,CAAS CAPITAL MANAGEMENT LP,31-DEC-2024,,2024-12-31
0001085146-25-000475,109191587,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,BBG001SCG0R3,750606,1083,SH,,SOLE,,1083,0,0,asml holding n v,CAAS CAPITAL MANAGEMENT LP,31-DEC-2024,,2024-12-31
0001667731-25-000119,109135651,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,820117,1183,SH,,SOLE,,1183,0,0,asml holding n v,KPP Advisory Services LLC,31-DEC-2024,,2024-12-31
0001085146-25-000482,109133878,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,BBG001SCG0R3,8594885,12401,SH,,SOLE,,12385,0,16,asml holding n v,Calamos Advisors LLC,31-DEC-2024,,2024-12-31
0001085146-25-000483,109236295,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,BBG001SCG0R3,2188054,3157,SH,,SOLE,,2934,0,223,asml holding n v,Calamos Wealth Management LLC,31-DEC-2024,,2024-12-31
0001085146-25-000484,109223088,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,BBG001SCG0R3,4979087,7184,SH,,SOLE,,7184,0,0,asml holding n v,"RBA Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001161670-25-000001,109279174,ASML Holding NV,COM,N07059210,,207924,300,SH,,SOLE,,0,0,300,asml holding nv,CULLINAN ASSOCIATES INC,31-DEC-2024,,2024-12-31
0001085146-25-000492,109168369,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,BBG001SCG0R3,11782,17,SH,,SOLE,,0,0,17,asml holding n v,"Optas, LLC",31-DEC-2024,,2024-12-31
0001908433-25-000001,109159241,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,20792,30,SH,,SOLE,,30,0,0,asml holding n v,Kathleen S. Wright Associates Inc.,31-DEC-2024,,2024-12-31
0000014745-25-000001,109177382,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,762388,1100,SH,,SOLE,,0,0,1100,asml holding n v,"BROWN, LISLE/CUMMINGS, INC.",31-DEC-2024,,2024-12-31
0001527641-25-000002,109182729,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,285549,412,SH,,SOLE,,0,0,412,asml holding n v,"MATHER GROUP, LLC.",31-DEC-2024,,2024-12-31
0001536755-25-000003,109184976,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,219651,317,SH,,SOLE,,0,0,317,asml holding n v,"Commonwealth Financial Services, LLC",31-DEC-2024,,2024-12-31
0000873759-25-000001,109185773,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,627237,905,SH,,SOLE,0,0,0,905,asml holding n v,TANDEM CAPITAL MANAGEMENT CORP /ADV,31-DEC-2024,,2024-12-31
0002002654-25-000001,109141979,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,6931,10,SH,,SOLE,,0,0,10,asml holding n v,"PFS Partners, LLC",31-DEC-2024,,2024-12-31
0001767699-25-000002,109180818,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,435433,580,SH,,SOLE,,0,0,580,asml holding n v,"FSM Wealth Advisors, LLC",31-DEC-2024,,2024-12-31
0001080369-25-000002,109188879,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,9506559,11409,SH,,SOLE,Henssler Financial,0,0,11409,asml holding n v,GW HENSSLER & ASSOCIATES LTD,31-DEC-2024,,2024-12-31
0001140361-25-001955,109180642,ASML HOLDING NV,NY Reg Shrs,N07059210,,44763958,64587,SH,,SOLE,,64587,0,0,asml holding nv,Ninety One UK Ltd,31-DEC-2024,,2024-12-31
0001951757-25-000115,109208385,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,234261,338,SH,,SOLE,,0,0,338,asml holding n v,"Round Rock Advisors, LLC",31-DEC-2024,,2024-12-31
0002008171-25-000002,109173005,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,218355,315,SH,,SOLE,,0,0,315,asml holding n v,"TRITONPOINT WEALTH, LLC",31-DEC-2024,,2024-12-31
0001104659-25-005828,109224720,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,3251239,4691,SH,,SOLE,,4517,0,174,asml holding n v,"CAPITAL INSIGHT PARTNERS, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000466,109119206,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1605308,2316,SH,,SOLE,,2285,0,31,asml holding n v,DAVENPORT & Co LLC,31-DEC-2024,,2024-12-31
0002012303-25-000001,109249810,ASML Holding NV,Common Stock,N07059210,,2079,3,SH,,SOLE,,0,0,3,asml holding nv,RICHARDSON FINANCIAL SERVICES INC.,31-DEC-2024,,2024-12-31
0002012303-25-000001,109249809,ASML Holding NV,Common Stock,N07059210,,2079,3,SH,,SOLE,,0,0,3,asml holding nv,RICHARDSON FINANCIAL SERVICES INC.,31-DEC-2024,,2024-12-31
0002012303-25-000001,109249808,ASML HOLDING NV,FOREIGN COMMON STOCKS,N07059210,,554141,796,SH,,SOLE,City National Rochdale,0,0,796,asml holding nv,RICHARDSON FINANCIAL SERVICES INC.,31-DEC-2024,,2024-12-31
0001005607-25-000002,109172665,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,4879983,7041,SH,,SOLE,0,80,0,6961,asml holding n v,"OSBORNE PARTNERS CAPITAL MANAGEMENT, LLC",31-DEC-2024,,2024-12-31
0001909316-25-000001,109275484,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,421305,608,SH,,SOLE,0,0,608,0,asml holding n v,JOURNEY STRATEGIC WEALTH LLC,31-DEC-2024,,2024-12-31
0001909316-25-000001,109275483,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,16426,24,SH,,SOLE,0,0,0,24,asml holding n v,JOURNEY STRATEGIC WEALTH LLC,31-DEC-2024,,2024-12-31
0001876326-25-000001,109173175,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1021600,1474,SH,,SOLE,0,0,0,1474,asml holding n v,Five Oceans Advisors,31-DEC-2024,,2024-12-31
0001858740-25-000001,109144206,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1172976,1692,SH,,SOLE,0,0,0,0,asml holding n v,Spire Wealth Management,31-DEC-2024,,2024-12-31
0001951757-25-000118,109228503,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,441492,637,SH,,SOLE,,0,0,637,asml holding n v,"Avantra Family Wealth, Inc.",31-DEC-2024,,2024-12-31
0001172661-25-000349,109216713,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,15680935,22625,SH,,SOLE,,22625,0,0,asml holding n v,"DEEPWATER ASSET MANAGEMENT, LLC",31-DEC-2024,,2024-12-31
0001845003-25-000001,109220010,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,752113,1085,SH,,SOLE,,1085,0,0,asml holding n v,Golden State Equity Partners,31-DEC-2024,,2024-12-31
0001808915-25-000001,109231007,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,994561,1435,SH,,SOLE,0,0,0,1435,asml holding n v,"U.S. Capital Wealth Advisors, LLC",31-DEC-2024,,2024-12-31
0000773411-25-000001,109242185,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,709,1023,SH,,SOLE,,0,0,1023,asml holding n v,VALLEY NATIONAL ADVISERS INC,31-DEC-2024,,2024-12-31
0000044365-25-000001,109213301,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,2639942,3809,SH,,SOLE,,3809,0,0,asml holding n v,CENTRAL TRUST Co,31-DEC-2024,,2024-12-31
0001601348-25-000001,109187110,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,17404,25,SH,,SOLE,,0,0,25,asml holding n v,Riggs Asset Managment Co. Inc.,31-DEC-2024,,2024-12-31
0001104659-25-005890,109251155,ASML HOLDING N V N Y REGISTRY SHS,ADR,N07059210,,214162,309,SH,,SOLE,,309,0,0,asml holding n v n y registry shs,"Western Pacific Wealth Management, LP",31-DEC-2024,,2024-12-31
0001731837-25-000001,109273274,ASML HOLDING,Common Stock,N07059210,,40891,59,SH,,SOLE,,0,0,59,asml holding,"GPS Wealth Strategies Group, LLC",31-DEC-2024,,2024-12-31
0001767699-25-000001,109189072,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,233568,337,SH,,SOLE,0,0,0,337,asml holding n v,"ALTERNA WEALTH MANAGEMENT, INC",31-DEC-2024,,2024-12-31
0000892303-25-000001,109147934,ASML HOLDING NV ADR,COMMON STOCK,N07059210,,32719593,47209,SH,,SOLE,,47134,0,75,asml holding nv adr,STOCK YARDS BANK & TRUST CO,31-DEC-2024,,2024-12-31
0002001434-25-000002,109167442,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,785953,1134,SH,,SOLE,,1134,0,0,asml holding n v,"Burford Brothers, Inc.",31-DEC-2024,,2024-12-31
0001750086-25-000002,109171884,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,160795,232,SH,,SOLE,,0,0,232,asml holding n v,"HHM Wealth Advisors, LLC",31-DEC-2024,,2024-12-31
0001172661-25-000357,109156066,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,5237606,7557,SH,,SOLE,,4388,0,3169,asml holding n v,"WESPAC Advisors SoCal, LLC",31-DEC-2024,,2024-12-31
0001012975-25-000059,109226178,ASML HOLDING NV,N Y REGISTRY SHS,N07059210,,843193,1200,SH,,SOLE,,1200,0,0,asml holding nv,HELIOS CAPITAL MANAGEMENT PTE. LTD,31-DEC-2024,,2024-12-31
0001861678-25-000001,109541171,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,51288,74,SH,,SOLE,,0,0,74,asml holding n v,"Bradley & Co. Private Wealth Management, LLC",31-DEC-2024,,2024-12-31
0000887602-25-000001,109191926,ASML HOLDING NV EUR0.09 NY REGISTRY SHS 2012,N Y REGISTRY SHS,N07059210,,13862,20,SH,,SOLE,,0,0,20,asml holding nv eur0.09 ny registry shs 2012,"BARRETT & COMPANY, INC.",31-DEC-2024,,2024-12-31
0001452861-25-000001,109152642,ASML HOLDING N V,N Y REGISTRY SHS,N07059950,,337391344,486800,SH,Put,SOLE,,0,0,0,asml holding n v,"IMC-Chicago, LLC",31-DEC-2024,,2024-12-31
0001452861-25-000001,109152641,ASML HOLDING N V,N Y REGISTRY SHS,N07059900,,341896364,493300,SH,Call,SOLE,,0,0,0,asml holding n v,"IMC-Chicago, LLC",31-DEC-2024,,2024-12-31
0001791996-25-000001,109113713,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,517731,747,SH,,SOLE,,0,0,747,asml holding n v,1900 WEALTH MANAGEMENT LLC,31-DEC-2024,,2024-12-31
0001836270-25-000001,109116765,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,3465,5,SH,,SOLE,,5,0,0,asml holding n v,"Iron Horse Wealth Management, LLC",31-DEC-2024,,2024-12-31
