FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"A. D. Beadell Investment Counsel, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMI INVESTMENT MANAGEMENT INC,4699.0,5458.0,5861.0,6988.0,8251.0,10020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMJ Financial Wealth Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5660611.0,5979011.0,7204342.0,8848665.0,5292605.0,6135402.0
ARCADIA INVESTMENT ADVISORS LLC,0.0,0.0,0.0,0.0,0.0,9897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ATALANTA SOSNOFF CAPITAL, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4411594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Abbot Financial Management, Inc.",2476.0,2971.0,3072.0,3479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acropolis Investment Management, LLC",958.0,1182.0,1502.0,1826.0,2128.0,2352.0,2547.0,2729.0,2728.0,2195.0,1937.0,2158994.0,2880711.0,3459640.0,4362722.0,4697068.0,5057018.0,6350548.0,12075459.0,6663975.0
"AdvisorNet Financial, Inc",4494.0,5616.0,6017.0,6718.0,7582.0,8817.0,3713.0,4143.0,4739.0,3864.0,3607.0,2059926.0,2478652.0,2810942.0,2643532.0,3249081.0,3486064.0,4252059.0,4646211.0,5037170.0
AllSquare Wealth Management LLC,564.0,684.0,674.0,806.0,971.0,1148.0,1144.0,1263.0,1257.0,1018.0,883.0,840832.0,1002654.0,1195394.0,1255340.0,1381953.0,1560918.0,1873777.0,1638930.0,1908523.0
"American Money Management, LLC",3809.0,4618.0,4512.0,5291.0,6140.0,7308.0,7964.0,8542.0,7815.0,6180.0,5421.0,5190091.0,6011047.0,6976430.0,7762502.0,8179920.0,8660951.0,7561775.0,6715499.0,7659893.0
"Asset Planning,Inc",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7359545.0
Avondale Wealth Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAKER BOYER NATIONAL BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634440.0,1560900.0,1721112.0
BAXTER BROS INC,18914.0,22729.0,22636.0,27127.0,31876.0,37828.0,39982.0,43395.0,42001.0,33495.0,28835.0,26536000.0,30818568.0,35602922.0,38389054.0,40254505.0,0.0,0.0,0.0,0.0
BOSTON FAMILY OFFICE LLC,13735.0,16946.0,17480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Baker Avenue Asset Management, LP",3582.0,4654.0,5031.0,11840.0,19699.0,24237.0,25518.0,0.0,29289.0,23291.0,18973.0,16886428.0,21505795.0,25123323.0,27447125.0,60237858.0,32506041.0,0.0,0.0,0.0
Balentine LLC,480.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ballast, Inc.",0.0,222.0,230.0,0.0,210.0,249.0,272.0,275.0,472.0,370.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Battery Global Advisors, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795397.0
Baystate Wealth Management LLC,648.0,875.0,576.0,678.0,776.0,918.0,995.0,1083.0,1146.0,1183.0,1013.0,956.0,868324.0,1145649.0,1405829.0,2047157.0,0.0,0.0,0.0,0.0
"Bear Mountain Capital, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0
"Berger Financial Group, Inc",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10749.0,10188.0,8549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bouchey Financial Group Ltd,0.0,0.0,3628.0,2166.0,2475.0,2878.0,3101.0,3193.0,3064.0,2400.0,2151.0,2021393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brightworth,0.0,0.0,0.0,0.0,0.0,0.0,17682.0,19410.0,19016.0,16033.0,15184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAZ INVESTMENTS LP,0.0,2403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLONY GROUP LLC,46860.0,60446.0,62124.0,68440.0,88001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CONCENTRIC WEALTH MANAGEMENT, LLC",4842.0,5969.0,6177.0,7331.0,8700.0,10323.0,10889.0,11580.0,11073.0,8813.0,7854.0,7320204.0,8702222.0,9804746.0,10934607.0,11715164.0,12715173.0,15334750.0,13832335.0,0.0
"CPWM, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CURIO WEALTH, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632540.0
"Cable Hill Partners, LLC",551.0,672.0,573.0,594.0,714.0,1162.0,1497.0,1709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cahaba Wealth Management, Inc.",0.0,0.0,0.0,0.0,227.0,227.0,395.0,440.0,333.0,313.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Capital Directions Investment Advisors, LLC",411.0,499.0,517.0,1552.0,609.0,792.0,492.0,0.0,875.0,605.0,539.0,522364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Carmel Capital Partners, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124476.0,143640.0,0.0,0.0,0.0,0.0,0.0,0.0
"Carroll Financial Associates, Inc.",1537.0,2113.0,2186.0,2738.0,3398.0,4015.0,4378.0,4202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cassady Schiller Wealth Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.0,1041.0,676.0,740.0,1238749.0,659080.0,798591.0,879516.0,939131.0,0.0,0.0,0.0,0.0
Certified Advisory Corp,1414.0,1707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clarity Wealth Advisors, LLC",3677.0,4374.0,4524.0,5475.0,6387.0,7515.0,8702.0,9348.0,8939.0,5360.0,4750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Column Capital Advisors, LLC",907.0,1175.0,1161.0,1129.0,1242.0,1490.0,1628.0,1788.0,1558.0,1221.0,1288.0,1154889.0,1166188.0,1344295.0,1466094.0,0.0,0.0,0.0,0.0,0.0
Congress Wealth Management LLC / DE /,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19782.0,19210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
