FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"A. D. Beadell Investment Counsel, Inc.",,,,,,,,inf,-2.66,-100.0,,,,,,,,,,
AMI INVESTMENT MANAGEMENT INC,,16.15,7.38,19.23,18.07,21.44,-100.0,,,,,,,,,,,,,
AMJ Financial Wealth Management,,,,,,,,,,,,,,,inf,5.62,20.49,22.82,-40.19,15.92
ARCADIA INVESTMENT ADVISORS LLC,,,,,,inf,-100.0,,,,,,,,,,,,,
"ATALANTA SOSNOFF CAPITAL, LLC",,,,,,,,,,,,inf,-100.0,,,,,,,
"Abbot Financial Management, Inc.",,19.99,3.4,13.25,-100.0,,,,,,,,,,,,,,,
"Acropolis Investment Management, LLC",,23.38,27.07,21.57,16.54,10.53,8.29,7.15,-0.04,-19.54,-11.75,111360.71,33.43,20.1,26.1,7.66,7.66,25.58,90.15,-44.81
"AdvisorNet Financial, Inc",,24.97,7.14,11.65,12.86,16.29,-57.89,11.58,14.39,-18.46,-6.65,57009.12,20.33,13.41,-5.96,22.91,7.29,21.97,9.27,8.41
AllSquare Wealth Management LLC,,21.28,-1.46,19.58,20.47,18.23,-0.35,10.4,-0.48,-19.01,-13.26,95124.46,19.25,19.22,5.01,10.09,12.95,20.04,-12.53,16.45
"American Money Management, LLC",,21.24,-2.3,17.27,16.05,19.02,8.98,7.26,-8.51,-20.92,-12.28,95640.47,15.82,16.06,11.27,5.38,5.88,-12.69,-11.19,14.06
"Asset Planning,Inc",,,,,,,,,,,,,,,,,,,,inf
Avondale Wealth Management,,,,,,,,,inf,-100.0,,,,,,,,,,
BAKER BOYER NATIONAL BANK,,,,,,,,,,,,,,,,,,inf,-4.5,10.26
BAXTER BROS INC,,20.17,-0.41,19.84,17.51,18.67,5.69,8.54,-3.21,-20.25,-13.91,91927.05,16.14,15.52,7.83,4.86,-100.0,,,
BOSTON FAMILY OFFICE LLC,,23.38,3.15,-100.0,,,,,,,,,,,,,,,,
"Baker Avenue Asset Management, LP",,29.93,8.1,135.34,66.38,23.04,5.29,-100.0,inf,-20.48,-18.54,88902.41,27.36,16.82,9.25,119.47,-46.04,-100.0,,
Balentine LLC,,-2.5,-100.0,,,,,,,,,,,,,,,,,
"Ballast, Inc.",,inf,3.6,-100.0,inf,18.57,9.24,1.1,71.64,-21.61,-12.16,-100.0,,,,,,,,
"Battery Global Advisors, LLC",,,,,,,,,,,,,,,,,,,,inf
Baystate Wealth Management LLC,,35.03,-34.17,17.71,14.45,18.3,8.39,8.84,5.82,3.23,-14.37,-5.63,90728.87,31.94,22.71,45.62,-100.0,,,
"Bear Mountain Capital, Inc.",,,,,,,,,,,,,,,,,,,,inf
"Berger Financial Group, Inc",,,,,,,,inf,-5.22,-16.09,-100.0,,,,,,,,,
Bouchey Financial Group Ltd,,,inf,-40.3,14.27,16.28,7.75,2.97,-4.04,-21.67,-10.38,93874.57,-100.0,,,,,,,
Brightworth,,,,,,,inf,9.77,-2.03,-15.69,-5.3,-100.0,,,,,,,,
CAZ INVESTMENTS LP,,inf,-100.0,,,,,,,,,,,,,,,,,
COLONY GROUP LLC,,28.99,2.78,10.17,28.58,-100.0,,,,,,,,,,,,,,
"CONCENTRIC WEALTH MANAGEMENT, LLC",,23.28,3.48,18.68,18.67,18.66,5.48,6.35,-4.38,-20.41,-10.88,93103.51,18.88,12.67,11.52,7.14,8.54,20.6,-9.8,-100.0
"CPWM, LLC",,,,,,,,,,,inf,-100.0,,,,,,,,
"CURIO WEALTH, LLC",,,,,,,,,,,,,,,,,,,,inf
"Cable Hill Partners, LLC",,21.96,-14.73,3.66,20.2,62.75,28.83,14.16,-100.0,,,,,,,,,,,
"Cahaba Wealth Management, Inc.",,,,,inf,0.0,74.01,11.39,-24.32,-6.01,10.86,-100.0,,,,,,,,
"Capital Directions Investment Advisors, LLC",,21.41,3.61,200.19,-60.76,30.05,-37.88,-100.0,inf,-30.86,-10.91,96813.54,-100.0,,,,,,,
"Carmel Capital Partners, LLC",,,,,,,,,,,,,inf,15.4,-100.0,,,,,
"Carroll Financial Associates, Inc.",,37.48,3.45,25.25,24.11,18.16,9.04,-4.02,-100.0,,,,,,,,,,,
"Cassady Schiller Wealth Management, LLC",,,,,,,,inf,-3.7,-35.06,9.47,167298.51,-46.79,21.17,10.13,6.78,-100.0,,,
Certified Advisory Corp,,20.72,-100.0,,,,,,,,,,,,,,,,,
"Clarity Wealth Advisors, LLC",,18.96,3.43,21.02,16.66,17.66,15.8,7.42,-4.38,-40.04,-11.38,-100.0,,,,,,,,
"Column Capital Advisors, LLC",,29.55,-1.19,-2.76,10.01,19.97,9.26,9.83,-12.86,-21.63,5.49,89565.3,0.98,15.27,9.06,-100.0,,,,
Congress Wealth Management LLC / DE /,,,,,,,,,,inf,-2.89,-100.0,,,,,,,,
"Connective Capital Management, LLC",,,,,,,,,,,,,,,,inf,-100.0,,,
Creative Capital Management Investments LLC,,,,,,,,,,,,inf,387011.7,0.0,-14.41,-46.63,8.05,21.45,-12.75,17.62
"Crescent Capital Consulting, LLC",,,,inf,465.12,-71.19,14.29,32.5,-100.0,,,,,,,,,,,
"Crossmark Global Holdings, Inc.",,,,,,,inf,-100.0,,,,,,,,,,,,
"Cubic Asset Management, LLC",,,,,,,inf,-100.0,,,,,,,,,,,,
DOCK STREET ASSET MANAGEMENT INC,,5.84,3.99,-100.0,,,,,,,,,,,,,,,,
"Deane Retirement Strategies, Inc.",,,,,,,,,,,,,,,inf,7.02,171.53,-42.17,-100.0,inf
Delta Financial Advisors LLC,,23.59,1.43,-100.0,inf,26.13,6.44,7.03,-3.37,-23.39,-11.9,-100.0,,,,,,,,
"Detalus Advisors, LLC",,22.76,3.51,19.81,25.48,18.32,8.47,-4.29,-12.56,-16.55,-12.19,-100.0,,,,,,,,
"Diversified Portfolios, Inc.",,,,,,inf,150.44,1.06,-8.65,-33.59,-47.41,125670.14,9.66,14.21,-11.71,6.17,13.68,54.23,-8.15,17.92
"Duncan Williams Asset Management, LLC",,,,,,,,,,,,,,,,,,,inf,38.2
ENTERPRISE FINANCIAL SERVICES CORP,,22.5,-8.57,-22.77,-100.0,inf,-65.74,-100.0,,,,,,,,,,,,
"Edmonds Duncan Registered Investment Advisors, LLC",,22.0,3.28,43.65,-1.99,18.38,9.52,-68.96,2.8,-19.89,-12.24,92233.72,17.57,15.4,9.32,9.91,8.55,24.7,-8.06,-100.0
