ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001095449-25-000017,111807163,Google Inc Class C,Class C,02079K107,,942339,4948,SH,,SOLE,,4948,0,0,google inc class c,"Wilson & Boucher Capital Management, LLC",31-DEC-2024,,2024-12-31
0001095449-25-000009,111778616,GOOGLE INC,Stock,02079K305,,400913,2118,SH,,SOLE,,0,0,2118,google inc,JDM Financial Group LLC,31-DEC-2024,,2024-12-31
0001079398-25-000002,108916126,Alphabet (Google) Class C,Com,02079K107,,1232718,6473,SH,,SOLE,0,6473,0,0,alphabet (google) class c,BAKER BOYER NATIONAL BANK,31-DEC-2024,,2024-12-31
0001659346-25-000002,108782740,GOOGLE INC,Stock,02079K305,,3370297,17804,SH,,SOLE,,0,0,17804,google inc,"Deane Retirement Strategies, Inc.",31-DEC-2024,,2024-12-31
0001707856-25-000001,108923712,GOOGLE INC,Stock,02079K305,,480822,2540,SH,,SOLE,,0,0,2540,google inc,"Franklin, Parlapiano, Turner & Welch, LLC",31-DEC-2024,,2024-12-31
0001756543-25-000001,109161022,Google Inc Class A,CL A COM,02079K305,,539505,2850,SH,,SOLE,,0,0,0,google inc class a,"RVW Wealth, LLC",31-DEC-2024,,2024-12-31
0001756543-25-000001,109161021,Google Inc Class C,CAP STK CL C,02079K107,,356275,1871,SH,,SOLE,,0,0,0,google inc class c,"RVW Wealth, LLC",31-DEC-2024,,2024-12-31
0001310929-25-000001,109117787,Google Inc Class A,COM,02079K305,,22847942,120697,SH,,SOLE,,20644,0,100053,google inc class a,Willis Investment Counsel,31-DEC-2024,,2024-12-31
0001310929-25-000001,109117786,Google Inc,COM,02079K107,,245858,1291,SH,,SOLE,,0,0,1291,google inc,Willis Investment Counsel,31-DEC-2024,,2024-12-31
0001356407-25-000001,109417208,Alphabet Inc Cap Stock Cl A (Google),Com,02079K305,,8795635,46464,SH,,SOLE,0,46464,0,0,alphabet inc cap stock cl a (google),Indiana Trust & Investment Management Co,31-DEC-2024,,2024-12-31
0001356407-25-000001,109417207,Alphabet Inc Cap Stock Cl C (Google),Com,02079K107,,1407542,7391,SH,,SOLE,0,7391,0,0,alphabet inc cap stock cl c (google),Indiana Trust & Investment Management Co,31-DEC-2024,,2024-12-31
0000905729-25-000021,109418646,Google Inc. Class C,COM,02079K107,,287846,1511,SH,,SOLE,,0,0,1511,google inc. class c,"Diversified Portfolios, Inc.",31-DEC-2024,,2024-12-31
0000905729-25-000021,109418645,Google Inc. Class A,COM,02079K305,,735620,3886,SH,,SOLE,,0,0,3886,google inc. class a,"Diversified Portfolios, Inc.",31-DEC-2024,,2024-12-31
0002053050-25-000005,109378397,GOOGLE INC.,COM,02079K305,,1204894,6365,SH,,SOLE,,6365,0,0,google inc.,LOUISBOURG INVESTMENTS INC.,31-DEC-2024,,2024-12-31
