REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,"Battery Global Advisors, LLC",795397
31-DEC-2024,Fairway Wealth LLC,3799
31-DEC-2024,LOUISBOURG INVESTMENTS INC.,9423085
31-DEC-2024,"LBMC INVESTMENT ADVISORS, LLC",7904904
31-DEC-2024,"LAM GROUP, INC.",455232
31-DEC-2024,Kentucky Retirement Systems Insurance Trust Fund,11138
31-DEC-2024,JDM Financial Group LLC,400913
31-DEC-2024,Indiana Trust & Investment Management Co,10203177
31-DEC-2024,Geo Capital Gestora de Recursos Ltd,7310
31-DEC-2024,"GILL CAPITAL PARTNERS, LLC",1738387
31-DEC-2024,"Frontier Asset Management, LLC",301394
31-DEC-2024,"Front Street Capital Management, Inc.",1337
31-DEC-2024,"Franklin, Parlapiano, Turner & Welch, LLC",480822
31-DEC-2024,Family CFO Inc,57488
31-DEC-2024,"Duncan Williams Asset Management, LLC",695888
31-DEC-2024,"Legacy Financial Advisors, Inc.",5245730
31-DEC-2024,"Diversified Portfolios, Inc.",1023466
31-DEC-2024,"Deane Retirement Strategies, Inc.",3370297
31-DEC-2024,Creative Capital Management Investments LLC,447695
31-DEC-2024,"CURIO WEALTH, LLC",1632540
31-DEC-2024,"Bear Mountain Capital, Inc.",990
31-DEC-2024,BAKER BOYER NATIONAL BANK,1721112
31-DEC-2024,"Asset Planning,Inc",7359545
31-DEC-2024,"American Money Management, LLC",7659893
31-DEC-2024,AllSquare Wealth Management LLC,1908523
31-DEC-2024,"AdvisorNet Financial, Inc",5037170
31-DEC-2024,"Acropolis Investment Management, LLC",6663975
31-DEC-2024,AMJ Financial Wealth Management,6135402
31-DEC-2024,LYNCH & ASSOCIATES/IN,5919828
31-DEC-2024,"Fusion Capital, LLC",1626807
31-DEC-2024,"Lindbrook Capital, LLC",12439547
31-DEC-2024,"TILIA FIDUCIARY PARTNERS, INC.",4230010
31-DEC-2024,"Your Advocates Ltd., LLP",22884
31-DEC-2024,"Wilson & Boucher Capital Management, LLC",942339
31-DEC-2024,Willis Investment Counsel,23093800
31-DEC-2024,"Westend Capital Management, LLC",17416
31-DEC-2024,"NBC SECURITIES, INC.",8176
31-DEC-2024,"Wellspring Financial Advisors, LLC",1434799
31-DEC-2024,"Waterway Wealth Management, LLC",456213
31-DEC-2024,Vigilare Wealth Management,3069920
31-DEC-2024,"Versant Capital Management, Inc",1702895
31-DEC-2024,"Valeo Financial Advisors, LLC",41612575
31-DEC-2024,"VISTA CAPITAL PARTNERS, INC.",1800141
31-DEC-2024,VICUS CAPITAL,5796277
31-DEC-2024,Tredje AP-fonden,538902161
31-DEC-2024,"Westchester Capital Management, Inc.",20960669
31-DEC-2024,"Sugarloaf Wealth Management, LLC",788072
31-DEC-2024,Pointe Capital Management LLC,2584702
31-DEC-2024,"Scott & Selber, Inc.",13831
31-DEC-2024,NewSquare Capital LLC,305720
31-DEC-2024,North Star Investment Management Corp.,13959211
31-DEC-2024,"Parallel Advisors, LLC",56633084
31-DEC-2024,"Persium Advisors, LLC",526822
31-DEC-2024,PENN DAVIS MCFARLAND INC,126719759
31-DEC-2024,"RVW Wealth, LLC",895780
31-DEC-2024,Richardson Capital Management LLC,408227
31-DEC-2024,"Rock Point Advisors, LLC",6507728
31-DEC-2024,SAYBROOK CAPITAL /NC,67633195
30-SEP-2024,LOUISBOURG INVESTMENTS INC.,8996459
30-SEP-2024,"Pinnacle Wealth Planning Services, Inc.",6041044
30-SEP-2024,"LBMC INVESTMENT ADVISORS, LLC",6934488
30-SEP-2024,LYNCH & ASSOCIATES/IN,5064094
30-SEP-2024,"Legacy Financial Advisors, Inc.",4476502
30-SEP-2024,"Lindbrook Capital, LLC",10595304
30-SEP-2024,"NBC SECURITIES, INC.",7179
