FILINGMANAGER_NAME,SNOW,PLTR,GOOGL,MSFT,ASML,AAPL,AMZN,CRM,TSLA,META,SHOP,NVDA,PANW,AMD
" CALDWELL SUTTER CAPITAL, INC.",0.13768912,0.020662000000000003,0.0,0.00490122,0.0,0.017476650000000003,0.05433667999999999,-0.004162360000000004,-0.13583382,0.026386890000000003,0.14939042999999996,0.0017011999999999982,0.0011950100000000003,0.07761557
" FOGEL CAPITAL MANAGEMENT, INC.",0.0,0.0,0.0,0.00415684,0.0,0.01945445,0.0,0.0,0.31243644,0.0,0.0,0.01841772,0.0,0.0
 HARRIS ASSOCIATES L P,0.0,0.0,0.0,0.005173609999999999,0.0,-0.057958350000000006,-0.17084027999999998,-0.21983493999999998,0.0,-0.008434349999999997,0.0,-0.10614000000000001,0.0,0.0
 NEUBERGER BERMAN GROUP LLC,-0.9534047199999999,12.741606330000003,0.0,0.10560638000000001,0.28589978000000005,0.2913372699999999,0.16825456,0.012999179999999999,0.6311581599999999,0.13248502,-0.10007304000000002,1.2870169500000002,0.27450466,0.12552073999999996
" ONCE CAPITAL MANAGEMENT, LLC",0.11010371999999997,0.0,0.0,0.0012986400000000002,0.0,-0.10173600000000001,0.030655679999999994,-0.067528,-0.308814,0.0,0.0,0.0197491,0.0,0.03809178999999999
&PARTNERS,-0.14952761999999997,17.8127843,0.0,0.7060120599999999,-0.13503893000000003,0.66249733,0.88200694,0.74679523,1.62870247,1.03046303,1.1203120999999998,5.978826799999999,0.83413501,-0.09772349
1 NORTH WEALTH SERVICES LLC,0.0,0.0,0.0,-0.00040999999999999994,0.0,0.0014960000000000002,0.0035479999999999995,0.0,0.010872,0.00045599999999999997,0.0,0.0021160000000000003,0.0,0.0
"10-15 ASSOCIATES, INC.",0.0,0.0,0.0,-0.0575,0.0,-0.1458,-0.0344,0.0,-0.6448999999999999,0.0,0.0,0.0,0.0,0.0
10Elms LLP,0.0,0.0,0.0,-0.00040999999999999994,0.0,0.0014960000000000002,0.0035479999999999995,0.0,0.010872,0.0,0.0,0.0021160000000000003,0.0,0.0
11 Capital Partners LP,0.0,0.0,0.0,26.47430701,0.0987191,0.0,-138.41525091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12 West Capital Management LP,0.43428710000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1248 Management, LLC",0.0,0.0,0.0,-0.00040999999999999994,0.0,0.0014960000000000002,0.0035479999999999995,0.0,0.010872,0.00045599999999999997,0.0,0.0021160000000000003,0.0012939999999999998,-0.0052759999999999994
1492 Capital Management LLC,0.0,0.0,0.0,30.965062060000008,0.0,-0.060594590000000004,0.03891823999999999,0.0,0.0,0.020475270000000004,0.0,0.3443283,0.0,0.22963501999999997
14B Captial Management LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04750637,0.0,0.0,0.0,0.0
"1620 INVESTMENT ADVISORS, INC.",-0.29896022,1.07635768,0.0,30.55133829,0.0,-55.67767193,-199.81579916,0.05174316999999999,2.03982258,0.08015759999999998,0.17293958999999998,0.18217554,-128.88551675,-0.0052759999999999994
1623 Capital LLC,-0.058304,1.08928694,0.0,-0.0575,216.15367550999997,-58.66889965,-180.0538197,0.0,0.0,-0.179153,0.0,2.6304289,0.0,0.0
"17 CAPITAL PARTNERS, LLC",0.0,0.0,0.0,0.05481292,0.18637800000000002,0.24741262,0.64043938,0.31869486,0.0,0.4868719000000001,0.0,0.5134745799999999,0.18681188999999998,0.27333669
1776 WEALTH LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776 Wealth LLC,0.0,444.4734678400001,0.0,299.90567818,0.0,355.74411232,294.85930355,866.6239589300001,1364.4028468299998,1340.9072776700002,0.0,1713.89083276,0.12092403000000003,0.0
"180 WEALTH ADVISORS, LLC",-159.82008534000002,0.7371530700000001,0.0,31.77991621,489.92382602,-61.35376622999999,-227.46178774999996,-115.1677651,-316.90272467,-119.6208325,0.1548646,325.99603688999986,0.28706697999999997,23.09591086
1832 Asset Management L.P.,-148.63499130999992,1131.1035724399999,0.0,29.507988039999997,132584.55006062,-44.60059031,-191.30449388,-67.13573172000001,66.96364308,-120.28166132999999,327.49278910999993,232.71067163000004,4154.810554459999,42.996633020000004
1834 INVESTMENT ADVISORS CO,0.0,-0.69776156,0.0,0.09829542999999998,0.007172950000000004,0.21950961,0.27860763,-0.22331055,0.33577822,1.9981308700000004,0.0,3.796080519999999,-0.05405196000000001,0.6954632699999999
"1858 WEALTH MANAGEMENT, LLC",0.006886,0.0,0.0,0.0160829,0.0,0.07624967,0.07054795999999999,0.09451699,-0.12584,0.036279729999999996,0.0,0.41449964999999994,0.039770690000000004,0.09013735999999997
"1888 Investments, LLC",-0.202397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900 WEALTH MANAGEMENT LLC,0.0,0.0,0.0,31.298808039999997,0.5572479899999999,-56.11576656000001,-190.39044101000002,0.46727492,0.060208,-92.96304037,0.0,0.3731684099999999,0.26997941000000003,0.0
1ST SOURCE BANK,0.0,0.0,0.0,30.27149037,0.0,-56.01677041999999,-189.20165651999997,-67.39642834,1.2100634000000001,-15.16902191,0.0,242.95798115,-130.84803326,0.15467557000000004
"20/20 Capital Management, Inc.",0.0,0.0,0.0,0.23030394999999998,0.0,0.015982959999999997,0.07118026,0.007358000000000017,0.9751226499999999,0.0,-0.31815,0.057552210000000006,0.0,-0.01882976
25 LLC,0.134712,0.0,0.0,0.21967797000000003,0.0,0.15017547,0.3341529,0.08193575,-0.13604258999999996,0.14345103,0.19531099999999998,1.4713070799999997,0.18714488,0.23310947999999998
