FILINGMANAGER_NAME,avg_turnover,quarters_held,avg_investment,ticker,ticker_id,tickers_invested
"Ballast, Inc.",0.18327408575828963,9,291.6666666666667,google,1,1
"Clarity Wealth Advisors, LLC",0.15673721104592414,11,6277.363636363636,google,1,1
Delta Financial Advisors LLC,0.15934477507168943,10,4755.4,google,1,4
"Detalus Advisors, LLC",0.14394327257608522,11,1015.3636363636364,google,1,1
"Endurance Wealth Management, Inc.",0.20063135496681844,14,4977.928571428572,google,1,5
"Ensign Peak Advisors, Inc",0.1272677971091983,10,1493442.9,google,1,1
JDM Financial Group LLC,0.10758981529377327,9,309808.77777777775,google,1,6
"LAM GROUP, INC.",0.2252989126931427,9,334474.6666666667,google,1,4
"Laurel Wealth Advisors, Inc.",0.2556452001683127,10,2291.4,google,1,6
"Nadler Financial Group, Inc.",0.21504390141338148,9,3458.0,google,1,1
Raab & Moskowitz Asset Management LLC,0.13049326257969332,11,4689.0,google,1,1
SCHAPER BENZ & WISE INVESTMENT COUNSEL INC/WI,0.11323064067811231,10,41277.1,google,1,1
"Scott & Selber, Inc.",0.17060289512951887,20,9026.4,google,1,6
Selway Asset Management,0.2916172700929919,9,7378.444444444444,google,1,1
"Sugarloaf Wealth Management, LLC",0.23301770548544426,9,2806717.888888889,google,1,1
TANAKA CAPITAL MANAGEMENT INC,0.13469768810030566,9,685.6666666666666,google,1,4
"Winfield Associates, Inc.",0.09681411322452205,9,3106.5555555555557,google,1,7
FINANCIAL PARTNERS CAPITAL MANAGEMENT LLC,0.15022782322343342,9,4188795.6666666665,palantir,2,1
JACOBS & CO/CA,0.2224408010826836,16,924.5,palantir,2,6
Lane Generational LLC,0.25419042066140496,9,5242204.0,palantir,2,1
PIN OAK INVESTMENT ADVISORS INC,0.285742997005526,13,209.07692307692307,palantir,2,4
VAN ECK ASSOCIATES CORP,0.19388787319813433,15,2645.866666666667,palantir,2,5
WADE G W & INC,0.20700754953629272,10,426.8,palantir,2,5
"ARGONAUTICA PRIVATE WEALTH MANAGEMENT, INC",0.2336192279638727,9,414465.6666666667,asml,3,6
ATLAS CAPITAL ADVISORS LLC,0.23952847705114597,19,1152142.6315789474,asml,3,2
AZZAD ASSET MANAGEMENT INC /ADV,0.23339537893069223,20,2264798.0,asml,3,7
Abundance Wealth Counselors,0.19568616876578515,9,403.3333333333333,asml,3,2
"Ashton Thomas Private Wealth, LLC",0.1937927248589869,11,1142252.4545454546,asml,3,6
"Aspen Grove Capital, LLC",0.21453484977011839,9,318620.77777777775,asml,3,3
"Atria Investments, Inc",0.19059282137093014,9,10442791.222222222,asml,3,6
Azimuth Capital Management LLC,0.11812020396421964,9,9611.777777777777,asml,3,5
"B. Riley Wealth Management, Inc.",0.15023497877137876,9,353.3333333333333,asml,3,1
BANQUE PICTET & CIE SA,0.2374034870181056,9,3477409.3333333335,asml,3,1
"BARRETT & COMPANY, INC.",0.1637377063286107,10,14726.8,asml,3,5
BIRINYI ASSOCIATES INC,0.20115472082071767,14,1001.6428571428571,asml,3,1
"BROWN, LISLE/CUMMINGS, INC.",0.19707245736493273,13,776115.1538461539,asml,3,9
"Banco de Sabadell, S.A",0.2405194842613236,14,2542.785714285714,asml,3,4
"Bleakley Financial Group, LLC",0.16173296835827608,9,5652229.888888889,asml,3,8
Brandywine Oak Private Wealth LLC,0.15865482133355313,9,281.55555555555554,asml,3,5
COMERICA BANK,0.270900238626469,12,10755.083333333334,asml,3,1
"COMMONWEALTH EQUITY SERVICES, LLC",0.2754753519766841,20,15369.7,asml,3,8
COOKSON PEIRCE & CO INC,0.2782556909809159,11,3364.6363636363635,asml,3,1
"CWM, LLC",0.25303423142906345,19,1114.7894736842106,asml,3,8
Calamos Advisors LLC,0.25817644048255384,9,15485416.888888888,asml,3,9
Carr Financial Group Corp,0.13877317957433102,9,455502.55555555556,asml,3,6
Cedrus LLC,0.24253660165472776,12,378287.0833333333,asml,3,4
"Centerpoint Advisors, LLC",0.1692307692307692,14,3.9285714285714284,asml,3,5
"Connecticut Wealth Management, LLC",0.22241387480649155,9,432422.44444444444,asml,3,1
"Continuum Advisory, LLC",0.2804220932363032,15,952999.8,asml,3,2
Covington Capital Management,0.20891632827870493,11,5067.727272727273,asml,3,6
"Crossmark Global Holdings, Inc.",0.15983082044633487,20,16546.75,asml,3,7
"DecisionPoint Financial, LLC",0.16194211559187177,9,2968.8888888888887,asml,3,4
Dougherty Wealth Advisers LLC,0.17776492269140706,9,89.44444444444444,asml,3,1
"Ellis Investment Partners, LLC",0.19427116161624847,11,41.81818181818182,asml,3,2
FARMERS & MERCHANTS TRUST Co OF LONG BEACH,0.18545653954784264,9,356705.6666666667,asml,3,1
"Fieldpoint Private Securities, LLC",0.15981455882475015,10,921.0,asml,3,6
"Financial & Tax Architects, LLC",0.2034198137863698,14,847202.0,asml,3,5
GOFEN & GLOSSBERG LLC /IL/,0.1830387480468729,12,68305.75,asml,3,5
GREENWOOD GEARHART INC,0.20512152109620205,9,10663647.0,asml,3,2
GUYASUTA INVESTMENT ADVISORS INC,0.11400087707136822,9,15955701.0,asml,3,1
"Great Lakes Retirement, Inc.",0.21535246312805126,9,893869.3333333334,asml,3,2
"HAZLETT, BURT & WATSON, INC.",0.22089177729892454,12,537.9166666666666,asml,3,7
"JARISLOWSKY, FRASER Ltd",0.2460884660900804,9,24177603.111111112,asml,3,6
JNBA Financial Advisors,0.18876934925013106,11,191.63636363636363,asml,3,1
Janney Montgomery Scott LLC,0.21780913925860662,19,24148.315789473683,asml,3,5
"Jarislowsky, Fraser Ltd",0.22133563044374394,15,16158.266666666666,asml,3,4
"KB FINANCIAL PARTNERS, LLC",0.16866447830024417,11,762.6363636363636,asml,3,3
"Knowledge Leaders Capital, LLC",0.1956541302738841,10,1586.3,asml,3,1
Lester Murray Antman dba SimplyRich,0.19161715188397624,20,1237.55,asml,3,4
"LifeSteps Financial, Inc.",0.1850351836975358,9,358362.0,asml,3,1
"Marietta Wealth Management, LLC",0.14069576386937344,9,6460032.0,asml,3,1
Moss Adams Wealth Advisors LLC,0.1759276074574169,9,1218446.888888889,asml,3,5
OGOREK ANTHONY JOSEPH /NY/ /ADV,0.21400338546623376,20,19.75,asml,3,1
OneAscent Financial Services LLC,0.2962863423505685,15,576.0666666666667,asml,3,2
PARADIGM ASSET MANAGEMENT CO LLC,0.20695561652074973,20,2300192.1,asml,3,2
PRICE T ROWE ASSOCIATES INC /MD/,0.2987734965472357,20,5138651.0,asml,3,5
"Private Capital Group, LLC",0.2134904382186746,10,641.4,asml,3,6
"Procyon Advisors, LLC",0.2221437446704987,9,534982.3333333334,asml,3,1
"Rappaport Reiches Capital Management, LLC",0.16241518434113583,11,261653.0909090909,asml,3,2
Rehmann Capital Advisory Group,0.2921491653816056,19,554534.2631578947,asml,3,4
Rheos Capital Works Inc.,0.24293509812859082,13,19212.384615384617,asml,3,2
Ritter Daniher Financial Advisory LLC / DE,0.19154111515294597,9,46353.77777777778,asml,3,2
SHUFRO ROSE & CO LLC,0.22097863420028968,9,345478.8888888889,asml,3,1
SIT INVESTMENT ASSOCIATES INC,0.24570632011531962,20,4890.05,asml,3,5
SOMERVILLE KURT F,0.26552669591977035,9,1694663.7777777778,asml,3,1
Silicon Valley Capital Partners,0.2974276480025895,9,5293837.777777778,asml,3,1
Silvant Capital Management LLC,0.16429398082058083,9,491196.8888888889,asml,3,1
Snowden Capital Advisors LLC,0.27653820721090244,16,3590964.4375,asml,3,1
TANAKA CAPITAL MANAGEMENT INC,0.18976332368841803,20,142.35,asml,3,4
TFC Financial Management,0.1999464866508614,9,141.0,asml,3,8
THOMAS STORY & SON LLC,0.1645367909196975,12,2575.0833333333335,asml,3,4
"Tanglewood Legacy Advisors, LLC",0.18419917862542953,9,26510.444444444445,asml,3,3
Ted Buchan & Co,0.14281880376459832,9,2628134.222222222,asml,3,4
"Transamerica Financial Advisors, Inc.",0.0,9,1.0,asml,3,1
"Two Creeks Capital Management, LP",0.1617189223673867,9,74529779.1111111,asml,3,1
VAN ECK ASSOCIATES CORP,0.27540339492137383,20,478916.05,asml,3,5
"Vigilant Capital Management, LLC",0.1509795097367383,11,26527.18181818182,asml,3,5
WEST PACES ADVISORS INC.,0.19756292282361662,20,137592.8,asml,3,6
"WORLD EQUITY GROUP, INC.",0.23867596797846435,10,290608.6,asml,3,3
"We Are One Seven, LLC",0.2821831991569834,9,1229.111111111111,asml,3,5
Wedmont Private Capital,0.2944792318137195,9,586197.1111111111,asml,3,1
ACG Wealth,0.22631732090916987,11,9607.09090909091,nvidia,4,5
"ARMISTICE CAPITAL, LLC",0.17118231844126985,9,11535183.111111112,nvidia,4,1
American Research & Management Co.,0.24101372762905515,11,10069.454545454546,nvidia,4,4
"Ashfield Capital Partners, LLC",0.2660530873678655,11,34476.72727272727,nvidia,4,4
Azimuth Capital Management LLC,0.24695916467277046,9,27025.0,nvidia,4,5
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.2738343257736991,20,36958.75,nvidia,4,4
Baron Wealth Management LLC,0.2420254494070463,9,1309771.3333333333,nvidia,4,5
Baskin Financial Services Inc.,0.18778629512384598,9,583.2222222222222,nvidia,4,4
"CAHABA WEALTH MANAGEMENT, INC.",0.24979886905590953,9,2265840.888888889,nvidia,4,4
CALAMOS WEALTH MANAGEMENT LLC,0.2555737683970475,11,14441.818181818182,nvidia,4,5
"CJM Wealth Advisers, Ltd.",0.28037927885365954,12,557230.9166666666,nvidia,4,5
CLARET ASSET MANAGEMENT Corp,0.2627714600960621,14,967.1428571428571,nvidia,4,3
COLONY GROUP LLC,0.274419670419719,15,27477.733333333334,nvidia,4,5
"CORBETT ROAD CAPITAL MANAGEMENT, LLC",0.26908845551475696,9,430.55555555555554,nvidia,4,4
"CROWN ADVISORS MANAGEMENT, INC.",0.27749685431743576,20,7677.7,nvidia,4,1
"Cambridge Financial Group, Inc.",0.29258724602270986,9,7625498.888888889,nvidia,4,3
Candriam Luxembourg S.C.A.,0.27128367201595044,9,103251.55555555556,nvidia,4,5
ClariVest Asset Management LLC,0.2950447270447186,11,57111.72727272727,nvidia,4,5
Close Asset Management Ltd,0.2575153802594094,16,31745.625,nvidia,4,4
Corbenic Partners LLC,0.25565103751640106,10,1198.8,nvidia,4,3
DOWLING & YAHNKE LLC,0.2880554523802962,11,7574.090909090909,nvidia,4,5
Davy Global Fund Management Ltd,0.21612085016446136,9,1844.111111111111,nvidia,4,3
Delta Financial Advisors LLC,0.2388327706015106,11,1259.8181818181818,nvidia,4,4
Doyle Wealth Management,0.29591533326966535,11,884.7272727272727,nvidia,4,5
EADS & HEALD WEALTH MANAGEMENT,0.2571542493054737,20,3037.9,nvidia,4,6
EVERENCE CAPITAL MANAGEMENT INC,0.2943744965475245,20,25747.9,nvidia,4,6
"Eagle Capital Management, LLC",0.23891846533735814,10,6455.8,nvidia,4,5
Enterprise Trust & Investment Co,0.24847670265296676,10,14361.8,nvidia,4,4
"Etesian Wealth Advisors, Inc.",0.2576557771180342,9,2460145.0,nvidia,4,6
"F&V Capital Management, LLC",0.26650540131011724,10,770.2,nvidia,4,4
Farmers & Merchants Trust Co of Chambersburg PA,0.26088236491102007,18,3058.1666666666665,nvidia,4,5
"First Pacific Advisors, LP",0.206431857487532,10,897.7,nvidia,4,2
"Foresight Wealth Management, LLC",0.214230312543552,11,1212.2727272727273,nvidia,4,3
"GARRISON POINT ADVISORS, LLC",0.243999537817168,9,5790281.444444444,nvidia,4,5
GOFEN & GLOSSBERG LLC /IL/,0.20923896123501706,12,10086.333333333334,nvidia,4,5
"GS Investments, Inc.",0.20393654844103876,9,4367732.555555556,nvidia,4,6
"Garrison Point Advisors, LLC",0.23904045000347146,11,2538.4545454545455,nvidia,4,5
Generali Investments Towarzystwo Funduszy Inwestycyjnych,0.18347448047835432,12,4703753.5,nvidia,4,8
Gifford Fong Associates,0.25759889571949396,20,37383.25,nvidia,4,7
"Grandeur Peak Global Advisors, LLC",0.2360673857216261,10,607.4,nvidia,4,1
Gulf International Bank (UK) Ltd,0.2579977541543141,20,115950.55,nvidia,4,6
HALL LAURIE J TRUSTEE,0.29150847730387763,18,4551.055555555556,nvidia,4,6
"HANTZ FINANCIAL SERVICES, INC.",0.24571204380641157,20,18228.95,nvidia,4,8
HENDLEY & CO INC,0.24615586648682555,15,813.5333333333333,nvidia,4,4
Hayek Kallen Investment Management,0.22762810877304188,20,4347.3,nvidia,4,4
Hudson Canyon Capital Management,0.22778925709450715,17,6292894.588235294,nvidia,4,8
IBM Retirement Fund,0.26021646217863315,9,10228.222222222223,nvidia,4,7
Ilmarinen Mutual Pension Insurance Co,0.28880373544181326,20,104732.85,nvidia,4,4
Intrinsic Edge Capital Management LLC,0.23381134836951376,9,6069.222222222223,nvidia,4,1
JACOBS & CO/CA,0.2535785122454073,20,15557.5,nvidia,4,6
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,0.27350696562887744,16,107728.875,nvidia,4,5
Lannebo Fonder AB,0.1645088409346883,9,21841.555555555555,nvidia,4,5
"Lenox Wealth Advisors, LLC",0.263317275841382,9,138.0,nvidia,4,4
Lipe & Dalton,0.25758038159838215,19,441.2631578947368,nvidia,4,5
Loveless Wealth Management LLC,0.220925054571994,10,1376.6,nvidia,4,4
Maryland Capital Management,0.23028957337480618,11,2086.090909090909,nvidia,4,5
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,0.28017482326750853,20,1063214.6,nvidia,4,7
North Growth Management Ltd.,0.22477283739852108,20,9321.25,nvidia,4,2
OAK ASSOCIATES LTD /OH/,0.2617165622329982,9,25111244.444444444,nvidia,4,2
OAKMONT CORP,0.22528818803966985,9,7099.888888888889,nvidia,4,4
"Olistico Wealth, LLC",0.27617776734354527,9,3048246.888888889,nvidia,4,5
"Opus Capital Group, LLC",0.19121241287574345,12,522.5,nvidia,4,5
PARK NATIONAL CORP /OH/,0.23232854423909183,9,84440694.55555555,nvidia,4,1
"PATRIOT INVESTMENT MANAGEMENT GROUP, INC.",0.2818755097632174,9,4297839.333333333,nvidia,4,5
PAYDEN & RYGEL,0.273301510587196,11,1236.1818181818182,nvidia,4,2
