FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3196988.0,3909454.0,3131151.0
 HARRIS ASSOCIATES L P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16094702.0,17713011.0,0.0
 NEUBERGER BERMAN GROUP LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7703213.0,9983814.0,29231148.0,17177000.0,17614317.0
&PARTNERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629841.0,2413771.0,3634147.0,13171087.0,34298197.0,59524385.0
1 NORTH WEALTH SERVICES LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278117.0
"1248 Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2210886.0
1492 Capital Management LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262194.0,298241.0,312662.0
14B Captial Management LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19113840.0,25492950.0,19664580.0,9216284.0,9426711.0
"1620 INVESTMENT ADVISORS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17781.0,78183.0
1623 Capital LLC,0.0,0.0,0.0,0.0,77.0,0.0,0.0,9418.0,0.0,0.0,0.0,0.0,0.0,0.0,8135691.0,9592316.0,0.0,0.0,0.0,0.0
"17 CAPITAL PARTNERS, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,14807.0,9569.0,6939.0,5839.0,0.0,0.0,0.0,0.0,15782015.0,21272774.0,22134250.0,25144427.0,25706817.0
1776 WEALTH LLC,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776 Wealth LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,413.0,300.0,253.0,224.0,394844.0,0.0,0.0,0.0,0.0,0.0,281640.0,288071.0
"180 WEALTH ADVISORS, LLC",0.0,0.0,0.0,0.0,280.0,323.0,0.0,6174.0,4742.0,3536.0,2726.0,2903854.0,3959675.0,4677309.0,4927371.0,5458078.0,7355129.0,7907452.0,8628768.0,8684116.0
1832 Asset Management L.P.,38362.0,34250.0,35596.0,42605.0,27134.0,60786.0,18916.0,212308.0,21209.0,27265.0,54318.0,58908215.0,144054704.0,487712933.0,539556557.0,497594047.0,666328714.0,448087255.0,497548485.0,514623081.0
1834 INVESTMENT ADVISORS CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488821.0,1752532.0,2327121.0,2435304.0,1951736.0,1689333.0,1754686.0,1723617.0,1777609.0
"1858 WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564794.0,2564794.0,3644502.0,4057455.0,4271881.0
1900 WEALTH MANAGEMENT LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177.0,746.0,541.0,449.0,372007.0,372008.0,878820.0,1085951.0,1183041.0,782570.0,829408.0,1026947.0,372469.0
1ST SOURCE BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7980.0,5277.0,3826.0,3044.0,444295.0,807491.0,1190967.0,1288802.0,1462917.0,2057888.0,2544294.0,2988137.0,3092078.0
25 LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94242.0,130692.0,0.0,0.0,244339.0,252299.0,308284.0,290024.0
"360 Financial, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,212576.0,287841.0,300070.0,344403.0,472517.0,490706.0,733610.0,750560.0
361 CAPITAL LLC,1560.0,1044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3Chopt Investment Partners, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627092.0,1306610.0,1592739.0,0.0,3022464.0,4437716.0,6241235.0,5836026.0,5691157.0
3G Capital Partners LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9537300.0,14349000.0,23416380.0,32741300.0,44916150.0,34034850.0,42933000.0,45377025.0
400 Capital Management LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0,3127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44 WEALTH MANAGEMENT LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,0.0,230.0,0.0,0.0,325116.0,316539.0,0.0,0.0,0.0,0.0,930813.0,968650.0
"49 WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332014.0,507565.0,374978.0,539268.0,774285.0
4J Wealth Management LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.0,645.0,441.0,371.0,309996.0,471778.0,617868.0,643350.0,597131.0,791033.0,776043.0,883354.0,904132.0
"4WEALTH ADVISORS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730264.0
"55I, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1467.0,1371.0,1068.0,4119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
