FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",,,,,,,,,,,,,,,,,,inf,22.29,-19.91
 HARRIS ASSOCIATES L P,,,,,,,,,,,,,,,,,,inf,10.05,-100.0
 NEUBERGER BERMAN GROUP LLC,,,,,,,,,,,,,,,,inf,29.61,192.79,-41.24,2.55
&PARTNERS,,,,,,,,,,,,,,,inf,283.23,50.56,262.43,160.41,73.55
1 NORTH WEALTH SERVICES LLC,,,,,,,,,,,,,,,,,,,,inf
"1248 Management, LLC",,,,,,,,,,,,,,,,,,,,inf
1492 Capital Management LLC,,,,,,,,,,,,,,,,,,inf,13.75,4.84
14B Captial Management LP,,,,,,,,,,,,,,,,inf,33.37,-22.86,-53.13,2.28
"1620 INVESTMENT ADVISORS, INC.",,,,,,,,,,,,,,,,,,,inf,339.7
1623 Capital LLC,,,,,inf,-100.0,,inf,-100.0,,,,,,inf,17.9,-100.0,,,
"17 CAPITAL PARTNERS, LLC",,,,,,,,inf,-35.38,-27.48,-15.85,-100.0,,,,inf,34.79,4.05,13.6,2.24
1776 WEALTH LLC,,-100.0,,,,,,,,,,,,,,,,,,
1776 Wealth LLC,,,,,,,,inf,-41.91,-27.36,-15.67,-11.46,176169.64,-100.0,,,,,inf,2.28
"180 WEALTH ADVISORS, LLC",,,,,inf,15.36,-100.0,inf,-23.19,-25.43,-22.91,106424.36,36.36,18.12,5.35,10.77,34.76,7.51,9.12,0.64
1832 Asset Management L.P.,,-10.72,3.93,19.69,-36.31,124.02,-68.88,1022.37,-90.01,28.55,99.22,108350.63,144.54,238.56,10.63,-7.78,33.91,-32.75,11.04,3.43
1834 INVESTMENT ADVISORS CO,,,,,,,,,,,,inf,258.52,32.79,4.65,-19.86,-13.44,3.87,-1.77,3.13
"1858 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,0.0,42.1,11.33,5.28
1900 WEALTH MANAGEMENT LLC,,,,,,,,inf,-36.62,-27.48,-17.01,82752.34,0.0,136.24,23.57,8.94,-33.85,5.99,23.82,-63.73
1ST SOURCE BANK,,,,,,,,inf,-33.87,-27.5,-20.44,14495.76,81.75,47.49,8.21,13.51,40.67,23.64,17.44,3.48
25 LLC,,,,,,,,,,,,,inf,38.68,-100.0,,inf,3.26,22.19,-5.92
"360 Financial, Inc.",,,,,,,,inf,-100.0,,,,inf,35.41,4.25,14.77,37.2,3.85,49.5,2.31
361 CAPITAL LLC,,-33.08,-100.0,,,,,,,,,,,,,,,,,
"3Chopt Investment Partners, LLC",,,,,,,,,,,,inf,108.36,21.9,-100.0,inf,46.82,40.64,-6.49,-2.48
3G Capital Partners LP,,,,,,,,,,,,,inf,50.45,63.19,39.82,37.18,-24.23,26.14,5.69
400 Capital Management LLC,,,,,,,,inf,232.66,-100.0,,,,,,,,,,
44 WEALTH MANAGEMENT LLC,,,,,,,,inf,-100.0,inf,-100.0,,inf,-2.64,-100.0,,,,inf,4.06
"49 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,52.87,-26.12,43.81,43.58
