ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0002031775-25-000001,111862637,META PLATFORMS INC,CL A,30303M102,,1512103,2297,SH,,SOLE,0,0,0,2297,meta platforms inc,"BridgePort Financial Solutions, LLC",31-DEC-2024,,2024-12-31
0001140361-25-002456,109423455,TMC THE METALS COMPANY INC,COM,87261Y106,,15600,10000,SH,,SOLE,,0,0,10000,tmc the metals company inc,Allworth Financial LP,31-DEC-2024,,2024-12-31
0000012600-25-000001,109286233,A-MARK PRECIOUS METALS INC,COM,00181T107,,5480,200,SH,,SOLE,,0,0,200,a-mark precious metals inc,"PRINCIPAL SECURITIES, INC.",31-DEC-2024,,2024-12-31
0000012600-25-000001,109288220,METAGENOMI INC,COM,59102M104,,5188,1437,SH,,SOLE,,0,0,1437,metagenomi inc,"PRINCIPAL SECURITIES, INC.",31-DEC-2024,,2024-12-31
0000012600-25-000001,109289113,SILVERCREST METALS INC,COM,828363101,,45500,5000,SH,,SOLE,,0,0,5000,silvercrest metals inc,"PRINCIPAL SECURITIES, INC.",31-DEC-2024,,2024-12-31
0000012600-25-000001,109286861,COMMERCIAL METALS CO,COM,201723103,,10416,210,SH,,SOLE,,0,0,210,commercial metals co,"PRINCIPAL SECURITIES, INC.",31-DEC-2024,,2024-12-31
0000012600-25-000001,109287818,KENNAMETAL INC,COM,489170100,,2066,86,SH,,SOLE,,0,0,86,kennametal inc,"PRINCIPAL SECURITIES, INC.",31-DEC-2024,,2024-12-31
0000012600-25-000001,109288833,WHEATON PRECIOUS METALS CORP,COM,962879102,,14285,254,SH,,SOLE,,0,0,254,wheaton precious metals corp,"PRINCIPAL SECURITIES, INC.",31-DEC-2024,,2024-12-31
0000012600-25-000001,109286666,META PLATFORMS INC,CL A,30303M102,,30067181,51352,SH,,SOLE,,0,0,51352,meta platforms inc,"PRINCIPAL SECURITIES, INC.",31-DEC-2024,,2024-12-31
0001140361-25-002456,109422884,SILVERCREST METALS INC,COM,828363101,,8112,800,SH,,SOLE,,0,0,800,silvercrest metals inc,Allworth Financial LP,31-DEC-2024,,2024-12-31
0001140361-25-002456,109421584,KENNAMETAL INC,COM,489170100,,3290,136,SH,,SOLE,,0,0,136,kennametal inc,Allworth Financial LP,31-DEC-2024,,2024-12-31
0001140361-25-002456,109420578,DESKTOP METAL INC,COM CL A,25058X303,,22,10,SH,,SOLE,,0,0,10,desktop metal inc,Allworth Financial LP,31-DEC-2024,,2024-12-31
0001140361-25-002456,109420449,COMMERCIAL METALS CO,COM,201723103,,3570,71,SH,,SOLE,,0,0,71,commercial metals co,Allworth Financial LP,31-DEC-2024,,2024-12-31
0001140361-25-002456,109422490,NEW PAC METALS CORP,COM,64782A107,,2299,1900,SH,,SOLE,,0,0,1900,new pac metals corp,Allworth Financial LP,31-DEC-2024,,2024-12-31
0001140361-25-002456,109423499,TRIPLE FLAG PRECIOUS METAL,COM,89679M104,,2886,180,SH,,SOLE,,0,0,180,triple flag precious metal,Allworth Financial LP,31-DEC-2024,,2024-12-31
0001140361-25-002456,109422364,METALLUS INC,COM,887399103,,3402,232,SH,,SOLE,,0,0,232,metallus inc,Allworth Financial LP,31-DEC-2024,,2024-12-31
0001085146-25-000651,109310393,META PLATFORMS INC,CL A,30303M102,BBG001SQCQC5,676281,1155,SH,,SOLE,,1155,0,0,meta platforms inc,Opes Wealth Management LLC,31-DEC-2024,,2024-12-31
0001140361-25-002456,109422363,META PLATFORMS INC,CL A,30303M102,,18756,30,SH,,SOLE,,0,0,30,meta platforms inc,Allworth Financial LP,31-DEC-2024,,2024-12-31
0001140361-25-002456,109422362,META PLATFORMS INC,CL A,30303M102,,30200060,48436,SH,,SOLE,,4451,0,43985,meta platforms inc,Allworth Financial LP,31-DEC-2024,,2024-12-31
0001140361-25-002456,109422361,META PLATFORMS INC,CALL,30303M102,,498800,800,PRN,Call,SOLE,,0,0,800,meta platforms inc,Allworth Financial LP,31-DEC-2024,,2024-12-31
0001140361-25-002456,109423262,WHEATON PRECIOUS METALS CORP,COM,962879102,,327512,5554,SH,,SOLE,,0,0,5554,wheaton precious metals corp,Allworth Financial LP,31-DEC-2024,,2024-12-31
0001140361-25-002456,109420131,ABRDN PRECIOUS METALS BASKET,PHYSCL PRECS MET,003263100,,14498,125,SH,,SOLE,,0,0,125,abrdn precious metals basket,Allworth Financial LP,31-DEC-2024,,2024-12-31
0001754960-25-000087,109385633,META PLATFORMS INC,CL A,30303M102,,1254161,2142,SH,,SOLE,,0,0,2142,meta platforms inc,"Strategic Financial Concepts, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000644,109390321,META PLATFORMS INC,CL A,30303M102,BBG001SQCQC5,2439820,4167,SH,,SOLE,,4167,0,0,meta platforms inc,"Blue Zone Wealth Advisors, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000645,109337081,META PLATFORMS INC,CL A,30303M102,BBG001SQCQC5,4988369,8520,SH,,SOLE,,225,0,8295,meta platforms inc,Csenge Advisory Group,31-DEC-2024,,2024-12-31
0001214659-25-001603,109396015,META PLATFORMS INC CL A,Common Stock,30303M102,,2168024,3703,SH,,SOLE,,0,0,3703,meta platforms inc cl a,L.M. KOHN & COMPANY,31-DEC-2024,,2024-12-31
0001085146-25-000647,109405479,ALPHA METALLURGICAL RESOUR I,COM,020764106,BBG00DGWV044,843107,4213,SH,,SOLE,,4213,0,0,alpha metallurgical resour i,"Meixler Investment Management, Ltd.",31-DEC-2024,,2024-12-31
0001085146-25-000647,109405471,WHEATON PRECIOUS METALS CORP,COM,962879102,BBG001S6DSP0,480233,8539,SH,,SOLE,,8539,0,0,wheaton precious metals corp,"Meixler Investment Management, Ltd.",31-DEC-2024,,2024-12-31
0001085146-25-000647,109405464,TRIPLE FLAG PRECIOUS METAL,COM,89679M104,BBG00QRZMFT6,430324,28612,SH,,SOLE,,28612,0,0,triple flag precious metal,"Meixler Investment Management, Ltd.",31-DEC-2024,,2024-12-31
0001085146-25-000650,109363790,META PLATFORMS INC,CL A,30303M102,BBG001SQCQC5,4821889,8235,SH,,SOLE,,0,0,8235,meta platforms inc,"Valmark Advisers, Inc.",31-DEC-2024,,2024-12-31
0000012600-25-000001,109286253,ABRDN PRECIOUS METALS BASKET,PHYSCL PRECS MET,003263100,,3623,33,SH,,SOLE,,0,0,33,abrdn precious metals basket,"PRINCIPAL SECURITIES, INC.",31-DEC-2024,,2024-12-31
