FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4474128.0,4156717.0,3951952.0
" FOGEL CAPITAL MANAGEMENT, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32741811.0,30473033.0,29988596.0
 HARRIS ASSOCIATES L P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940830.0,1358887.0,0.0
 NEUBERGER BERMAN GROUP LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217101053.0,242765958.0,506545420.0,240204648.0,235062963.0
" ONCE CAPITAL MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12246430.0,11790220.0,12560700.0
&PARTNERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2737100.0,7891805.0,15144655.0,86677181.0,189559082.0,293279120.0
1 NORTH WEALTH SERVICES LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287932.0
"10-15 ASSOCIATES, INC.",15612.0,20024.0,20759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10Elms LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311945.0
11 Capital Partners LP,0.0,0.0,0.0,0.0,26611.0,38244.0,39264.0,46740.0,38237.0,33008.0,24090.0,21378994.0,18827720.0,18987148.0,24772482.0,23786786.0,28476854.0,30113703.0,27457443.0,26052915.0
"1248 Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13946892.0
1492 Capital Management LLC,0.0,0.0,0.0,0.0,426.0,274.0,270.0,412.0,346.0,287.0,260.0,269798.0,280516.0,304783.0,283859.0,330915.0,374441.0,366499.0,342519.0,360804.0
"1620 INVESTMENT ADVISORS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2337.0,2337.0,1093.0,1001.0,1022489.0,1236971.0,1467581.0,1621376.0,2007516.0,2323035.0,2472782.0,2069290.0,2066171.0
1623 Capital LLC,0.0,1058.0,1094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"17 CAPITAL PARTNERS, LLC",0.0,0.0,0.0,0.0,0.0,3296.0,3444.0,4045.0,3711.0,3078.0,2795.0,0.0,0.0,0.0,0.0,3850274.0,4307752.0,3469226.0,3824937.0,3804038.0
1776 WEALTH LLC,3601.0,2505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776 Wealth LLC,0.0,0.0,2495.0,2668.0,2506.0,2955.0,2610.0,3231.0,3512.0,2971.0,2703.0,2870.0,4256173.0,5810293.0,5674028.0,7464017.0,8370224.0,9022133.0,8172688.0,8139587.0
"180 WEALTH ADVISORS, LLC",17258.0,21874.0,23777.0,26066.0,28674.0,33145.0,35116.0,34107.0,32766.0,30115.0,26696.0,28431488.0,32978284.0,38491001.0,35972349.0,41561681.0,47138202.0,50245837.0,47276212.0,46089019.0
1832 Asset Management L.P.,2375581.0,1601836.0,1463112.0,1618359.0,1342079.0,4017312.0,2187204.0,2396953.0,2177954.0,1646795.0,1489959.0,1456279850.0,2081191860.0,2291337692.0,2080439175.0,2404513700.0,2638696518.0,2633591196.0,2082905016.0,2262765005.0
1834 INVESTMENT ADVISORS CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20228908.0,26991340.0,26545509.0,24165272.0,26382555.0,26997222.0,27750318.0,25291244.0,23773739.0
"1858 WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5682340.0,5682340.0,6820904.0,6895558.0,6832515.0
1900 WEALTH MANAGEMENT LLC,0.0,0.0,0.0,0.0,0.0,1861.0,1940.0,2636.0,2916.0,2447.0,2247.0,2356356.0,2569891.0,3888152.0,4435227.0,4925559.0,4156801.0,4401532.0,8393506.0,4273849.0
1ST SOURCE BANK,20168.0,25636.0,25472.0,23159.0,23914.0,27016.0,26619.0,31399.0,27931.0,23359.0,21452.0,21730090.0,25696467.0,29914736.0,27369526.0,31814112.0,35235721.0,37036065.0,35351727.0,34667111.0
"20/20 Capital Management, Inc.",1549.0,1721.0,1706.0,8912.0,8812.0,10515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25 LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386787.0,486010.0,466471.0,830367.0,944734.0,1005563.0,1047997.0,1124075.0
36 SOUTH CAPITAL ADVISORS LLP,0.0,0.0,0.0,304471.0,94237.0,466977.0,495644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"360 Financial, Inc.",388.0,525.0,546.0,563.0,653.0,835.0,785.0,1027.0,985.0,654.0,1084.0,1084087.0,1736305.0,2026268.0,1683986.0,2174081.0,2440515.0,2593220.0,2703282.0,2358149.0
361 CAPITAL LLC,883.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3Chopt Investment Partners, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1544026.0,2507135.0,3050649.0,3400713.0,5182685.0,6122852.0,7202273.0,6957207.0,6684261.0
"3D/L Capital Management, LLC",0.0,0.0,0.0,5252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
