FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",,,,,,,,,,,,,,,,,,inf,-7.09,-4.93
" FOGEL CAPITAL MANAGEMENT, INC.",,,,,,,,,,,,,,,,,,inf,-6.93,-1.59
 HARRIS ASSOCIATES L P,,,,,,,,,,,,,,,,,,inf,44.43,-100.0
 NEUBERGER BERMAN GROUP LLC,,,,,,,,,,,,,,,,inf,11.82,108.66,-52.58,-2.14
" ONCE CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,,,,,,inf,-3.73,6.53
&PARTNERS,,,,,,,,,,,,,,,inf,188.33,91.9,472.33,118.7,54.72
1 NORTH WEALTH SERVICES LLC,,,,,,,,,,,,,,,,,,,,inf
"10-15 ASSOCIATES, INC.",,28.26,3.67,-100.0,,,,,,,,,,,,,,,,
10Elms LLP,,,,,,,,,,,,,,,,,,,,inf
11 Capital Partners LP,,,,,inf,43.72,2.67,19.04,-18.19,-13.68,-27.02,88646.34,-11.93,0.85,30.47,-3.98,19.72,5.75,-8.82,-5.12
"1248 Management, LLC",,,,,,,,,,,,,,,,,,,,inf
1492 Capital Management LLC,,,,,inf,-35.68,-1.46,52.59,-16.02,-17.05,-9.41,103668.46,3.97,8.65,-6.87,16.58,13.15,-2.12,-6.54,5.34
"1620 INVESTMENT ADVISORS, INC.",,,,,,,,inf,0.0,-53.23,-8.42,102046.75,20.98,18.64,10.48,23.82,15.72,6.45,-16.32,-0.15
1623 Capital LLC,,inf,3.4,-100.0,,,,,,,,,,,,,,,,
"17 CAPITAL PARTNERS, LLC",,,,,,inf,4.49,17.45,-8.26,-17.06,-9.19,-100.0,,,,inf,11.88,-19.47,10.25,-0.55
1776 WEALTH LLC,,-30.44,-100.0,,,,,,,,,,,,,,,,,
1776 Wealth LLC,,,inf,6.93,-6.07,17.92,-11.68,23.79,8.7,-15.4,-9.02,6.18,148198.71,36.51,-2.35,31.55,12.14,7.79,-9.42,-0.41
"180 WEALTH ADVISORS, LLC",,26.75,8.7,9.63,10.01,15.59,5.95,-2.87,-3.93,-8.09,-11.35,106400.93,15.99,16.72,-6.54,15.54,13.42,6.59,-5.91,-2.51
1832 Asset Management L.P.,,-32.57,-8.66,10.61,-17.07,199.33,-45.56,9.59,-9.14,-24.39,-9.52,97639.59,42.91,10.1,-9.2,15.58,9.74,-0.19,-20.91,8.64
1834 INVESTMENT ADVISORS CO,,,,,,,,,,,,inf,33.43,-1.65,-8.97,9.18,2.33,2.79,-8.86,-6.0
"1858 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,0.0,20.04,1.09,-0.91
1900 WEALTH MANAGEMENT LLC,,,,,,inf,4.25,35.88,10.62,-16.08,-8.17,104766.76,9.06,51.3,14.07,11.06,-15.61,5.89,90.7,-49.08
1ST SOURCE BANK,,27.11,-0.64,-9.08,3.26,12.97,-1.47,17.96,-11.04,-16.37,-8.16,101196.34,18.25,16.42,-8.51,16.24,10.76,5.11,-4.55,-1.94
"20/20 Capital Management, Inc.",,11.1,-0.87,422.39,-1.12,19.33,-100.0,,,,,,,,,,,,,
25 LLC,,,,,,,,,,,,,inf,25.65,-4.02,78.01,13.77,6.44,4.22,7.26
36 SOUTH CAPITAL ADVISORS LLP,,,,inf,-69.05,395.53,6.14,-100.0,,,,,,,,,,,,
"360 Financial, Inc.",,35.31,4.0,3.11,15.99,27.87,-5.99,30.83,-4.09,-33.6,65.75,99908.03,60.16,16.7,-16.89,29.1,12.26,6.26,4.24,-12.77
361 CAPITAL LLC,,-18.69,-100.0,,,,,,,,,,,,,,,,,
