ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0002031775-25-000001,111862638,MICROSOFT CORP,COM,594918104,,4525537,11529,SH,,SOLE,0,0,0,11529,microsoft corp,"BridgePort Financial Solutions, LLC",31-DEC-2024,,2024-12-31
0001767699-25-000002,109180718,MICROSOFT CORP,COM,594918104,,9088538,21406,SH,,SOLE,,0,0,21406,microsoft corp,"FSM Wealth Advisors, LLC",31-DEC-2024,,2024-12-31
0001667731-25-000120,109234771,MICROSOFT CORP,COM,594918104,,994206,2359,SH,,SOLE,,0,0,2359,microsoft corp,"Family Investment Center, Inc.",31-DEC-2024,,2024-12-31
0001667731-25-000121,109187404,MICROSOFT CORP,COM,594918104,,1163055,2759,SH,,SOLE,,0,0,2759,microsoft corp,"Better Money Decisions, LLC",31-DEC-2024,,2024-12-31
0001846161-25-000001,109237535,MICROSOFT CORP COM,Stock,594918104,,5891739,13978,SH,,SOLE,0,1633,0,12345,microsoft corp com,"OAK FAMILY ADVISORS, LLC",31-DEC-2024,,2024-12-31
0001667731-25-000122,109158063,MICROSOFT CORP,COM,594918104,,32529,77174,SH,,SOLE,,77174,0,0,microsoft corp,ABNER HERRMAN & BROCK LLC,31-DEC-2024,,2024-12-31
0000701516-25-000001,109237273,MICROSOFT CORP,COM,594918104,,44529197,105645,SH,,SOLE,0,496,0,105149,microsoft corp,"MEANS INVESTMENT CO., INC.",31-DEC-2024,,2024-12-31
0001667731-25-000123,109226401,MICROSOFT CORP,COM,594918104,,121428504,288087,SH,,SOLE,,288087,0,0,microsoft corp,"Chicago Capital, LLC",31-DEC-2024,,2024-12-31
0001667731-25-000124,109263554,MICROSOFT CORP,COM,594918104,,5596677,13278,SH,,SOLE,,13278,0,0,microsoft corp,"Oregon Pacific Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001767349-25-000001,109154097,MICROSOFT CORP COM,Stock,594918104,,27855103,66086,SH,,SOLE,,0,0,66085,microsoft corp com,Princeton Global Asset Management LLC,31-DEC-2024,,2024-12-31
0001667731-25-000125,109198038,MICROSOFT CORP,COM,594918104,,11982350,28428,SH,,SOLE,,0,0,28428,microsoft corp,JB Capital LLC,31-DEC-2024,,2024-12-31
0001667731-25-000126,109201590,MICROSOFT CORP,COM,594918104,,35816509,84974,SH,,SOLE,,72558,0,12416,microsoft corp,"LS Investment Advisors, LLC",31-DEC-2024,,2024-12-31
0001800911-25-000001,109184803,Microsoft Corp,COM,594918104,BBG000BPH459,6835884,16218,SH,,SOLE,0,16218,0,0,microsoft corp,S.A. Mason LLC,31-DEC-2024,,2024-12-31
0001667731-25-000127,109136382,MICROSOFT CORP,COM,594918104,,13507769,32047,SH,,SOLE,,30329,0,1718,microsoft corp,"Catalina Capital Group, LLC",31-DEC-2024,,2024-12-31
0001986152-25-000003,109271687,MICROSOFT CORP,COM,594918104,,1618071,3839,SH,,SOLE,,3344,0,495,microsoft corp,"PANORAMIC INVESTMENT ADVISORS, LLC",31-DEC-2024,,2024-12-31
0001667731-25-000128,109134976,MICROSOFT CORP,COM,594918104,,17820392,42279,SH,,SOLE,,0,0,42279,microsoft corp,"Financial Partners Group, Inc",31-DEC-2024,,2024-12-31
0002052564-25-000001,109255304,MICROSOFT CORP,CS,594918104,,13601043,32268,SH,,SOLE,,874,0,31394,microsoft corp,Brentview Investment Management LLC,31-DEC-2024,,2024-12-31
0001667731-25-000129,109138427,MICROSOFT CORP,COM,594918104,,15837441,37574,SH,,SOLE,,37574,0,0,microsoft corp,"Resonant Capital Advisors, LLC",31-DEC-2024,,2024-12-31
0001089707-25-000001,109158557,Microsoft Corp,COM,594918104,,10767,25544,SH,,SOLE,,25421,0,123,microsoft corp,LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,31-DEC-2024,,2024-12-31
0001944332-25-000001,109108983,MICROSOFT CORP,COM,594918104,BBG000BPH459,0,0,SH,,SOLE,,0,0,0,microsoft corp,Vinland Capital Management Gestora de Recursos LTDA.,31-DEC-2024,,2024-12-31
0001767349-25-000002,109245008,MICROSOFT CORP,COM,594918104,,3140845,7452,SH,,SOLE,,0,0,7452,microsoft corp,Fiduciary Planning LLC,31-DEC-2024,,2024-12-31
