REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,Challenger Wealth Management,4667343
31-DEC-2024,"Family Firm, Inc.",1571545
31-DEC-2024,"FULLER & THALER ASSET MANAGEMENT, INC.",5182343
31-DEC-2024,FULTON BREAKEFIELD BROENNIMAN LLC,80174518
31-DEC-2024,FUNDSMITH INVESTMENT SERVICES LTD.,875863512
31-DEC-2024,"FWG Holdings, LLC",3673082
31-DEC-2024,"FWL INVESTMENT MANAGEMENT, LLC",13261038
31-DEC-2024,"Facet Wealth, Inc.",2147786
31-DEC-2024,"Fairbanks Capital Management, Inc.",6913605
31-DEC-2024,"Fairfield Financial Advisors, LTD",8105857
31-DEC-2024,"Fairhaven Wealth Management, LLC",8366448
31-DEC-2024,"Fairman Group, LLC",765054
31-DEC-2024,"Fairscale Capital, LLC",3468388
31-DEC-2024,"Fairvoy Private Wealth, LLC",7798018
31-DEC-2024,Fairway Wealth LLC,62382
31-DEC-2024,"Faithward Advisors, LLC",3595164
31-DEC-2024,Falcon Wealth Planning,4543037
31-DEC-2024,Family CFO Inc,130665
31-DEC-2024,"Family Capital Management, Inc.",2627079
31-DEC-2024,FULLCIRCLE WEALTH LLC,6010293
31-DEC-2024,FUKOKU MUTUAL LIFE INSURANCE Co,66583934
31-DEC-2024,FSR Wealth Management Ltd.,700501
31-DEC-2024,"FOURPATH CAPITAL MANAGEMENT, LLC",13458911
31-DEC-2024,"FORTRESS FINANCIAL GROUP, LLC",1270671
31-DEC-2024,"FORTRESS PRIVATE LEDGER, LLC",4892815
31-DEC-2024,FOSTER & MOTLEY INC,24116
31-DEC-2024,"FOSTER DYKEMA CABOT & PARTNERS, LLC",46857312
31-DEC-2024,"FOUNDERS CAPITAL MANAGEMENT, LLC",52186758
31-DEC-2024,FOUNDERS FINANCIAL SECURITIES LLC,12692557
31-DEC-2024,"FOUNDERS GROVE WEALTH PARTNERS, LLC",5778344
31-DEC-2024,"FOX RUN MANAGEMENT, L.L.C.",1028039
31-DEC-2024,"FSM Wealth Advisors, LLC",9088538
31-DEC-2024,"FPC INVESTMENT ADVISORY, INC.",603913
31-DEC-2024,"FRED ALGER MANAGEMENT, LLC",1967884448
31-DEC-2024,FRG Family Wealth Advisors LLC,61547643
31-DEC-2024,"FSA Advisors, Inc.",1631435
31-DEC-2024,FSA Wealth Management LLC,1857626
31-DEC-2024,"FSB PREMIER WEALTH MANAGEMENT, INC.",3500887
31-DEC-2024,"FSC Wealth Advisors, LLC",1569667
31-DEC-2024,Family Capital Trust Co,498634
31-DEC-2024,"Family Investment Center, Inc.",994206
31-DEC-2024,FORTE CAPITAL LLC /ADV,9270327
31-DEC-2024,"Family Legacy, Inc.",8750959
31-DEC-2024,Fiduciary Trust Co,250079322
31-DEC-2024,Field & Main Bank,25315680
31-DEC-2024,Fielder Capital Group LLC,2545062
31-DEC-2024,"Fieldview Capital Management, LLC",8823260
31-DEC-2024,Fiera Capital Corp,1437613844
31-DEC-2024,Fifth Third Wealth Advisors LLC,65290646
31-DEC-2024,"FinDec Wealth Services, Inc.",772950
31-DEC-2024,"Financial & Tax Architects, LLC",2254173
31-DEC-2024,"Financial Advisors Network, Inc.",2298939
31-DEC-2024,"Financial Advisors, LLC",6352950
31-DEC-2024,Financial Advisory Corp,457328
31-DEC-2024,Financial Advocates Investment Management,49071857
