FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",,,,,,,,,,,,,,,,,,inf,-36.81,-11.25
" FOGEL CAPITAL MANAGEMENT, INC.",,,,,,,,,,,,,,,,,,inf,8.87,11.89
 HARRIS ASSOCIATES L P,,,,,,,,,,,,,,,,,,,inf,-100.0
 NEUBERGER BERMAN GROUP LLC,,,,,,,,,,,,,,,,inf,75.79,174.31,-51.27,9.76
" ONCE CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,,,,,,inf,-1.7,11.45
&PARTNERS,,,,,,,,,,,,,,,inf,453.28,496.27,325.8,63.31,68.36
1 NORTH WEALTH SERVICES LLC,,,,,,,,,,,,,,,,,,,,inf
10Elms LLP,,,,,,,,,,,,,,,,,,,,inf
"1248 Management, LLC",,,,,,,,,,,,,,,,,,,,inf
1492 Capital Management LLC,,,,,,,,,inf,-100.0,,,,,,,,inf,1.01,-100.0
"1620 INVESTMENT ADVISORS, INC.",,,,,,,,,,,,,,,,,,inf,141.49,187.98
1623 Capital LLC,,,,,inf,534.74,-100.0,,,,,,,,,,,,,
"17 CAPITAL PARTNERS, LLC",,,,,,inf,5.09,19.58,-3.52,-38.32,-25.15,-100.0,,,,inf,25.6,46.43,-7.26,14.02
1776 WEALTH LLC,,-20.56,-100.0,,,,,,,,,,,,,,,,,
1776 Wealth LLC,,,inf,-19.61,75.12,53.48,-5.44,66.79,18.07,-32.26,-17.41,18.12,190078.17,45.73,8.52,18.7,81.34,36.73,-3.09,11.79
"180 WEALTH ADVISORS, LLC",,64.79,28.95,182.71,40.32,21.86,6.04,9.92,-10.43,-35.56,-21.13,159191.92,32.65,36.19,-1.91,13.62,55.29,32.02,-6.83,20.81
1832 Asset Management L.P.,,56.39,108.96,-65.58,-58.1,1811.08,-61.76,-25.78,35.78,-81.75,-16.58,107853.13,230.85,65.68,-4.96,-28.93,137.82,-5.28,10.08,21.89
1834 INVESTMENT ADVISORS CO,,,,,,,,,,,,inf,373.53,47.26,0.51,-29.47,19.93,10.73,0.82,16.59
"1858 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,0.0,108.85,-6.97,10.15
1900 WEALTH MANAGEMENT LLC,,,,,,,,,,,,,,,inf,-10.84,29.31,46.79,66.42,-13.84
1ST SOURCE BANK,,41.58,27.28,-13.25,-9.74,40.75,-1.33,25.8,-12.61,-48.29,-15.74,118185.44,57.63,39.11,-11.91,18.79,66.45,29.15,-3.28,7.17
"20/20 Capital Management, Inc.",,11.81,24.45,-7.11,-0.09,18.21,-100.0,,,,,,,,,,,,,
25 LLC,,,,,,,,,,,,,inf,148.98,-100.0,,inf,173.02,9.9,49.4
"360 Financial, Inc.",,inf,73.95,-12.56,2.21,65.41,4.08,44.27,-2.07,-65.33,29.17,99975.68,112.18,42.71,-48.15,131.65,76.92,34.35,-3.34,9.91
"3Chopt Investment Partners, LLC",,,,,,,,,,,,inf,104.57,52.16,5.83,22.42,79.84,39.38,4.37,8.09
3G Capital Partners LP,,,,,,,,,,,,inf,-70.76,-100.0,,,,,,
44 WEALTH MANAGEMENT LLC,,,,,,,,,,,,,,,,,,,inf,1.4
"49 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,174.58,54.66,46.72,2.17
4J Wealth Management LLC,,,,inf,7.28,47.78,2.81,38.2,-10.22,-46.95,-18.7,119659.45,60.16,103.05,-1.49,11.19,59.72,32.61,-2.91,10.58
"4WEALTH ADVISORS, INC.",,,,,,,,,,,,,,,,,,,,inf
"55I, LLC",,,,,,inf,167.4,-27.6,0.19,16.34,110.96,-100.0,,,,,,,,
"5T Wealth, LLC",,,,,,,,,,,,,,,,,,,,inf
"5th Street Advisors, LLC",,,,,,,,,,,,,,,,,inf,47.32,8.91,-1.02
6 Meridian,,-57.57,-33.69,-7.9,-11.92,43.88,58.55,39.86,-100.0,,,,,,,,,,,
"626 Financial, LLC",,,,,inf,-100.0,,inf,-7.17,-42.86,-17.54,153725.92,91.26,42.62,1.97,15.37,104.74,31.92,-11.56,-0.95
"9258 Wealth Management, LLC",,27.35,20.59,4.25,26.97,22.97,3.79,40.27,-8.49,-41.78,-22.08,118610.86,89.7,51.91,2.37,242.45,-39.24,36.6,-1.11,-100.0
"A&I FINANCIAL SERVICES, LLC",,,,,,,,,,,,,,,,,,,,inf
"A. D. Beadell Investment Counsel, Inc.",,,,,,,,,,,,,,,,,,inf,-1.54,10.59
"A.R.T. Advisors, LLC",,inf,-100.0,,,,inf,-100.0,,,,,,,,,,,,
"AA Financial Advisors, LLC",,,,,,,,,,,,,,,,,inf,33.9,-4.8,14.77
AAFMAA Wealth Management & Trust LLC,,,,,,,,,inf,-100.0,,,,,,,inf,199.52,34.51,0.73
ABEILLE ASSET MANAGEMENT SA,,,,,,,,,inf,-68.5,-100.0,inf,-100.0,,,,,,,
"ABLE Financial Group, LLC",,,,,,,,,,,,,inf,79.05,5.47,23.02,86.88,43.94,3.28,10.31
"ABLES, IANNONE, MOORE & ASSOCIATES, INC.",,,,,,,,,,,,,,,,inf,79.37,37.4,-9.42,8.91
ABNER HERRMAN & BROCK LLC,,inf,45.59,-3.16,2.17,48.4,0.9,22.56,-20.0,-35.51,0.84,18.38,3510.82,54.8,2.12,12.99,75.03,35.45,-2.55,9.37
"ABSHER WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,inf,0.7,60.92,72.65,28.75,12.18,8.83
"ABSOLUTE CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,,,,,inf,54.34,-10.76,148.66
"ACAS, LLC",,,,,,,,,,,,,,,,,,,,inf
"ACCESS FINANCIAL SERVICES, INC.",,,,,,,,,,,,,,,,,inf,38.21,-1.7,20.57
"ACCREDITED INVESTOR SERVICES, LLC",,,,,,,,,,,,,,,,,,,,inf
"ACCURATE INVESTMENT SOLUTIONS, INC.",,-100.0,,,,,,,,,,,,,,,,,,
ACG Wealth,,11.25,37.42,-4.53,1.66,45.26,1.79,-8.02,-53.15,-43.37,-19.88,-100.0,,,,,,,,
"ACIMA PRIVATE WEALTH, LLC",,,,,,,,,inf,55427.47,-19.92,20.39,97.86,52.29,2.83,13.85,-92.81,36.72,-1.7,10.58
ACORN CREEK CAPITAL LLC,,,,,,,,,,,,,,,,inf,93.48,44.97,40.59,8.06
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,,52.97,76.42,-2.88,6.27,47.21,-11.36,19.6,-5.46,-41.0,38.98,85336.72,197.0,54.71,2.79,-15.06,32.78,18.12,-8.31,5.84
"ACT Advisors, LLC.",,,,,,,,,,,,,,,inf,29.28,73.2,68.59,7.05,12.01
"ACT CAPITAL MANAGEMENT, LLC",,,,,,,,,inf,-100.0,,,,,,,,,,
"ACT Capital Management, LLC",,,,,,inf,-100.0,,,,,,,,,,,,,
"ACT WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,,inf,311.18,-27.07,9.98
"ADAGE CAPITAL PARTNERS GP, L.L.C.",,40.8,35.31,-5.57,4.18,48.99,3.85,41.61,-9.88,-44.45,-15.48,125510.25,72.82,-100.0,inf,11.0,81.99,32.73,-3.12,9.12
"ADAMS DIVERSIFIED EQUITY FUND, INC.",,inf,236.45,19.6,33.49,49.85,3.57,27.43,-7.22,-44.44,-36.12,120290.59,90.07,52.29,2.83,10.22,82.46,36.73,-13.05,6.03
ADAMSBROWN WEALTH CONSULTANTS LLC,,,,,,,,,,,inf,121980.1,89.64,53.66,5.28,17.41,48.51,52.02,13.1,13.03
ADAPT Investment Managers SA,,,,,,,,,,,,,,,,,,,,inf
"ADAPT WEALTH ADVISORS, LLC",,,,,,,,,,,,,,,,,inf,121.95,-3.72,3.4
"ADE, LLC",,,,,,,inf,-100.0,,,,,,,,,,,,inf
ADELL HARRIMAN & CARPENTER INC,,77.24,58.87,1.87,3.13,51.13,2.8,41.11,-11.09,-42.1,-24.21,16.63,100.82,40.88,5.92,21.48,79.97,31.62,-4.44,6.91
"ADIRONDACK RETIREMENT SPECIALISTS, INC.",,,,,,,,,,,,,,,inf,-100.0,,,,
ADIRONDACK TRUST CO,,51.86,27.44,-2.54,10.16,54.24,26.38,14.22,-2.3,-43.32,-21.41,120895.72,90.63,64.09,-19.6,57.52,10.79,29.05,-4.91,5.16
"ADVANCED RESEARCH INVESTMENT SOLUTIONS, LLC",,,,,,,,inf,-75.86,-100.0,inf,-100.0,,inf,-100.0,,,,,
ADVENT CAPITAL MANAGEMENT /DE/,,,,,inf,349.53,-100.0,,,,,,,,inf,-100.0,,inf,145.75,-100.0
"ADVISOR GROUP HOLDINGS, INC.",,,,,,,,,,,,inf,82.7,-100.0,,,,,,
ADVISOR PARTNERS LLC,,154.3,46.77,13.8,-3.22,-24.4,2.53,39.16,-5.62,-40.84,-100.0,,,,,,,,,
ADVISORS MANAGEMENT GROUP INC /ADV,,,,,,,,inf,538.03,32.08,-18.76,20.91,88.23,49.34,1.78,14.06,42.68,33.46,3.06,14.51
ADVISORY RESEARCH INC,,,inf,-10.14,-6.02,55.2,-100.0,,,,,,,inf,24.89,-53.86,-100.0,,,
"ADVISORY SERVICES NETWORK, LLC",,,,,,,,,,,,,,inf,-100.0,,,,,
ADVOCATE GROUP LLC,,,,,,,,,,,,,,,,,inf,36.73,-100.0,
AE Wealth Management LLC,,94.0,49.63,7.1,7.64,53.31,7.15,47.83,12.72,-31.79,-17.92,131800.05,84.91,29.37,15.27,53.43,-70.2,66.57,12.26,16.26
AEGON ASSET MANAGEMENT UK PLC,,,,,,inf,5.18,46.68,-100.0,,,,,,,,,,,
AEGON ASSET MANAGEMENT UK Plc,,,,,,,,,inf,-51.88,-19.74,147.87,-8.2,59.66,-100.0,inf,61.35,22.65,-6.92,-16.36
"AF Advisors, Inc.",,,inf,-3.77,18.86,49.7,3.2,42.05,-100.0,inf,-100.0,,,inf,2.83,13.85,85.05,43.58,-0.95,10.58
"AFFINITY INVESTMENT ADVISORS, LLC",,,,,,,,,,,,,,,,,inf,46.66,21.87,9.93
AFFINITY WEALTH MANAGEMENT LLC,,104.97,33.25,-2.44,18.65,32.45,3.56,26.69,-18.48,-34.83,-19.62,117515.15,87.01,-10.23,4.97,17.18,84.02,34.28,-2.21,8.63
AFG FIDUCIARY SERVICES LIMITED PARTNERSHIP,,,,,,,,inf,202.61,-44.32,-25.15,120267.55,90.07,13.38,-5.06,-46.37,63.35,37.92,-4.66,1.45
"AFS Financial Group, LLC",,,,,,,,,,,,inf,90.67,-71.23,-5.25,-100.0,,,,
"AFT FORSYTH AND COMPANY, INC.",,inf,-100.0,,,,,,,,,,,,,,,,,
"AFT, FORSYTH & COMPANY, INC.",,,inf,-2.55,3.56,54.28,1.39,38.67,-6.07,-46.19,-21.45,112284.33,89.31,50.08,3.34,15.07,67.9,41.42,-1.83,4.39
AGF INVESTMENTS INC.,,21.41,37.11,21.88,-40.03,54.45,19.95,45.85,-2.06,-46.12,-91.6,-100.0,,,,,,,,
AGF Investments LLC,,inf,57.47,155.05,-18.76,48.16,-8.93,-21.02,-100.0,,,,,,,,,,,
AGF MANAGEMENT LTD,,,,,,,,,,,,inf,-18.44,98.91,5292.59,15.23,80.58,38.23,0.42,17.92
"AGP FRANKLIN, LLC",,,,,,,,,,,,,,,,,,,,inf
"AHL INVESTMENT MANAGEMENT, INC.",,,,,,,,inf,-100.0,,,,,,,,,,,
AI-Squared Management Ltd,,,,,,,,,,,,,,,,inf,-100.0,inf,258.21,19.07
AIFG Consultants Ltd.,,,,,,,,,,,,,,,,,inf,151.5,-27.42,22.19
"AIGEN INVESTMENT MANAGEMENT, LP",,,,inf,-100.0,,inf,707.18,-100.0,,,,,,,,,,,
"AIMZ Investment Advisors, LLC",,,,,,inf,-48.12,41.77,-7.37,-100.0,,,inf,52.29,7.97,13.85,66.82,45.34,-0.57,13.42
"AIRE ADVISORS, LLC",,,,,,,,inf,41.35,-45.92,-26.21,80470.88,139.2,40.36,7.74,26.6,71.21,44.48,1.68,42.78
"AJ Advisors, LLC",,,,,,,,,,,,,,,,,inf,9.33,-29.49,15.86
"AJ WEALTH STRATEGIES, LLC",,,,,inf,54.44,8.43,44.41,-5.71,-31.14,-11.56,52.56,192890.22,58.78,-100.0,,,,,
"AJO, LP",,21.37,12.8,-100.0,,,,,,,,,,,,,,,,
"AJOVista, LLC",,,,,,,,,,,,,,,,inf,82.46,47.6,-100.0,
AKUNA SECURITIES LLC,,,,,,,,,,inf,-100.0,,,,,,,,inf,288.4
ALBION FINANCIAL GROUP /UT,,44.04,44.61,14.38,-100.0,inf,3.57,31.73,-8.56,-44.63,-19.72,119945.61,90.07,52.36,5.66,11.85,129.31,39.52,443.91,11.78
"ALETHEA CAPITAL MANAGEMENT, LLC",,,,,,,,inf,-100.0,,,,,,,,,,,
"ALEXANDER LABRUNERIE & CO., INC.",,,,,,,,,,,,,,,,,inf,53.0,14.12,14.62
ALGERT GLOBAL LLC,,-100.0,,inf,847.04,29.92,-53.04,-31.87,-4.62,-37.05,-100.0,inf,856.16,63.02,-88.45,-6.24,-16.52,-100.0,inf,20.44
ALKEON CAPITAL MANAGEMENT LLC,,,,,,,,inf,85.87,-100.0,,,,inf,229.64,-23.59,165.21,-19.63,-32.71,-6.18
ALLSTATE CORP,,48.16,35.05,1.14,8.63,40.26,-3.77,319.39,-43.08,-42.59,-31.04,120562.4,-84.28,52.94,2.83,9.63,78.46,38.68,-73.64,3586.95
ALLSTATE INVESTMENT MANAGEMENT CO,,,,,,,,,,,,inf,-100.0,,,,,,,
"ALM First Financial Advisors, LLC",,,,,,,,,,,,,,,,,,,,inf
ALPHA WINDWARD LLC,,,inf,-100.0,,,,,,,,,,,,,,,,
"ALPINE WOODS CAPITAL INVESTORS, LLC",,47.49,45.91,13.19,6.78,56.8,2.53,41.53,-8.71,-32.11,-21.74,-89.67,7.49,179.33,2.84,248442.43,48.8,38.06,10.94,-7.6
ALTA CAPITAL MANAGEMENT LLC/,,46.79,37.15,-5.85,-21.93,38.47,-47.65,21.4,-5.49,-43.04,-4.85,119722.82,30.29,6.61,-0.87,8.1,39.85,25.39,43.38,30.95
"ALTERNA WEALTH MANAGEMENT, INC",,,,,,,,inf,-100.0,,,,,,,inf,95.82,1.52,20.59,26.11
ALTFEST L J & CO INC,,-21.4,28.17,-8.24,6.19,35.9,-1.24,28.85,-13.48,-42.96,-8.59,66.51,26.48,28.95,2.57,18.34,80.04,29.52,57.59,114230.06
AM INVESTMENT STRATEGIES LLC,,,,,,,,inf,2.33,-100.0,,,,inf,12.74,304.18,131.88,45.67,22.77,13.65
AM Squared Ltd,,,,,,,,,,,,,,,,inf,-100.0,,,
AMALGAMATED BANK,,-41.63,38.28,-3.93,-2.34,487.01,-0.85,221.94,-2.72,-72.26,-18.42,21.5,87.26,50.03,0.23,8.23,59.99,35.02,-2.17,7.91
AMARILLO NATIONAL BANK,,,,,,,,inf,-7.17,-100.0,,,inf,50.18,2.83,13.85,82.46,46.72,-1.41,10.58
AMERICAN ASSET MANAGEMENT INC.,,,,,,,,,,,,,inf,52.29,-100.0,,,inf,66.94,-100.0
AMERICAN FINANCIAL & TAX STRATEGIES INC,,,,,,,,,,,,,,,,,inf,24.95,-1.7,-100.0
AMERICAN INTERNATIONAL GROUP INC,,48.29,37.93,-100.0,,,,,,,,,,,,,,,,
