ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0002031775-25-000001,111862642,NVIDIA CORPORATION,COM,67066G104,,2233386,18588,SH,,SOLE,0,0,0,18588,nvidia corporation,"BridgePort Financial Solutions, LLC",31-DEC-2024,,2024-12-31
0001951757-25-000110,109269668,NVIDIA CORPORATION,COM,67066G104,,5519993,41105,SH,,SOLE,,0,0,41105,nvidia corporation,"Bluesphere Advisors, LLC",31-DEC-2024,,2024-12-31
0001172661-25-000355,109130804,NVIDIA CORPORATION,COM,67066G104,,29951969,223039,SH,,SOLE,,0,0,223039,nvidia corporation,"Sloy Dahl & Holst, LLC",31-DEC-2024,,2024-12-31
0001004140-25-000001,109267596,NVIDIA CORPORATION,COM,67066G104,,14225123,105928,SH,,SOLE,0,0,0,105928,nvidia corporation,PENNSYLVANIA CAPITAL MANAGEMENT INC /ADV,31-DEC-2024,,2024-12-31
0001597298-25-000001,109269762,NVIDIA CORP,C,67066G104,,1798896,15822,SH,,SOLE,,0,0,15822,nvidia corp,"Verity Asset Management, Inc.",31-DEC-2024,,2024-12-31
0002002654-25-000001,109141782,NVIDIA CORPORATION,COM,67066G104,,541984,4036,SH,,SOLE,,0,0,4036,nvidia corporation,"PFS Partners, LLC",31-DEC-2024,,2024-12-31
0001172661-25-000357,109156128,NVIDIA CORPORATION,COM,67066G104,,9513716,70845,SH,,SOLE,,44298,0,26547,nvidia corporation,"WESPAC Advisors SoCal, LLC",31-DEC-2024,,2024-12-31
0001104659-25-006090,109178747,NVIDIA,COM,67066G104,,282119118,2100820,SH,,SOLE,,2100820,0,0,nvidia,E. Ohman J:or Asset Management AB,31-DEC-2024,,2024-12-31
0001722053-25-000001,109245219,NVIDIA CORPORATION,CALL,67066G904,,2470936,18400,SH,Call,SOLE,,18400,0,0,nvidia corporation,"CenterStar Asset Management, LLC",31-DEC-2024,,2024-12-31
0001722053-25-000001,109245178,NVIDIA CORPORATION,PUT,67066G954,,2215785,16500,SH,Put,SOLE,,16500,0,0,nvidia corporation,"CenterStar Asset Management, LLC",31-DEC-2024,,2024-12-31
0001161822-25-000002,109223236,NVIDIA CORPORATION,COM,67066G104,,981045,7305,SH,,SOLE,0,0,0,7305,nvidia corporation,GREENWOOD CAPITAL ASSOCIATES LLC,31-DEC-2024,,2024-12-31
0001140361-25-001955,109180555,NVIDIA CORP,Common Stock,67066G104,,1305142755,9718838,SH,,SOLE,,3338626,0,6380212,nvidia corp,Ninety One UK Ltd,31-DEC-2024,,2024-12-31
0001140361-25-001958,109270625,NVIDIA CORP,Common Stock,67066G104,,18653016,138901,SH,,SOLE,,138901,0,0,nvidia corp,Ninety One SA (PTY) Ltd,31-DEC-2024,,2024-12-31
0001630939-25-000003,109249252,NVIDIA CORPORATION,COM,67066G104,,15988000,119057,SH,,SOLE,Rob/Lee/Zach,0,0,119057,nvidia corporation,"Boston Standard Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001012975-25-000059,109226205,NVIDIA CORPORATION,COM,67066G104,,3558685,26500,SH,,SOLE,,26500,0,0,nvidia corporation,HELIOS CAPITAL MANAGEMENT PTE. LTD,31-DEC-2024,,2024-12-31
0001667731-25-000131,109229573,NVIDIA CORPORATION,COM,67066G104,,1244612,9280,SH,,SOLE,,0,0,9280,nvidia corporation,Tanager Wealth Management LLP,31-DEC-2024,,2024-12-31
0001963839-25-000004,109194208,NVIDIA CORP,Equity,67066G104,,3619133,26930,SH,,SOLE,0,26930,0,0,nvidia corp,"Redwood Wealth Management Group, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000494,109166826,NVIDIA CORPORATION,COM,67066G104,,2062160,15352,SH,,SOLE,,0,0,15352,nvidia corporation,"RFG Holdings, Inc.",31-DEC-2024,,2024-12-31
0001058800-25-000001,109140908,Nvidia Corporation,COM,67066G104,,4005,29825,SH,,SOLE,,0,0,29825,nvidia corporation,BEACH INVESTMENT COUNSEL INC/PA,31-DEC-2024,,2024-12-31
0001734565-25-000001,109195643,NVIDIA CORPORATION,COM,67066G104,,44129574,328614,SH,,SOLE,,328614,0,0,nvidia corporation,Avitas Wealth Management LLC,31-DEC-2024,,2024-12-31
0001951757-25-000131,109248388,NVIDIA CORPORATION,COM,67066G104,,4854584,36150,SH,,SOLE,,0,0,36150,nvidia corporation,"1858 WEALTH MANAGEMENT, LLC",31-DEC-2024,,2024-12-31
0001951757-25-000132,109188030,NVIDIA CORPORATION,COM,67066G104,,1749465,13028,SH,,SOLE,,0,0,13028,nvidia corporation,"BEACON FINANCIAL PLANNING, INC",31-DEC-2024,,2024-12-31
0001900946-25-000001,109200720,NVIDIA CORPORATION,COM,67066G104,,598578,4457,SH,,SOLE,0,4457,0,0,nvidia corporation,"CarsonAllaria Wealth Management, Ltd.",31-DEC-2024,,2024-12-31
0001443095-25-000001,109128656,NVIDIA CORPORATION,COMMON,67066G104,,25128259,182764,SH,,SOLE,,0,0,182764,nvidia corporation,"Welch Group, LLC",31-DEC-2024,,2024-12-31
0001172661-25-000354,109263134,NVIDIA CORPORATION,COM,67066G104,,56020177,417158,SH,,SOLE,,680,0,416478,nvidia corporation,"Rockline Wealth Management, LLC",31-DEC-2024,,2024-12-31
