REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,Edge Wealth Management LLC,1055007
31-DEC-2024,"GRAHAM CAPITAL WEALTH MANAGEMENT, LLC",255285
31-DEC-2024,"GRANDFIELD & DODD, LLC",1391954
31-DEC-2024,"GREAT LAKES ADVISORS, LLC",171406039
31-DEC-2024,"GREAT VALLEY ADVISOR GROUP, INC.",156482981
31-DEC-2024,"GREATMARK INVESTMENT PARTNERS, INC.",715094
31-DEC-2024,GREENUP STREET WEALTH MANAGEMENT LLC,7567314
31-DEC-2024,GREENWOOD CAPITAL ASSOCIATES LLC,981045
31-DEC-2024,GREENWOOD GEARHART INC,37227606
31-DEC-2024,GRIES FINANCIAL LLC,6913786
31-DEC-2024,"GRIFFIN ASSET MANAGEMENT, INC.",11233186
31-DEC-2024,"GRIMES & COMPANY, INC.",12167484
31-DEC-2024,GROESBECK INVESTMENT MANAGEMENT CORP /NJ/,1865
31-DEC-2024,GROUP ONE TRADING LLC,2076615841
31-DEC-2024,GROUPAMA ASSET MANAGMENT,295704693
31-DEC-2024,"GS Investments, Inc.",5147067
31-DEC-2024,GSA CAPITAL PARTNERS LLP,9048
31-DEC-2024,"GSB Wealth Management, LLC",4239386
31-DEC-2024,GSG Advisors LLC,5581983
31-DEC-2024,GRAND JEAN CAPITAL MANAGEMENT INC,21652790
31-DEC-2024,"GR FINANCIAL GROUP, LLC",485873
31-DEC-2024,"GERMAN AMERICAN BANCORP, INC.",34991005
31-DEC-2024,GQG Partners LLC,3450974943
31-DEC-2024,"GFS Advisors, LLC",2871000
31-DEC-2024,"GG Group Ventures, LLC",3236621
31-DEC-2024,GGM Financials LLC,1493275
31-DEC-2024,"GHE, LLC",103515
31-DEC-2024,"GHP Investment Advisors, Inc.",975630
31-DEC-2024,GILDER GAGNON HOWE & CO LLC,437794870
31-DEC-2024,"GILL CAPITAL PARTNERS, LLC",2753461
31-DEC-2024,"GKV Capital Management Co., Inc.",26746136
31-DEC-2024,GLENMEDE TRUST CO NA,180342875
31-DEC-2024,GLOBAL VALUE INVESTMENT CORP.,1185781
31-DEC-2024,GLOBALT Investments LLC / GA,22320207
31-DEC-2024,GLOBEFLEX CAPITAL L P,587653
31-DEC-2024,GLYNN CAPITAL MANAGEMENT LLC,117638
31-DEC-2024,"GM Advisory Group, LLC",33668379
31-DEC-2024,"GODSEY & GIBB, INC",1425687
31-DEC-2024,GOULD ASSET MANAGEMENT LLC /CA/,241991
31-DEC-2024,"GPS Wealth Strategies Group, LLC",69953544
31-DEC-2024,GUARDIAN CAPITAL LP,5743852
31-DEC-2024,"GUARDIAN WEALTH ADVISORS, LLC / NC",22957029
31-DEC-2024,"GUERRA PAN ADVISORS, LLC",9455396
31-DEC-2024,"GUIDANCE CAPITAL, INC",733460
31-DEC-2024,Generali Asset Management SPA SGR,287027417
31-DEC-2024,"Generali Investments CEE, investicni spolecnost, a.s.",14508289
31-DEC-2024,Generali Investments Towarzystwo Funduszy Inwestycyjnych,6948165
31-DEC-2024,"Generali Investments, Management Co LLC",22558571
31-DEC-2024,Generate Investment Management Ltd,44332218
31-DEC-2024,Generation Capital Management LLC,3018839
31-DEC-2024,"Genesee Capital Advisors, LLC",2674449
31-DEC-2024,"Geneva Partners, LLC",16233967
31-DEC-2024,Genus Capital Management Inc.,31181332
31-DEC-2024,"GeoWealth Management, LLC",709588
31-DEC-2024,Gerber Kawasaki Wealth & Investment Management,130850348
31-DEC-2024,"Gibraltar Capital Management, Inc.",2393961
31-DEC-2024,"Gibson Capital, LLC",1771426
31-DEC-2024,Gibson Wealth Advisors LLC,1667479
31-DEC-2024,Gifford Fong Associates,40449
31-DEC-2024,"Gilbert & Cook, Inc.",9314231
