FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71470.0
 NEUBERGER BERMAN GROUP LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14843.0,197772.0
&PARTNERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946852.0,17263956.0
"1620 INVESTMENT ADVISORS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,1114.0
1623 Capital LLC,0.0,0.0,0.0,0.0,49.0,361.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776 Wealth LLC,0.0,0.0,527.0,1030.0,6102.0,6938.0,6335.0,4798.0,3638.0,2404.0,2154.0,1679.0,2344883.0,3809520.0,3584016.0,3846097.0,4659548.0,5129350.0,7533037.0,12634294.0
"180 WEALTH ADVISORS, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234774.0,354479.0,524721.0
1832 Asset Management L.P.,0.0,0.0,0.0,112.0,525.0,612.0,553.0,223.0,171.0,105.0,36.0,0.0,2053.0,0.0,19200.0,25068.0,83418153.0,90189998.0,99205332.0,80027885.0
1834 INVESTMENT ADVISORS CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64200.0,84500.0,0.0,0.0,0.0,0.0,0.0,0.0,325588.0
"360 Financial, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378150.0
"55I, LLC",0.0,0.0,0.0,0.0,0.0,233.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5T Wealth, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4180572.0
"ABSOLUTE CAPITAL MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255411.0,686443.0,0.0,0.0
ACG Wealth,0.0,0.0,0.0,0.0,290.0,340.0,311.0,234.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,0.0,0.0,0.0,408.0,1958.0,2167.0,2002.0,969.0,838.0,572.0,512.0,382940.0,492660.0,841203.0,849168.0,867480.0,1117066.0,1217031.0,1798508.0,3629786.0
"ADAGE CAPITAL PARTNERS GP, L.L.C.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69125040.0,144944895.0
"ADE, LLC",0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIRONDACK TRUST CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6819.0,6256.0,6887.0,10118.0,20571.0
ADVENT CAPITAL MANAGEMENT /DE/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759900.0,0.0,0.0
"ADVISOR GROUP HOLDINGS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522716.0,788385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADVISORY RESEARCH INC,0.0,0.0,0.0,0.0,0.0,0.0,923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ADVISORY SERVICES NETWORK, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481669.0,0.0,0.0,0.0,0.0,0.0,0.0
AE Wealth Management LLC,0.0,0.0,0.0,1005.0,5255.0,6759.0,6511.0,4996.0,3544.0,2265.0,2084.0,1487622.0,2089286.0,1651047.0,3083873.0,8761682.0,4090356.0,7192729.0,12195248.0,24074615.0
AFFINITY WEALTH MANAGEMENT LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4585942.0,9411624.0
AFG FIDUCIARY SERVICES LIMITED PARTNERSHIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201868.0,0.0,0.0,279374.0
"AGP FRANKLIN, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5746897.0
"AIGEN INVESTMENT MANAGEMENT, LP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AIMZ Investment Advisors, LLC",0.0,0.0,0.0,0.0,0.0,472.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264120.0,536973.0
"AJ WEALTH STRATEGIES, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,190.0,161.0,126.0,100.0,131431.0,238443.0,0.0,0.0,0.0,0.0,0.0,0.0
ALBION FINANCIAL GROUP /UT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059.0
ALGERT GLOBAL LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,247.0,0.0,0.0
ALLSTATE CORP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2620.0,1593.0,1046.0,693.0,562899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4563817.0
ALLSTATE INVESTMENT MANAGEMENT CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ALPINE WOODS CAPITAL INVESTORS, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686800.0,0.0,0.0,0.0,0.0
ALTFEST L J & CO INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,759930.0
AM INVESTMENT STRATEGIES LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0
AMALGAMATED BANK,0.0,0.0,0.0,0.0,0.0,3017.0,2372.0,5304.0,5122.0,1804.0,1648.0,1334.0,1803.0,3154.0,3542.0,3667.0,2980.0,3444.0,15739.0,31825.0
"AMERICAN INTERNATIONAL GROUP, INC.",0.0,0.0,0.0,0.0,0.0,905.0,1534.0,574.0,433.0,256.0,230.0,180890.0,231293.0,534067.0,521136.0,553561.0,0.0,0.0,0.0,0.0
"AMERIFLEX GROUP, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379480.0
"ANGELES WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325436.0
ANTIPODES PARTNERS Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51062.0,0.0,0.0,0.0,0.0,0.0,0.0
"AO Asset Management, LP",0.0,0.0,8075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARCADIA INVESTMENT MANAGEMENT CORP/MI,0.0,0.0,10.0,24.0,23.0,26.0,24.0,18.0,14.0,9.0,8.0,6420.0,8450.0,15330.0,0.0,0.0,0.0,0.0,0.0,0.0
ARDSLEY ADVISORY PARTNERS LP,0.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARK Investment Management LLC,0.0,0.0,0.0,31018.0,433950.0,808772.0,895304.0,642511.0,8408.0,4701.0,1792.0,186.0,0.0,104903022.0,150778028.0,187803045.0,293273407.0,329875108.0,409861198.0,589418097.0
"ARMSTRONG ADVISORY GROUP, INC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8519.0,11214.0,20343.0,0.0,0.0,0.0,76066.0,243995.0,331336.0
"ARTHUR M. COHEN & ASSOCIATES, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051862.0
"ASAHI LIFE ASSET MANAGEMENT CO., LTD.",0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,367460.0,0.0,0.0,0.0,0.0,0.0,673107.0
ASHFORD CAPITAL MANAGEMENT INC,0.0,0.0,0.0,0.0,219.0,248.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASHTON THOMAS SECURITIES, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.0,0.0
ASSET MANAGEMENT CORP /IL/ /ADV,0.0,0.0,0.0,0.0,2106.0,2199.0,1692.0,1211.0,984.0,630.0,590.0,351046.0,332761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASSETMARK, INC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,223.0,6765.0,14945.0,30281.0,90075.0
ATLAS CAPITAL ADVISORS LLC,0.0,0.0,0.0,0.0,100403.0,113637.0,103636.0,77592.0,2060.0,1360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ATTICUS WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,0.0,1.0,196.0,18.0,7.0,5.0,3.0,3.0,13.0,17.0,31.0,31.0,0.0,0.0,0.0,29054.0,67841.0
ATWOOD & PALMER INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9111.0,7397991.0,10035626.0,18594386.0,19418096.0,20808306.0,27922497.0,32443348.0,47470362.0,88179891.0
AVALON CAPITAL MANAGEMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236220.0,669326.0
"AVANTAX ADVISORY SERVICES, INC.",0.0,0.0,0.0,0.0,320.0,558.0,689.0,256.0,701.0,629.0,540.0,423117.0,1231309.0,1891799.0,1781744.0,2454091.0,3842609.0,6124718.0,8768799.0,22277648.0
"AXQ CAPITAL, LP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837564.0,212113.0,0.0,352965.0
AXS Investments LLC,0.0,0.0,0.0,0.0,0.0,2207.0,0.0,3260.0,0.0,0.0,0.0,0.0,0.0,0.0,666208.0,725673.0,1022012.0,898303.0,1034086.0,2324639.0
