FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",,,,,,,,,,,,,,,,,,,,inf
 NEUBERGER BERMAN GROUP LLC,,,,,,,,,,,,,,,,,,,inf,1232.43
&PARTNERS,,,,,,,,,,,,,,,,,,,inf,1723.3
"1620 INVESTMENT ADVISORS, INC.",,,,,,,,,,,,,,,,,,,inf,103.28
1623 Capital LLC,,,,,inf,636.73,-8.86,-100.0,,,,,,,,,,,,
1776 Wealth LLC,,,inf,95.45,492.43,13.7,-8.69,-24.26,-24.18,-33.92,-10.4,-22.05,139559.5,62.46,-5.92,7.31,21.15,10.08,46.86,67.72
"180 WEALTH ADVISORS, LLC",,,,,,,,,,,,,,,,,,inf,50.99,48.03
1832 Asset Management L.P.,,,,inf,368.75,16.57,-9.64,-59.67,-23.32,-38.6,-65.71,-100.0,inf,-100.0,inf,30.56,332667.48,8.12,10.0,-19.33
1834 INVESTMENT ADVISORS CO,,,,,,,,,,,,inf,31.62,-100.0,,,,,,inf
"360 Financial, Inc.",,,,,,,,,,,,,,,,,,,,inf
"55I, LLC",,,,,,inf,-13.73,-100.0,,,,,,,,,,,,
"5T Wealth, LLC",,,,,,,,,,,,,,,,,,,,inf
"ABSOLUTE CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,,,,,inf,168.76,-100.0,
ACG Wealth,,,,,inf,17.24,-8.53,-24.76,-100.0,inf,-100.0,,,,,,,,,
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,,,,inf,379.9,10.67,-7.61,-51.6,-13.52,-31.74,-10.49,74692.97,28.65,70.75,0.95,2.16,28.77,8.95,47.78,101.82
"ADAGE CAPITAL PARTNERS GP, L.L.C.",,,,,,,,,,,,,,,,,,,inf,109.69
"ADE, LLC",,,,inf,-100.0,,,,,,,,,,,,,,,
ADIRONDACK TRUST CO,,,,,,,,,,,,,,,,inf,-8.26,10.09,46.91,103.31
ADVENT CAPITAL MANAGEMENT /DE/,,,,,,,,,,,,,,,,,,inf,-100.0,
"ADVISOR GROUP HOLDINGS, INC.",,,,,,,,,,,,inf,50.82,-100.0,,,,,,
ADVISORY RESEARCH INC,,,,,,,inf,-100.0,,,,,,,,,,,,
"ADVISORY SERVICES NETWORK, LLC",,,,,,,,,,,,,,inf,-100.0,,,,,
AE Wealth Management LLC,,,,inf,422.89,28.62,-3.67,-23.27,-29.06,-36.09,-7.99,71283.01,40.44,-20.98,86.78,184.11,-53.32,75.85,69.55,97.41
AFFINITY WEALTH MANAGEMENT LLC,,,,,,,,,,,,,,,,,,,inf,105.23
AFG FIDUCIARY SERVICES LIMITED PARTNERSHIP,,,,,,,,,,,,,,,,,inf,-100.0,,inf
"AGP FRANKLIN, LLC",,,,,,,,,,,,,,,,,,,,inf
"AIGEN INVESTMENT MANAGEMENT, LP",,,,,,,,inf,-100.0,,,,,,,,,,,
"AIMZ Investment Advisors, LLC",,,,,,inf,-54.45,-100.0,,,,,,,,,,,inf,103.31
"AJ WEALTH STRATEGIES, LLC",,,,,,,,inf,-24.6,-15.26,-21.74,-20.63,131331.0,81.42,-100.0,,,,,
ALBION FINANCIAL GROUP /UT,,,,,,,,,,,,,,,,,,,,inf
ALGERT GLOBAL LLC,,,,,,,,inf,-100.0,,,,,,,,inf,-26.92,-100.0,
ALLSTATE CORP,,,,,,,,inf,-39.2,-34.34,-33.75,81126.41,-100.0,,,,,,,inf
ALLSTATE INVESTMENT MANAGEMENT CO,,,,,,,,,,,,inf,-100.0,,,,,,,
"ALPINE WOODS CAPITAL INVESTORS, LLC",,,,,,,,,,,,,,,,inf,-100.0,,,
ALTFEST L J & CO INC,,,,,,,,,,,,,,,,,,,inf,203634.58
AM INVESTMENT STRATEGIES LLC,,,,,,,,,,,,,,,,,,,,inf
AMALGAMATED BANK,,,,,,inf,-21.38,123.61,-3.43,-64.78,-8.65,-19.05,35.16,74.93,12.3,3.53,-18.73,15.57,357.0,102.2
"AMERICAN INTERNATIONAL GROUP, INC.",,,,,,inf,69.5,-62.58,-24.56,-40.88,-10.16,78547.83,27.86,130.9,-2.42,6.22,-100.0,,,
"AMERIFLEX GROUP, INC.",,,,,,,,,,,,,,,,,,,,inf
"ANGELES WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,,,,,inf
ANTIPODES PARTNERS Ltd,,,,,,,,,,,,,,inf,-100.0,,,,,
"AO Asset Management, LP",,,inf,-100.0,,,,,,,,,,,,,,,,
ARCADIA INVESTMENT MANAGEMENT CORP/MI,,,inf,140.0,-4.17,13.04,-7.69,-25.0,-22.22,-35.71,-11.11,80150.0,31.62,81.42,-100.0,,,,,
ARDSLEY ADVISORY PARTNERS LP,,,,inf,-100.0,,,,,,,,,,,,,,,
ARK Investment Management LLC,,,,inf,1299.03,86.37,10.7,-28.24,-98.69,-44.09,-61.88,-89.62,-100.0,inf,43.73,24.56,56.16,12.48,24.25,43.81
"ARMSTRONG ADVISORY GROUP, INC",,,,,,,,,,,,inf,31.64,81.41,-100.0,,,inf,220.77,35.8
"ARTHUR M. COHEN & ASSOCIATES, LLC",,,,,,,,,,,,,,,,,,,,inf
"ASAHI LIFE ASSET MANAGEMENT CO., LTD.",,,,,,,inf,-100.0,,,,,,inf,-100.0,,,,,inf
ASHFORD CAPITAL MANAGEMENT INC,,,,,inf,13.24,-8.87,-100.0,,,,,,,,,,,,
"ASHTON THOMAS SECURITIES, LLC",,,,,,,,,,,,,,,,,,,inf,-100.0
