ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0002031775-25-000001,111862643,PALANTIR TECHNOLOGIES INC,CL A,69608A108,,210569,2484,SH,,SOLE,0,0,0,2484,palantir technologies inc,"BridgePort Financial Solutions, LLC",31-DEC-2024,,2024-12-31
0001697934-25-000001,109265600,PALANTIR TECHNOLOGIES IN CLASS,COM,69608a108,,1334189,17641,SH,,SOLE,,12981,0,4660,palantir technologies in class,"Moloney Securities Asset Management, LLC",31-DEC-2024,,2024-12-31
0001791965-25-000001,109197074,PALANTIR TECHNOLOGIES INC,CL A,69608A108,,3852819,50943,SH,,SOLE,0,0,0,50943,palantir technologies inc,"Kingsview Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000519,109194727,PALANTIR TECHNOLOGIES INC,CL A,69608A108,BBG001T53796,427230,5649,SH,,SOLE,,0,0,5649,palantir technologies inc,"D'Orazio & Associates, Inc.",31-DEC-2024,,2024-12-31
0001085146-25-000522,109273098,PALANTIR TECHNOLOGIES INC,CL A,69608A108,BBG001T53796,310310,4103,SH,,SOLE,,0,0,4103,palantir technologies inc,"BLB&B Advisors, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000527,109158017,PALANTIR TECHNOLOGIES INC,CL A,69608A108,BBG001T53796,410520,5428,SH,,SOLE,,5428,0,0,palantir technologies inc,"Capital Management Associates, Inc",31-DEC-2024,,2024-12-31
0001085146-25-000530,109193641,PALANTIR TECHNOLOGIES INC,CL A,69608A108,BBG001T53796,379663,5020,SH,,SOLE,,0,0,5020,palantir technologies inc,"Clarity Wealth Advisors, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000531,109229011,PALANTIR TECHNOLOGIES INC,CL A,69608A108,BBG001T53796,1961691,25938,SH,,SOLE,,0,0,25938,palantir technologies inc,"Joel Isaacson & Co., LLC",31-DEC-2024,,2024-12-31
0001085146-25-000536,109155603,PALANTIR TECHNOLOGIES INC,CL A,69608A108,BBG001T53796,672729,8895,SH,,SOLE,,8895,0,0,palantir technologies inc,CONNING INC.,31-DEC-2024,,2024-12-31
0001085146-25-000541,109177712,PALANTIR TECHNOLOGIES INC,CL A,69608A108,BBG001T53796,446217,5900,SH,,SOLE,,0,0,5900,palantir technologies inc,"Clientfirst Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000542,109200215,PALANTIR TECHNOLOGIES INC,CL A,69608A108,BBG001T53796,955207,12630,SH,,SOLE,,0,0,12630,palantir technologies inc,"BayBridge Capital Group, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000544,109267071,PALANTIR TECHNOLOGIES INC,CL A,69608A108,BBG001T53796,912853,12070,SH,,SOLE,,12070,0,0,palantir technologies inc,"Vest Financial, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000546,109122511,PALANTIR TECHNOLOGIES INC,CL A,69608A108,BBG001T53796,319915,4230,SH,,SOLE,,0,0,4230,palantir technologies inc,"Mezzasalma Advisors, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000548,109237114,PALANTIR TECHNOLOGIES INC,CL A,69608A108,BBG001T53796,890619,11776,SH,,SOLE,,11776,0,0,palantir technologies inc,"Almanack Investment Partners, LLC.",31-DEC-2024,,2024-12-31
0001911322-25-000001,109162156,PALANTIR TECHNOLOGIES INCLASS A,COM,69608A108,,193991,2565,SH,,SOLE,0,2565,0,0,palantir technologies inclass a,Byrne Asset Management LLC,31-DEC-2024,,2024-12-31
