REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,Glass Jacobson Investment Advisors llc,568133
31-DEC-2024,"Joule Financial, LLC",225302
31-DEC-2024,Iowa State Bank,2222161
31-DEC-2024,Iron Gate Global Advisors LLC,1534760
31-DEC-2024,"Ironwood Investment Counsel, LLC",228445
31-DEC-2024,J. Goldman & Co LP,680670
31-DEC-2024,"J.W. COLE ADVISORS, INC.",4548011
31-DEC-2024,JACOBS & CO/CA,1616
31-DEC-2024,"JACOBS LEVY EQUITY MANAGEMENT, INC",1254172
31-DEC-2024,"JAMISON PRIVATE WEALTH MANAGEMENT, INC.",680444
31-DEC-2024,JB Capital LLC,239936
31-DEC-2024,JDM Financial Group LLC,2118
31-DEC-2024,"JFG Wealth Management, LLC",379133
31-DEC-2024,"JFS WEALTH ADVISORS, LLC",511864
31-DEC-2024,"JGP Wealth Management, LLC",633775
31-DEC-2024,JNBA Financial Advisors,7563
31-DEC-2024,JOHNSON INVESTMENT COUNSEL INC,507326
31-DEC-2024,JONES FINANCIAL COMPANIES LLLP,16440182
31-DEC-2024,"JOSH ARNOLD INVESTMENT CONSULTANT, LLC",1841591
31-DEC-2024,JOURNEY STRATEGIC WEALTH LLC,511562
31-DEC-2024,"JPL Wealth Management, LLC",541814
31-DEC-2024,"JSF Financial, LLC",222806
31-DEC-2024,JT Stratford LLC,5284117
31-DEC-2024,JTC Employer Solutions Trustee Ltd,751
31-DEC-2024,"Jackson Wealth Management, LLC",526000
31-DEC-2024,"Jacksonville Wealth Management, LLC",772170
31-DEC-2024,Jacobi Capital Management LLC,593772
31-DEC-2024,"Jaffetilchin Investment Partners, LLC",2645567
31-DEC-2024,Janney Montgomery Scott LLC,30224
31-DEC-2024,"Jessup Wealth Management, Inc",218117
31-DEC-2024,"Joel Isaacson & Co., LLC",1961691
31-DEC-2024,Investors Research Corp,11345
31-DEC-2024,"Investor's Fiduciary Advisor Network, LLC",374
31-DEC-2024,Investment Management Corp of Ontario,7822108
31-DEC-2024,"Independent Solutions Wealth Management, LLC",8386916
31-DEC-2024,IRON Financial LLC,226890
31-DEC-2024,"ISLAY CAPITAL MANAGEMENT, LLC",2375841
31-DEC-2024,ITHAKA GROUP LLC,6621331
31-DEC-2024,IVC Wealth Advisors LLC,248066
31-DEC-2024,"Icon Wealth Advisors, LLC",271687
31-DEC-2024,"Ignite Planners, LLC",1071884
31-DEC-2024,Illinois Municipal Retirement Fund,8767862
31-DEC-2024,Ilmarinen Mutual Pension Insurance Co,7563
31-DEC-2024,Impact Capital Partners LLC,224470
31-DEC-2024,"Impact Partnership Wealth, LLC",642326
31-DEC-2024,InTrack Investment Management Inc,4549731
31-DEC-2024,Independence Bank of Kentucky,400839
31-DEC-2024,Independent Advisor Alliance,4275364
31-DEC-2024,Independent Wealth Network Inc.,1621961
31-DEC-2024,Intrepid Financial Planning Group LLC,2587680
31-DEC-2024,Indiana Trust & Investment Management Co,25336
31-DEC-2024,"Inman Jager Wealth Management, LLC",913232
31-DEC-2024,"Insight Advisors, LLC/ PA",510854
31-DEC-2024,"Insight Wealth Strategies, LLC",5623317
31-DEC-2024,"Inspire Advisors, LLC",1598975
31-DEC-2024,"Institute for Wealth Management, LLC.",1050024
31-DEC-2024,Integrated Advisors Network LLC,2480308
31-DEC-2024,"Integrated Investment Consultants, LLC",98362
31-DEC-2024,Integrity Wealth Solutions LLC,248369
31-DEC-2024,"Intellectus Partners, LLC",5645317
31-DEC-2024,"Intelligence Driven Advisers, LLC",519654
31-DEC-2024,Intellus Advisors LLC,3116410
31-DEC-2024,"Interchange Capital Partners, LLC",955587
31-DEC-2024,"Johnson & White Wealth Management, LLC",301
31-DEC-2024,"K2 PRINCIPAL FUND, L.P.",2268900
31-DEC-2024,"INVICTUS PRIVATE WEALTH, LLC",1202517
31-DEC-2024,KADENSA CAPITAL Ltd,492805
31-DEC-2024,"Keystone Wealth Services, LLC",349335
31-DEC-2024,"Kiker Wealth Management, LLC",949988
31-DEC-2024,King Wealth Management Group,2322
