ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0002058285-25-000002,111863635,PALO ALTO NETWORKS INC,COM,697435105,,9098,50,SH,,SOLE,,0,0,50,palo alto networks inc,"Park Square Financial Group, LLC",31-DEC-2024,,2024-12-31
0001730033-25-000001,109169664,PALO ALTO NETWORKS INC,COM,697435105,,389031,2138,SH,,SOLE,,2138,0,0,palo alto networks inc,Crewe Advisors LLC,31-DEC-2024,,2024-12-31
0001370102-25-000002,109110747,PALO ALTO NETWORKS INC,COM,697435105,,13577,74620,SH,,SOLE,,74620,0,0,palo alto networks inc,"State of Alaska, Department of Revenue",31-DEC-2024,,2024-12-31
0002011342-25-000001,109189880,PALO ALTO NETWORKS INC,COM,697435105,,15649,86,SH,,SOLE,,0,0,86,palo alto networks inc,"Private Wealth Management Group, LLC",31-DEC-2024,,2024-12-31
0001765380-25-000013,109200336,PALO ALTO NETWORKS INC,COM,697435105,,271481,1492,SH,,SOLE,0,36,0,1456,palo alto networks inc,"Adero Partners, LLC",31-DEC-2024,,2024-12-31
0002010947-25-000001,109115589,PALO ALTO NETWORKS INC COM,Stock,697435105,,33481,184,SH,,SOLE,0,184,0,0,palo alto networks inc com,"Caitlin John, LLC",31-DEC-2024,,2024-12-31
0001722512-25-000002,109229813,PALO ALTO NETWORKS INC,COM,697435105,,347544,1910,SH,,SOLE,0,0,0,1910,palo alto networks inc,Trilogy Capital Inc.,31-DEC-2024,,2024-12-31
0001008895-25-000001,109244823,PALO ALTO NETWORKS INC,COM,697435105,,1498986,8238,SH,,SOLE,0,0,0,8238,palo alto networks inc,SCHMIDT P J INVESTMENT MANAGEMENT INC,31-DEC-2024,,2024-12-31
0001172661-25-000364,109227364,PALO ALTO NETWORKS INC,COM,697435105,,532415,2926,SH,,SOLE,,0,0,2926,palo alto networks inc,"Robertson Stephens Wealth Management, LLC",31-DEC-2024,,2024-12-31
0002011850-25-000003,109147291,PALO ALTO NETWORKS INC,COM,697435105,,247466,1360,SH,,SOLE,,1360,0,0,palo alto networks inc,Optimist Retirement Group LLC,31-DEC-2024,,2024-12-31
0001815025-25-000001,109186282,PALO ALTO NETWORKS INC,COM,697435105,,342085,1880,SH,,SOLE,,0,0,1880,palo alto networks inc,"NovaPoint Capital, LLC",31-DEC-2024,,2024-12-31
0001104659-25-006241,109113265,PALO ALTO NETWORKS INC,COM,697435105,,4367,24,SH,,SOLE,,0,0,24,palo alto networks inc,"Jackson, Grant Investment Advisers, Inc.",31-DEC-2024,,2024-12-31
0001819476-25-000002,109155386,PALO ALTO NETWORKS INC,COM,697435105,,250195,1375,SH,,SOLE,,20,0,1355,palo alto networks inc,Onyx Bridge Wealth Group LLC,31-DEC-2024,,2024-12-31
0001214659-25-001353,109244276,PALO ALTO NETWORKS INC,COM,697435105,,4609936,25081,SH,,SOLE,,0,0,25081,palo alto networks inc,"CHOREO, LLC",31-DEC-2024,,2024-12-31
0001697274-25-000001,109206124,PALO ALTO NETWORKS INC COM,COM,697435105,,3700884,20339,SH,,SOLE,,0,0,3700884,palo alto networks inc com,"NVWM, LLC",31-DEC-2024,,2024-12-31
0001697274-25-000001,109206523,PALO ALTO NETWORKS INC COM,COM,697435105,,40759,224,SH,,SOLE,,0,0,40759,palo alto networks inc com,"NVWM, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000510,109251441,PALO ALTO NETWORKS INC,COM,697435105,,1538108,8453,SH,,SOLE,,0,0,8453,palo alto networks inc,MONEY CONCEPTS CAPITAL CORP,31-DEC-2024,,2024-12-31
0001910411-25-000001,109196434,PALO ALTO NETWORKS INCORPORATED,COM,697435105,,247825,1323,SH,,SOLE,,0,0,1323,palo alto networks incorporated,"Confluence Wealth Services, Inc.",31-DEC-2024,,2024-12-31
0001172661-25-000365,109165490,PALO ALTO NETWORKS INC,COM,697435105,,1785267,9692,SH,,SOLE,,0,0,9692,palo alto networks inc,"Insight Advisors, LLC/ PA",31-DEC-2024,,2024-12-31
0001667731-25-000135,109203760,PALO ALTO NETWORKS INC,COM,697435105,,3408475,18732,SH,,SOLE,,0,0,18732,palo alto networks inc,"Long Run Wealth Advisors, LLC",31-DEC-2024,,2024-12-31
0001866040-25-000002,108971847,Palo Alto Networks Inc,Com,697435105,,785157,4315,SH,,SOLE,0,4315,0,0,palo alto networks inc,Heartland Bank & Trust Co,31-DEC-2024,,2024-12-31
0001140361-25-002077,109199594,PALO ALTO NETWORKS INC,COM,697435105,,57136,314,SH,,SOLE,,166,0,148,palo alto networks inc,"GHP Investment Advisors, Inc.",31-DEC-2024,,2024-12-31
0001754960-25-000076,109254831,PALO ALTO NETWORKS INC,COM,697435105,,30569,26226,SH,,SOLE,,0,0,26226,palo alto networks inc,"Strategic Financial Concepts, LLC",31-DEC-2024,,2024-12-31
0001791996-25-000001,109113635,PALO ALTO NETWORKS INC,COM,697435105,,490929,2698,SH,,SOLE,,0,0,2698,palo alto networks inc,1900 WEALTH MANAGEMENT LLC,31-DEC-2024,,2024-12-31
0001452861-25-000001,109152052,PALO ALTO NETWORKS INC,COM,697435905,,248175244,1363900,SH,Call,SOLE,,0,0,0,palo alto networks inc,"IMC-Chicago, LLC",31-DEC-2024,,2024-12-31
0001452861-25-000001,109152053,PALO ALTO NETWORKS INC,COM,697435955,,289989652,1593700,SH,Put,SOLE,,0,0,0,palo alto networks inc,"IMC-Chicago, LLC",31-DEC-2024,,2024-12-31
0001452861-25-000001,109152054,PALO ALTO NETWORKS INC,COM,697435105,,13055812,71751,SH,,SOLE,,71751,0,0,palo alto networks inc,"IMC-Chicago, LLC",31-DEC-2024,,2024-12-31
0001567889-25-000001,109271802,PALO ALTO NETWORKS INC,COM,697435105,,10357164,56920,SH,,SOLE,,0,0,56920,palo alto networks inc,"Telos Capital Management, Inc.",31-DEC-2024,,2024-12-31
0001754960-25-000071,109146820,PALO ALTO NETWORKS INC,COM,697435105,,314791,1730,SH,,SOLE,,0,0,1730,palo alto networks inc,Consolidated Portfolio Review Corp,31-DEC-2024,,2024-12-31
0001140361-25-002072,109114498,PALO ALTO NETWORKS INC,COMMON STOCK,697435105,,90980,500,SH,,SOLE,,500,0,0,palo alto networks inc,"Oakworth Capital, Inc.",31-DEC-2024,,2024-12-31
0001936953-25-000001,109166364,PALO ALTO NETWORKS INC,COM,697435105,,2432774,13370,SH,,SOLE,,6,0,13364,palo alto networks inc,"Bleakley Financial Group, LLC",31-DEC-2024,,2024-12-31
0001667731-25-000143,109122210,PALO ALTO NETWORKS INC,COM,697435105,,262022,1440,SH,,SOLE,,0,0,1440,palo alto networks inc,"McHugh Group, LLC",31-DEC-2024,,2024-12-31
0001080576-25-000002,109253879,PALO ALTO NETWORKS INC,COM,697435105,,1199636,6513,SH,,SOLE,,0,0,6513,palo alto networks inc,"SILVER OAK SECURITIES, INCORPORATED",31-DEC-2024,,2024-12-31
0001712671-25-000001,109195454,PALO ALTO NETWORKS INC,COM,697435105,,3976554,21854,SH,,SOLE,,21854,0,0,palo alto networks inc,"Geneva Partners, LLC",31-DEC-2024,,2024-12-31
0002022908-25-000001,109201527,PALO ALTO NETWORKS INC,COM,697435105,,10350613,56884,SH,,SOLE,,56884,0,0,palo alto networks inc,"SPIREPOINT PRIVATE CLIENT, LLC",31-DEC-2024,,2024-12-31
0001667731-25-000138,109122474,PALO ALTO NETWORKS INC,COM,697435105,,542423,2981,SH,,SOLE,,0,0,2981,palo alto networks inc,"Elm3 Financial Group, LLC",31-DEC-2024,,2024-12-31
0001730293-25-000001,109161832,PALO ALTO NETWORKS INC,COM,697435105,,2522694,13864,SH,,SOLE,,0,0,13864,palo alto networks inc,Financial Advocates Investment Management,31-DEC-2024,,2024-12-31
0001140361-25-002061,109266588,Palo Alto Networks Inc Common,COM,697435105,,10190,56,SH,,SOLE,,56,0,0,palo alto networks inc common,YANKCOM Partnership,31-DEC-2024,,2024-12-31
0000905148-25-000188,109259053,PALO ALTO NETWORKS INC,COM,697435105,,33470424,179867,SH,,SOLE,,179867,0,0,palo alto networks inc,"Mirae Asset Global Investments Co., Ltd.",31-DEC-2024,,2024-12-31
0001536799-25-000001,109256193,PALO ALTO NETWORKS INC COM,PANW,697435105,,2216000,12180,SH,,SOLE,,0,0,12180,palo alto networks inc com,"Jackson Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001951757-25-000138,109232317,PALO ALTO NETWORKS INC,COM,697435105,,1218830,6698,SH,,SOLE,,0,0,6698,palo alto networks inc,Tyche Wealth Partners LLC,31-DEC-2024,,2024-12-31
0001161670-25-000001,109279106,Palo Alto Networks Inc,COM,697435105,,291136,1600,SH,,SOLE,,0,0,1600,palo alto networks inc,CULLINAN ASSOCIATES INC,31-DEC-2024,,2024-12-31
0001842787-25-000002,109112710,PALO ALTO NETWORKS INC,COM,697435105,,21836,120,SH,,SOLE,,0,0,120,palo alto networks inc,"Stephens Consulting, LLC",31-DEC-2024,,2024-12-31
0000873759-25-000001,109185726,PALO ALTO NETWORKS INC,COM,697435105,,1149987,6320,SH,,SOLE,0,800,0,5520,palo alto networks inc,TANDEM CAPITAL MANAGEMENT CORP /ADV,31-DEC-2024,,2024-12-31
0001536755-25-000003,109184950,PALO ALTO NETWORKS INC,COM,697435105,,284585,1564,SH,,SOLE,,0,0,1564,palo alto networks inc,"Commonwealth Financial Services, LLC",31-DEC-2024,,2024-12-31
0001527641-25-000002,109184021,PALO ALTO NETWORKS INC,COM,697435105,,958492,5268,SH,,SOLE,,0,0,5268,palo alto networks inc,"MATHER GROUP, LLC.",31-DEC-2024,,2024-12-31
0000014745-25-000001,109177421,PALO ALTO NETWORKS INC,COM,697435105,,2301430,12648,SH,,SOLE,,0,0,12648,palo alto networks inc,"BROWN, LISLE/CUMMINGS, INC.",31-DEC-2024,,2024-12-31
0001908433-25-000001,109159165,PALO ALTO NETWORKS INC,COM,697435105,,93891,516,SH,,SOLE,,516,0,0,palo alto networks inc,Kathleen S. Wright Associates Inc.,31-DEC-2024,,2024-12-31
0001085146-25-000492,109169010,PALO ALTO NETWORKS INC,COM,697435105,BBG001T9NWN5,2911,16,SH,,SOLE,,0,0,16,palo alto networks inc,"Optas, LLC",31-DEC-2024,,2024-12-31
0001337263-25-000002,109232425,PALO ALTO NETWORKS INC,COM,697435105,,775000,4260,SH,,SOLE,0,0,0,4260,palo alto networks inc,First Dallas Securities Inc.,31-DEC-2024,,2024-12-31
0000923116-25-000001,109171301,PALO ALTO NETWORKS INC COM     COM,COM,697435105,,693,3810,SH,,SOLE,RPG,2350,0,1460,palo alto networks inc com     com,GROESBECK INVESTMENT MANAGEMENT CORP /NJ/,31-DEC-2024,,2024-12-31
0001085146-25-000483,109236102,PALO ALTO NETWORKS INC,NOTE 0.375% 6/0,697435AF2,,343268,94000,PRN,,SOLE,,94,0,0,palo alto networks inc,Calamos Wealth Management LLC,31-DEC-2024,,2024-12-31
0001085146-25-000482,109134738,PALO ALTO NETWORKS INC,COM,697435105,BBG001T9NWN5,47931175,263416,SH,,SOLE,,262610,0,806,palo alto networks inc,Calamos Advisors LLC,31-DEC-2024,,2024-12-31
0001085146-25-000482,109134739,PALO ALTO NETWORKS INC,NOTE 0.375% 6/0,697435AF2,,401328069,109899000,PRN,,SOLE,,109732,0,167,palo alto networks inc,Calamos Advisors LLC,31-DEC-2024,,2024-12-31
0001085146-25-000475,109191368,PALO ALTO NETWORKS INC,COM,697435105,BBG001T9NWN5,109176,600,SH,Call,SOLE,,600,0,0,palo alto networks inc,CAAS CAPITAL MANAGEMENT LP,31-DEC-2024,,2024-12-31
0001085146-25-000475,109191369,PALO ALTO NETWORKS INC,COM,697435105,BBG001T9NWN5,145568,800,SH,Put,SOLE,,800,0,0,palo alto networks inc,CAAS CAPITAL MANAGEMENT LP,31-DEC-2024,,2024-12-31
0001635633-25-000001,109163534,PALO ALTO NETWORKS INC,COMMON STOCK,697435105,,554434,3047,SH,,SOLE,,2485,0,562,palo alto networks inc,TRUST POINT INC.,31-DEC-2024,,2024-12-31
0001085146-25-000469,109143858,PALO ALTO NETWORKS INC,COM,697435105,BBG001T9NWN5,900702,4950,SH,,SOLE,,0,0,4950,palo alto networks inc,"BLODGETT WEALTH ADVISORS, LLC",31-DEC-2024,,2024-12-31
0001847820-25-000001,109248170,PALO ALTO NETWORKS INC,COM,697435105,,1937329,10647,SH,,SOLE,,0,0,10647,palo alto networks inc,Robbins Farley,31-DEC-2024,,2024-12-31
0001172661-25-000354,109263138,PALO ALTO NETWORKS INC,COM,697435105,,2137871,11749,SH,,SOLE,,10,0,11739,palo alto networks inc,"Rockline Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001004140-25-000001,109267598,PALO ALTO NETWORKS INC,COM,697435105,,200338,1101,SH,,SOLE,0,0,0,1101,palo alto networks inc,PENNSYLVANIA CAPITAL MANAGEMENT INC /ADV,31-DEC-2024,,2024-12-31
0002002654-25-000001,109141792,PALO ALTO NETWORKS INC,COM,697435105,,54588,300,SH,,SOLE,,0,0,300,palo alto networks inc,"PFS Partners, LLC",31-DEC-2024,,2024-12-31
0001104659-25-006199,109236770,"Palo Alto Networks, Inc.",STOCK,697435105,,927996,5100,SH,,SOLE,,0,0,0,"palo alto networks, inc.",SPIRIT OF AMERICA MANAGEMENT CORP/NY,31-DEC-2024,,2024-12-31
0001085146-25-000498,109235285,PALO ALTO NETWORKS INC,COM,697435105,BBG001T9NWN5,9271408,50953,SH,,SOLE,,0,0,50953,palo alto networks inc,"Stratos Wealth Advisors, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000497,109165008,PALO ALTO NETWORKS INC,COM,697435105,BBG001T9NWN5,6914844,38002,SH,,SOLE,,0,0,38002,palo alto networks inc,"Stratos Wealth Partners, LTD.",31-DEC-2024,,2024-12-31
0001858789-25-000001,109139994,Palo Alto Networks Inc,COM,697435105,,14432339,79316,SH,,SOLE,,14157,0,65159,palo alto networks inc,"YOUSIF CAPITAL MANAGEMENT, LLC",31-DEC-2024,,2024-12-31
0001140361-25-001981,109149626,PALO ALTO NETWORKS INC,COM,697435105,,25785188,141708,SH,,SOLE,,141708,0,0,palo alto networks inc,Retirement Systems of Alabama,31-DEC-2024,,2024-12-31
0001951757-25-000136,109128183,PALO ALTO NETWORKS INC,COM,697435105,,244849,1459,SH,,SOLE,,0,0,1459,palo alto networks inc,"Sargent Investment Group, LLC",31-DEC-2024,,2024-12-31
0001958743-25-000001,109196192,PALO ALTO NETWORKS INC,COM,697435105,,883692,4708,SH,,SOLE,0,0,0,4708,palo alto networks inc,"GUIDANCE CAPITAL, INC",31-DEC-2024,,2024-12-31
0001172661-25-000359,109232704,PALO ALTO NETWORKS INC,COM,697435105,,676709,3719,SH,,SOLE,,3719,0,0,palo alto networks inc,WINDWARD CAPITAL MANAGEMENT CO /CA,31-DEC-2024,,2024-12-31
0001900946-25-000001,109200726,PALO ALTO NETWORKS INC,COM,697435105,,7278,40,SH,,SOLE,0,40,0,0,palo alto networks inc,"CarsonAllaria Wealth Management, Ltd.",31-DEC-2024,,2024-12-31
0001951757-25-000131,109248393,PALO ALTO NETWORKS INC,COM,697435105,,2971407,16330,SH,,SOLE,,0,0,16330,palo alto networks inc,"1858 WEALTH MANAGEMENT, LLC",31-DEC-2024,,2024-12-31
0001734565-25-000001,109195649,PALO ALTO NETWORKS INC,COM,697435105,,2885158,15856,SH,,SOLE,,15856,0,0,palo alto networks inc,Avitas Wealth Management LLC,31-DEC-2024,,2024-12-31
0001437749-25-001885,109195902,PALO ALTO NETWORKS INC COM,Common Stock,697435105,,6550,36,SH,,SOLE,0,0,0,36,palo alto networks inc com,"Bay Harbor Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001963839-25-000004,109194166,PALO ALTO NETWORKS INC,Equity,697435105,,306825,1684,SH,,SOLE,0,1684,0,0,palo alto networks inc,"Redwood Wealth Management Group, LLC",31-DEC-2024,,2024-12-31
0001161822-25-000002,109223243,PALO ALTO NETWORKS INC,COM,697435105,,8181649,44964,SH,,SOLE,0,0,0,44964,palo alto networks inc,GREENWOOD CAPITAL ASSOCIATES LLC,31-DEC-2024,,2024-12-31
0001104659-25-006090,109178494,PALO ALTO NETWORKS,COM,697435105,,58733049,322780,SH,,SOLE,,322780,0,0,palo alto networks,E. Ohman J:or Asset Management AB,31-DEC-2024,,2024-12-31
0001754960-25-000075,109148126,PALO ALTO NETWORKS INC,COM,697435105,,962932,5292,SH,,SOLE,,0,0,5292,palo alto networks inc,"Leo Wealth, LLC",31-DEC-2024,,2024-12-31
0000950123-25-000621,109121891,PALO ALTO NETWORKS INC,COM,697435105,,13498885,74186,SH,,SOLE,,74186,0,0,palo alto networks inc,"Sumitomo Mitsui DS Asset Management Company, Ltd",31-DEC-2024,,2024-12-31
0000950123-25-000628,109216216,Palo alto networks inc,COM,697435105,,978581,5378,SH,,SOLE,,5378,0,0,palo alto networks inc,"Livforsakringsbolaget Skandia, Omsesidigt",31-DEC-2024,,2024-12-31
0001172661-25-000386,109233919,PALO ALTO NETWORKS INC,COM,697435105,,1930596,10610,SH,,SOLE,,0,0,10610,palo alto networks inc,"WASHBURN CAPITAL MANAGEMENT, INC.",31-DEC-2024,,2024-12-31
0001085146-25-000565,109113853,PALO ALTO NETWORKS INC,COM,697435105,,2590019,14234,SH,,SOLE,,0,0,14234,palo alto networks inc,"Liberty Capital Management, Inc.",31-DEC-2024,,2024-12-31
0001883134-25-000002,109143356,PALO ALTO NETWORKS INC,COM,697435105,,1323941,7276,SH,,SOLE,NONE,0,0,7276,palo alto networks inc,"Newbridge Financial Services Group, Inc.",31-DEC-2024,,2024-12-31
0001883134-25-000001,109124710,PALO ALTO NETWORKS INC,COM,697435105,,182896,1005,SH,,SOLE,NONE,0,0,1005,palo alto networks inc,Activest Wealth Management,31-DEC-2024,,2024-12-31
0001667731-25-000148,109148727,PALO ALTO NETWORKS INC,COM,697435105,,1926411,10587,SH,,SOLE,,10587,0,0,palo alto networks inc,"Wealthstar Advisors, LLC",31-DEC-2024,,2024-12-31
