REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,Knights of Columbus Asset Advisors LLC,3885574
31-DEC-2024,KPP Advisory Services LLC,1079750
31-DEC-2024,"Kera Capital Partners, Inc.",2776528
31-DEC-2024,Kentucky Retirement Systems,8097584
31-DEC-2024,"Kensington Investment Counsel, LLC",806447
31-DEC-2024,"Keel Point, LLC",349909
31-DEC-2024,"Kathmere Capital Management, LLC",482012
31-DEC-2024,Kathleen S. Wright Associates Inc.,93891
31-DEC-2024,Kaizen Financial Strategies,400312
31-DEC-2024,"KRS Capital Management, LLC",3016897
31-DEC-2024,KORNITZER CAPITAL MANAGEMENT INC /KS,3032181
31-DEC-2024,"Kestra Advisory Services, LLC",19845831
31-DEC-2024,"KMG FIDUCIARY PARTNERS, LLC",5887254
31-DEC-2024,KLP KAPITALFORVALTNING AS,47735750
31-DEC-2024,KLINGENSTEIN FIELDS & CO LP,51565644
31-DEC-2024,KKM Financial LLC,4133767
31-DEC-2024,"KINGSWOOD WEALTH ADVISORS, LLC",794801
31-DEC-2024,KING LUTHER CAPITAL MANAGEMENT CORP,43568866
31-DEC-2024,"KG&L Capital Management,LLC",1837250
31-DEC-2024,KEYSTONE INVESTORS PTE LTD,2102366
31-DEC-2024,"Kesler, Norman & Wride, LLC",959550
31-DEC-2024,"Kestra Investment Management, LLC",113543
31-DEC-2024,"Interchange Capital Partners, LLC",726568
31-DEC-2024,"Knollwood Investment Advisory, LLC",11060984
31-DEC-2024,"Kozak & Associates, Inc.",6597
31-DEC-2024,"Kovitz Investment Group Partners, LLC",7159452
31-DEC-2024,"Kovack Advisors, Inc.",9311621
31-DEC-2024,"Koshinski Asset Management, Inc.",1405823
31-DEC-2024,Korea Investment CORP,116853074
31-DEC-2024,"Kolinsky Wealth Management, LLC",226176
31-DEC-2024,"Kohmann Bosshard Financial Services, LLC",728
31-DEC-2024,"Koesten, Hirschmann & Crabtree, INC.",62595
31-DEC-2024,Alken Asset Management Ltd,1170
31-DEC-2024,Keudell/Morrison Wealth Management,400676
31-DEC-2024,"Klingman & Associates, LLC",318794
31-DEC-2024,"Kingsview Wealth Management, LLC",3706377
31-DEC-2024,"Kingstone Capital Partners Texas, LLC",203000
31-DEC-2024,Kings Path Partners LLC,52404
31-DEC-2024,"Kimelman & Baird, LLC",545880
31-DEC-2024,"Kiely Wealth Advisory Group, Inc.",29460
31-DEC-2024,Keystone Financial Group,1504415
31-DEC-2024,Key Financial Inc,6551
31-DEC-2024,"KESTRA PRIVATE WEALTH SERVICES, LLC",14247286
31-DEC-2024,KELLEHER FINANCIAL ADVISORS,702548
31-DEC-2024,KCM INVESTMENT ADVISORS LLC,209254
31-DEC-2024,"JACKSON SQUARE CAPITAL, LLC",5749936
31-DEC-2024,"JGP Wealth Management, LLC",242735
31-DEC-2024,"JFS WEALTH ADVISORS, LLC",53497
31-DEC-2024,"JFG Wealth Management, LLC",1156538
31-DEC-2024,"JEPPSON WEALTH MANAGEMENT, LLC",2165688
31-DEC-2024,JDM Financial Group LLC,103114
31-DEC-2024,JCIC Asset Management Inc.,13829
31-DEC-2024,"JAMISON PRIVATE WEALTH MANAGEMENT, INC.",5767405
31-DEC-2024,"JACOBS LEVY EQUITY MANAGEMENT, INC",339643443
31-DEC-2024,J2 Capital Management Inc,297869
31-DEC-2024,KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,323918
31-DEC-2024,"J.W. COLE ADVISORS, INC.",2736385
31-DEC-2024,J.Safra Asset Management Corp,88416
31-DEC-2024,Isomer Partners LP,29011500
31-DEC-2024,"Ironsides Asset Advisors, LLC",222719
31-DEC-2024,"Ipswich Investment Management Co., Inc.",5539590
