FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223408.0,191066.0,186691.0
 NEUBERGER BERMAN GROUP LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1630392.0,1855653.0,4491882.0,2399778.0,2538888.0
&PARTNERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877393.0,4420508.0,9963021.0,16801112.0
"1248 Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371251.0
"1620 INVESTMENT ADVISORS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.0,779.0,499.0,496.0,434109.0,776389.0,970171.0,444498.0,470628.0,481600.0,567503.0,448753.0,499630.0
"17 CAPITAL PARTNERS, LLC",0.0,0.0,0.0,0.0,0.0,1216.0,1271.0,1293.0,1221.0,969.0,967.0,0.0,0.0,0.0,0.0,1088107.0,677650.0,539026.0,544146.0,579361.0
1776 WEALTH LLC,58.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776 Wealth LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589717.0,541088.0,680583.0,648100.0,770570.0,735895.0,783520.0
"180 WEALTH ADVISORS, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223231.0,280235.0,331541.0,303600.0,359705.0,225031.0,263177.0,271731.0,387029.0
1832 Asset Management L.P.,0.0,0.0,29.0,209323.0,0.0,45680.0,410470.0,482168.0,578094.0,358930.0,318547.0,138005060.0,285657961.0,354974421.0,91736372.0,188945834.0,3694.0,18216702.0,0.0,18013130.0
1834 INVESTMENT ADVISORS CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2238686.0,2339450.0,1859813.0,1077197.0,1025142.0,1095681.0,884237.0,923266.0
"1858 WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2604085.0,2604085.0,3023291.0,2793019.0,2971407.0
1900 WEALTH MANAGEMENT LLC,0.0,0.0,0.0,0.0,0.0,0.0,222.0,264.0,296.0,235.0,220.0,0.0,0.0,343406.0,453642.0,493629.0,381871.0,457325.0,842960.0,490929.0
1ST SOURCE BANK,910.0,1435.0,1505.0,2186.0,2155.0,2508.0,3243.0,3625.0,3926.0,3064.0,2971.0,2643167.0,3775885.0,4799755.0,4394812.0,5513961.0,6105385.0,7328379.0,7254021.0,7643048.0
25 LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7470.0,10039.0,0.0,0.0,0.0,0.0,0.0,0.0
"49 WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219436.0,234728.0
"5T Wealth, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665609.0
"9258 Wealth Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233792.0,211934.0,809445.0,321635.0,444442.0,617974.0,0.0
"A.R.T. Advisors, LLC",0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAFMAA Wealth Management & Trust LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282433.0,1332854.0,1339090.0,1487514.0,1370887.0
ABEILLE ASSET MANAGEMENT SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54392062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ABSOLUTE CAPITAL MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279080.0,399879.0,1916836.0,1759003.0,2035557.0,0.0,0.0,0.0,0.0
ABSOLUTE INVESTMENT ADVISERS LLC,0.0,0.0,0.0,0.0,0.0,0.0,5035.0,5696.0,10801.0,8727.0,8705.0,7528455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACG Wealth,3516.0,4920.0,4898.0,7143.0,6430.0,7445.0,9498.0,8435.0,5519.0,4264.0,4143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,417.0,583.0,658.0,1013.0,955.0,1121.0,1547.0,1217.0,1327.0,1038.0,1056.0,904638.0,1304702.0,2123799.0,1851739.0,2095989.0,1008377.0,1174670.0,1152291.0,1176779.0
"ADAGE CAPITAL PARTNERS GP, L.L.C.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81374124.0,75164912.0,78789249.0,102686129.0,93379760.0,99695884.0
"ADAMS DIVERSIFIED EQUITY FUND, INC.",0.0,0.0,0.0,0.0,0.0,0.0,19016.0,20767.0,23220.0,15312.0,15232.0,12977220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4585392.0
ADELL HARRIMAN & CARPENTER INC,6595127.0,9339760.0,9864648.0,13665100.0,11940696.0,14230138.0,17214062.0,20045030.0,21557521.0,17993740.0,18627836.0,15210697.0,21870736.0,27285956.0,25156590.0,31827881.0,31116766.0,36598502.0,36649505.0,39601097.0
ADIRONDACK TRUST CO,2.0,4.0,4.0,5.0,5.0,6.0,8.0,8.0,9.0,26.0,26.0,21767.0,19174.0,23995.0,94710.0,156819.0,143481.0,171196.0,172600.0,91886.0
"ADVANCED RESEARCH INVESTMENT SOLUTIONS, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADVENT CAPITAL MANAGEMENT /DE/,130514.0,92768.0,63042.0,60027.0,35705.0,135858.0,116921.0,86456.0,64586.0,65530.0,141804.0,64497103.0,61924610.0,37125243.0,32756659.0,25492152.0,16297764.0,11677614.0,0.0,0.0
"ADVISOR GROUP HOLDINGS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3022576.0,4312387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADVISOR PARTNERS LLC,0.0,0.0,0.0,0.0,0.0,0.0,246.0,286.0,357.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADVISORS MANAGEMENT GROUP INC /ADV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506.0,1768.0,1784.0,1987.0
ADVISORY RESEARCH INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467839.0,465832.0,0.0,0.0,0.0,0.0,0.0
"ADVISORY SERVICES NETWORK, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4648962.0,0.0,0.0,0.0,0.0,0.0,0.0
AE Wealth Management LLC,341.0,530.0,1847.0,1611.0,810.0,939.0,2320.0,1955.0,2682.0,2473.0,3375.0,3126254.0,3215015.0,4652104.0,4898389.0,13371940.0,471372.0,7042255.0,2865008.0,3293840.0
"AFT, FORSYTH & COMPANY, INC.",0.0,0.0,0.0,0.0,763.0,879.0,1303.0,1509.0,822.0,763.0,848.0,722120.0,1030658.0,1461262.0,1432194.0,2142598.0,2135521.0,2525964.0,2526244.0,2687913.0
AFTON CAPITAL MANAGEMENT LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2470.0,1638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGF INVESTMENTS INC.,504.0,894.0,301.0,399.0,353.0,2553.0,57861.0,100381.0,181817.0,144634.0,147831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGF MANAGEMENT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83862788.0,128959487.0,270560824.0,254825601.0,319933621.0,4241556.0,3004071.0,4280964.0,4407705.0
"AGP FRANKLIN, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2323265.0
"AIGEN INVESTMENT MANAGEMENT, LP",0.0,1887.0,0.0,2230.0,4202.0,0.0,5230.0,1139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AIRE ADVISORS, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301040.0,465876.0,506031.0
"AJ WEALTH STRATEGIES, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,228.0,0.0,0.0,0.0,219315.0,285916.0,0.0,0.0,0.0,0.0,0.0,0.0
"AJO, LP",0.0,10770.0,6988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AJOVista, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97900.0,0.0,0.0,0.0,0.0
ALBION FINANCIAL GROUP /UT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1534.0,3048.0,0.0,3978.0,4747.0,4786.0,5095.0
ALERUS FINANCIAL  NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2531696.0,0.0,0.0
