FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",,,,,,,,,,,,,,,,,,inf,-14.48,-2.29
 NEUBERGER BERMAN GROUP LLC,,,,,,,,,,,,,,,,inf,13.82,142.06,-46.58,5.8
&PARTNERS,,,,,,,,,,,,,,,,,inf,403.82,125.38,68.63
"1248 Management, LLC",,,,,,,,,,,,,,,,,,,,inf
"1620 INVESTMENT ADVISORS, INC.",,,,,,,,inf,0.0,-35.94,-0.6,87421.98,78.85,24.96,-54.18,5.88,2.33,17.84,-20.92,11.34
"17 CAPITAL PARTNERS, LLC",,,,,,inf,4.52,1.73,-5.57,-20.64,-0.21,-100.0,,,,inf,-37.72,-20.46,0.95,6.47
1776 WEALTH LLC,,-41.38,-100.0,,,,,,,,,,,,,,,,,
1776 Wealth LLC,,,,,,,,,,,,,,inf,-8.25,25.78,-4.77,18.9,-4.5,6.47
"180 WEALTH ADVISORS, LLC",,,,,,,,,,,,inf,25.54,18.31,-8.43,18.48,-37.44,16.95,3.25,42.43
1832 Asset Management L.P.,,,inf,721703.45,-100.0,inf,798.58,17.47,19.89,-37.91,-11.25,43223.3,106.99,24.27,-74.16,105.97,-100.0,493042.99,-100.0,inf
1834 INVESTMENT ADVISORS CO,,,,,,,,,,,,,inf,4.5,-20.5,-42.08,-4.83,6.88,-19.3,4.41
"1858 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,0.0,16.1,-7.62,6.39
1900 WEALTH MANAGEMENT LLC,,,,,,,inf,18.92,12.12,-20.61,-6.38,-100.0,,inf,32.1,8.81,-22.64,19.76,84.32,-41.76
1ST SOURCE BANK,,57.69,4.88,45.25,-1.42,16.38,29.31,11.78,8.3,-21.96,-3.04,88865.57,42.85,27.12,-8.44,25.47,10.73,20.03,-1.01,5.36
25 LLC,,,,,,,,,,,,,inf,34.39,-100.0,,,,,
"49 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,,,,inf,6.97
"5T Wealth, LLC",,,,,,,,,,,,,,,,,,,,inf
"9258 Wealth Management, LLC",,,,,,,,,,,,,,inf,-9.35,281.93,-60.26,38.18,39.04,-100.0
"A.R.T. Advisors, LLC",,,,,inf,-100.0,,,,,,,,,,,,,,
AAFMAA Wealth Management & Trust LLC,,,,,,,,,,,,,,,,inf,3.93,0.47,11.08,-7.84
ABEILLE ASSET MANAGEMENT SA,,,,,,,,,,,,inf,-100.0,,,,,,,
"ABSOLUTE CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,inf,43.28,379.35,-8.23,15.72,-100.0,,,
ABSOLUTE INVESTMENT ADVISERS LLC,,,,,,,inf,13.13,89.62,-19.2,-0.25,86384.26,-100.0,,,,,,,
ACG Wealth,,39.93,-0.45,45.84,-9.98,15.79,27.58,-11.19,-34.57,-22.74,-2.84,-100.0,,,,,,,,
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,,39.81,12.86,53.95,-5.73,17.38,38.0,-21.33,9.04,-21.78,1.73,85566.48,44.22,62.78,-12.81,13.19,-51.89,16.49,-1.91,2.13
"ADAGE CAPITAL PARTNERS GP, L.L.C.",,,,,,,,,,,,,,,inf,-7.63,4.82,30.33,-9.06,6.76
"ADAMS DIVERSIFIED EQUITY FUND, INC.",,,,,,,inf,9.21,11.81,-34.06,-0.52,85097.09,-100.0,,,,,,,inf
ADELL HARRIMAN & CARPENTER INC,,41.62,5.62,38.53,-12.62,19.17,20.97,16.45,7.55,-16.53,3.52,-18.34,43.79,24.76,-7.8,26.52,-2.23,17.62,0.14,8.05
