FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119809.0,78828.0,86257.0
 HARRIS ASSOCIATES L P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1252435088.0,1341492322.0,0.0
 NEUBERGER BERMAN GROUP LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5579621.0,6201296.0,10875330.0,5239083.0,8426788.0
" ONCE CAPITAL MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5347680.0,0.0,0.0
&PARTNERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208255.0,342187.0,1304109.0,2953948.0,6926604.0,14681423.0
"1620 INVESTMENT ADVISORS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40879.0,46446.0,56064.0
"17 CAPITAL PARTNERS, LLC",0.0,0.0,0.0,0.0,0.0,480.0,533.0,848.0,709.0,347.0,305.0,0.0,0.0,0.0,0.0,915990.0,887276.0,576418.0,616395.0,752911.0
1776 WEALTH LLC,104.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776 Wealth LLC,0.0,0.0,361.0,324.0,301.0,372.0,487.0,499.0,862.0,852.0,814.0,741.0,1267604.0,1411428.0,1354773.0,1758038.0,2002245.0,1764734.0,1824551.0,2228644.0
"180 WEALTH ADVISORS, LLC",679.0,1097.0,1471.0,1307.0,1560.0,1721.0,2078.0,1763.0,1656.0,1530.0,1134.0,1678305.0,2204173.0,2052370.0,2204624.0,2934738.0,3472003.0,2540581.0,2767756.0,3456638.0
1832 Asset Management L.P.,55025.0,17972.0,32149.0,9430.0,29093.0,235000.0,219698.0,105391.0,106705.0,67770.0,53786.0,48925975.0,227237363.0,248756537.0,127249316.0,220530792.0,276174229.0,43387168.0,253690577.0,439390862.0
1834 INVESTMENT ADVISORS CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693976.0,533813.0,767931.0,826329.0,490757.0,592120.0,848173.0,827973.0,936124.0
"1858 WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280244.0,280244.0,235761.0,250992.0,320288.0
1900 WEALTH MANAGEMENT LLC,0.0,0.0,0.0,0.0,0.0,225.0,261.0,298.0,249.0,211.0,0.0,0.0,0.0,219077.0,0.0,254983.0,256907.0,0.0,256907.0,338098.0
1ST SOURCE BANK,591.0,782.0,1099.0,979.0,1061.0,1317.0,1512.0,1369.0,1140.0,863.0,708.0,615615.0,884626.0,909263.0,837684.0,1051507.0,1195986.0,1386283.0,1462159.0,1769274.0
"20/20 Capital Management, Inc.",0.0,0.0,206.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25 LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,1843.0,0.0,0.0,0.0,0.0,0.0,0.0
36 SOUTH CAPITAL ADVISORS LLP,0.0,0.0,0.0,294785.0,0.0,81830.0,92513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"360 Financial, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205613.0
"3Chopt Investment Partners, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43622.0,0.0,0.0,0.0,208144.0,0.0,453782.0,0.0,0.0
"49 WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214459.0,250574.0,234176.0,0.0,203972.0
"4WEALTH ADVISORS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453447.0
"55I, LLC",0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,549.0,1291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"626 Financial, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216387.0,857257.0,891307.0,855530.0,699426.0,696630.0,594882.0,570566.0,697180.0
"9258 Wealth Management, LLC",539.0,682.0,631.0,717.0,621.0,662.0,983.0,1115.0,959.0,911.0,710.0,640675.0,932773.0,1057990.0,1060539.0,5117811.0,2172411.0,1875748.0,1885789.0,0.0
"AA Financial Advisors, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1812501.0,1490923.0,1714793.0,2119696.0
AAFMAA Wealth Management & Trust LLC,0.0,0.0,0.0,5708.0,7617.0,7334.0,3916.0,5780.0,11934.0,4735.0,4019.0,3521589.0,5472374.0,5405087.0,5283636.0,6959000.0,1934780.0,1986355.0,2169425.0,2166458.0
ABEILLE ASSET MANAGEMENT SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3801.0,41164.0,31183.0,26635.0,23551832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ABLE Financial Group, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206565.0,256003.0,0.0,212793.0,249963.0
"ABLES, IANNONE, MOORE & ASSOCIATES, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679954.0,763190.0,646349.0,688107.0,840506.0
ABNER HERRMAN & BROCK LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18763.0,18143.0,21951.0,24449.0,20741.0,20960.0,25833.0
"ABSOLUTE CAPITAL MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1267771.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCOUNT MANAGEMENT LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217760.0,212316.0,0.0,255246.0,292145.0,241674.0,236759.0,289195.0
"ACCURATE INVESTMENT SOLUTIONS, INC.",30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACG Wealth,525.0,5262.0,6944.0,6132.0,6095.0,8012.0,8849.0,6128.0,4297.0,3636.0,3409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACIMA PRIVATE WEALTH, LLC",8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACORN CREEK CAPITAL LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237352.0,265340.0,208352.0,242245.0,308614.0
