FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",,,,,,,,,,,,,,,,,,inf,-34.21,9.42
 HARRIS ASSOCIATES L P,,,,,,,,,,,,,,,,,,inf,7.11,-100.0
 NEUBERGER BERMAN GROUP LLC,,,,,,,,,,,,,,,,inf,11.14,75.37,-51.83,60.84
" ONCE CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,,,,,,inf,-100.0,
&PARTNERS,,,,,,,,,,,,,,,inf,64.31,281.11,126.51,134.49,111.96
"1620 INVESTMENT ADVISORS, INC.",,,,,,,,,,,,,,,,,,inf,13.62,20.71
"17 CAPITAL PARTNERS, LLC",,,,,,inf,11.04,59.1,-16.39,-51.06,-12.1,-100.0,,,,inf,-3.13,-35.04,6.94,22.15
1776 WEALTH LLC,,159.62,-100.0,,,,,,,,,,,,,,,,,
1776 Wealth LLC,,,inf,-10.25,-7.1,23.59,30.91,2.46,72.75,-1.16,-4.46,-8.97,170966.67,11.35,-4.01,29.77,13.89,-11.86,3.39,22.15
"180 WEALTH ADVISORS, LLC",,61.56,34.09,-11.15,19.36,10.32,20.74,-15.16,-6.07,-7.61,-25.88,147898.68,31.33,-6.89,7.42,33.12,18.31,-26.83,8.94,24.89
1832 Asset Management L.P.,,-67.34,78.88,-70.67,208.52,707.75,-6.51,-52.03,1.25,-36.49,-20.63,90864.14,364.45,9.47,-48.85,73.31,25.23,-84.29,484.71,73.2
1834 INVESTMENT ADVISORS CO,,,,,,,,,,,,inf,-23.08,43.86,7.6,-40.61,20.65,43.24,-2.38,13.06
"1858 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,0.0,-15.87,6.46,27.61
1900 WEALTH MANAGEMENT LLC,,,,,,inf,16.0,14.18,-16.44,-15.26,-100.0,,,inf,-100.0,inf,0.75,-100.0,inf,31.6
1ST SOURCE BANK,,32.32,40.54,-10.92,8.38,24.13,14.81,-9.46,-16.73,-24.3,-17.96,86851.27,43.7,2.79,-7.87,25.53,13.74,15.91,5.47,21.0
"20/20 Capital Management, Inc.",,,inf,-100.0,,inf,-100.0,,,,,,,,,,,,,
25 LLC,,,,,,,,,,,,,inf,55.13,-100.0,,,,,
36 SOUTH CAPITAL ADVISORS LLP,,,,inf,-100.0,inf,13.06,-100.0,,,,,,,,,,,,
"360 Financial, Inc.",,,,,,,,,,,,,,,,,,,,inf
"3Chopt Investment Partners, LLC",,,,,,,,,,,,inf,-100.0,,,inf,-100.0,inf,-100.0,
"49 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,16.84,-6.54,-100.0,inf
"4WEALTH ADVISORS, INC.",,,,,,,,,,,,,,,,,,,,inf
"55I, LLC",,,,,,,inf,-100.0,,inf,135.15,-100.0,,,,,,,,
"626 Financial, LLC",,,,,,,,,,,,inf,296.17,3.97,-4.01,-18.25,-0.4,-14.61,-4.09,22.19
"9258 Wealth Management, LLC",,26.53,-7.48,13.63,-13.39,6.6,48.49,13.43,-13.99,-5.01,-22.06,90135.92,45.59,13.42,0.24,382.57,-57.55,-13.66,0.54,-100.0
"AA Financial Advisors, LLC",,,,,,,,,,,,,,,,,inf,-17.74,15.02,23.61
AAFMAA Wealth Management & Trust LLC,,,,inf,33.44,-3.72,-46.6,47.6,106.47,-60.32,-15.12,87523.51,55.4,-1.23,-2.25,31.71,-72.2,2.67,9.22,-0.14
ABEILLE ASSET MANAGEMENT SA,,,,,,,,inf,982.98,-24.25,-14.58,88324.37,-100.0,,,,,,,
"ABLE Financial Group, LLC",,,,,,,,,,,,,,,,inf,23.93,-100.0,inf,17.47
"ABLES, IANNONE, MOORE & ASSOCIATES, INC.",,,,,,,,,,,,,,,,inf,12.24,-15.31,6.46,22.15
ABNER HERRMAN & BROCK LLC,,,,,,,,,,,,,,inf,-3.3,20.99,11.38,-15.17,1.06,23.25
"ABSOLUTE CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,,inf,-100.0,,,,,
ACCOUNT MANAGEMENT LLC,,,,,,,,,,,,,inf,-2.5,-100.0,inf,14.46,-17.28,-2.03,22.15
"ACCURATE INVESTMENT SOLUTIONS, INC.",,-100.0,,,,,,,,,,,,,,,,,,
