ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0002058285-25-000002,111864148,SALESFORCE INC,COM,79466L302,,190234,569,SH,,SOLE,,0,0,569,salesforce inc,"Park Square Financial Group, LLC",31-DEC-2024,,2024-12-31
0001398344-25-001346,109397086,SALESFORCE INC,COM,79466L302,,651766,1949,SH,,SOLE,,0,0,1949,salesforce inc,"New Republic Capital, LLC",31-DEC-2024,,2024-12-31
0002010278-25-000002,109412324,SALESFORCE INC,COM,79466L302,,2469696,7387,SH,,SOLE,,0,0,7387,salesforce inc,"Portfolio Design Labs, LLC",31-DEC-2024,,2024-12-31
0001727917-25-000002,109412954,SALESFORCE INC COM,Stock,79466L302,,417667,1249,SH,,SOLE,0,0,0,1249,salesforce inc com,"Gradient Capital Advisors, LLC",31-DEC-2024,,2024-12-31
0000778963-25-000001,109425874,Salesforce.Com Inc (crm),COM,79466L302,,2422555,7246,SH,,SOLE,,7246,0,0,salesforce.com inc (crm),AUGUSTINE ASSET MANAGEMENT INC,31-DEC-2024,,2024-12-31
0001912338-25-000002,109408672,SALESFORCE INC COM,Stock,79466L302,,1032369,3088,SH,,SOLE,0,0,0,3087,salesforce inc com,"Quent Capital, LLC",31-DEC-2024,,2024-12-31
0001654847-25-000001,109383880,Salesforce Inc,COM,79466L302,,1331,3981,SH,,SOLE,,1331,0,0,salesforce inc,"Community Bank & Trust, Waco, Texas",31-DEC-2024,,2024-12-31
0002012421-25-000005,109291556,SALESFORCE INC,Common Stock,79466L302,,31563,94,SH,,SOLE,,0,0,94,salesforce inc,Collier Financial,31-DEC-2024,,2024-12-31
0001802224-25-000003,109350133,SALESFORCE INC,COM,79466L302,,525697,1572,SH,,SOLE,,0,0,1572,salesforce inc,"JSF Financial, LLC",31-DEC-2024,,2024-12-31
0000934745-25-000002,109340364,SALESFORCE INC,COMMON,79466L302,,272002,813,SH,,SOLE,Carolyn P. Taylor,813,0,0,salesforce inc,WEATHERLY ASSET MANAGEMENT L. P.,31-DEC-2024,,2024-12-31
0001009005-25-000001,109326759,"Salesforce, Inc.",COM,79466L302,,2408848,7205,SH,,SOLE,,3819,0,3386,"salesforce, inc.",SHAKER INVESTMENTS LLC/OH,31-DEC-2024,,2024-12-31
0001398344-25-001347,109400546,SALESFORCE INC,COM,79466L302,,237374,710,SH,,SOLE,,710,0,0,salesforce inc,Balentine LLC,31-DEC-2024,,2024-12-31
0002051471-25-000001,109440916,SALESFORCE INC,COM,79466L302,,953160,2946,SH,,SOLE,0,0,0,2946,salesforce inc,"Sovran Advisors, LLC",31-DEC-2024,,2024-12-31
0001907157-25-000003,109399475,SALESFORCE INC,COM,79466L302,,65,196,SH,,SOLE,,0,0,196,salesforce inc,Avion Wealth,31-DEC-2024,,2024-12-31
0001921196-25-000001,109296793,SALESFORCE COM INC,COM,79466L302,,82,245,SH,,SOLE,,0,0,245,salesforce com inc,"Strengthening Families & Communities, LLC",31-DEC-2024,,2024-12-31
0001921196-25-000001,109296794,SALESFORCE INC,COMMON STK,79466L302,,2185,6536,SH,,SOLE,,0,0,6536,salesforce inc,"Strengthening Families & Communities, LLC",31-DEC-2024,,2024-12-31
0001962450-25-000003,109337249,SALESFORCE INC,COM,79466L302,,601794,1800,SH,,SOLE,,0,0,1800,salesforce inc,"Compound Global Advisors, LLC",31-DEC-2024,,2024-12-31
0002012421-25-000004,109419561,SALESFORCE INCORPORATED,COM,79466L302,,737170,2205,SH,,SOLE,,0,0,0,salesforce incorporated,Peterson Wealth Services,31-DEC-2024,,2024-12-31
0002011145-25-000002,109391264,SALESFORCE INC,COM,79466L302,,11368,34,SH,,SOLE,Atlantic Edge Private Wealth Management,34,0,0,salesforce inc,"Atlantic Edge Private Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001754960-25-000082,109284770,SALESFORCE INC,COM,79466L302,,261501,782,SH,,SOLE,,0,0,782,salesforce inc,"Latitude Advisors, LLC",31-DEC-2024,,2024-12-31
0001754960-25-000081,109292600,SALESFORCE INC COM,Stock,79466L302,,11056627,33071,SH,,SOLE,0,33071,0,0,salesforce inc com,HARTLINE INVESTMENT CORP/,31-DEC-2024,,2024-12-31
0001999371-25-000834,109329520,SALESFORCE INC,COM,79466L302,,123033,368,SH,,SOLE,,0,0,368,salesforce inc,"Stonebridge Financial Group, LLC",31-DEC-2024,,2024-12-31
0001376474-25-000119,109318215,SALESFORCE INC COM,COM,79466L302,,62854,188,SH,,SOLE,,0,0,188,salesforce inc com,Core Alternative Capital,31-DEC-2024,,2024-12-31
