REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,CastleKnight Management LP,802392
31-DEC-2024,FLOSSBACH VON STORCH SE,231504468
31-DEC-2024,FORSTA AP-FONDEN,90518845
31-DEC-2024,FORBES J M & CO LLP,12276263
31-DEC-2024,"FOLGER NOLAN FLEMING DOUGLAS CAPITAL MANAGEMENT, INC",2596072
31-DEC-2024,"FOCUS Wealth Advisors, LLC",2703727
31-DEC-2024,"FLYNN ZITO CAPITAL MANAGEMENT, LLC",1155442
31-DEC-2024,FLPUTNAM INVESTMENT MANAGEMENT CO,26740078
31-DEC-2024,FLOYD FINANCIAL GROUP LLC,598512
31-DEC-2024,FLOW TRADERS U.S. LLC,1237
31-DEC-2024,"FLORIDA FINANCIAL ADVISORS, LLC",659205
31-DEC-2024,GFI Investment Counsel Ltd.,7792
31-DEC-2024,FLC Capital Advisors,1136722
31-DEC-2024,"FLAGSHIP WEALTH ADVISORS, LLC",6018
31-DEC-2024,"FLAGSHIP HARBOR ADVISORS, LLC",3464148
31-DEC-2024,FJARDE AP-FONDEN /FOURTH SWEDISH NATIONAL PENSION FUND,52374
31-DEC-2024,FIRST UNITED BANK & TRUST,1505822
31-DEC-2024,FIRST TRUST ADVISORS LP,607160367
31-DEC-2024,FIRST NATIONAL BANK SIOUX FALLS,401196
31-DEC-2024,FIRST MERCHANTS CORP,1413213
31-DEC-2024,FORT WASHINGTON INVESTMENT ADVISORS INC /OH/,254601656
31-DEC-2024,FORTE ASSET MANAGEMENT LLC,376571
31-DEC-2024,FORTE CAPITAL LLC /ADV,274867
31-DEC-2024,"FOSTER DYKEMA CABOT & PARTNERS, LLC",133223
31-DEC-2024,Family CFO Inc,3678
31-DEC-2024,"Fairvoy Private Wealth, LLC",983963
31-DEC-2024,"Fairscale Capital, LLC",1443311
31-DEC-2024,"Fairfield Financial Advisors, LTD",16811
31-DEC-2024,"Facet Wealth, Inc.",500778
31-DEC-2024,"FWL INVESTMENT MANAGEMENT, LLC",137075
31-DEC-2024,FULTON BREAKEFIELD BROENNIMAN LLC,19642469
31-DEC-2024,FUKOKU MUTUAL LIFE INSURANCE Co,1309236
31-DEC-2024,"FSM Wealth Advisors, LLC",390809
31-DEC-2024,"FSC Wealth Advisors, LLC",59511
31-DEC-2024,"FSB PREMIER WEALTH MANAGEMENT, INC.",394549
31-DEC-2024,FSA Wealth Management LLC,31201
31-DEC-2024,FRG Family Wealth Advisors LLC,5685950
31-DEC-2024,"FRED ALGER MANAGEMENT, LLC",1764007
31-DEC-2024,"FPC INVESTMENT ADVISORY, INC.",69024
31-DEC-2024,"FOURPATH CAPITAL MANAGEMENT, LLC",396515
31-DEC-2024,FOUNDERS FINANCIAL SECURITIES LLC,1420640
31-DEC-2024,FIRST MANHATTAN CO. LLC.,527791798
31-DEC-2024,FIRST INTERSTATE BANK,4744477
31-DEC-2024,FIRST HAWAIIAN BANK,90938
31-DEC-2024,F/M Investments LLC,7985806
31-DEC-2024,"Exchange Capital Management, Inc.",13562765
31-DEC-2024,Exchange Bank,211964
31-DEC-2024,Exane Asset Management,417149
31-DEC-2024,"Evolution Advisers, Inc.",16
31-DEC-2024,"Evernest Financial Advisors, LLC",379279
31-DEC-2024,"Everhart Financial Group, Inc.",1922813
31-DEC-2024,Evergreen Private Wealth LLC,153457
31-DEC-2024,Everest Management Corp.,745556
31-DEC-2024,"Evercore Wealth Management, LLC",9117179
31-DEC-2024,"EverSource Wealth Advisors, LLC",2483426
31-DEC-2024,"Evanson Asset Management, LLC",443652
31-DEC-2024,"Ethos Financial Group, LLC",236649
31-DEC-2024,Ethic Inc.,33267230
31-DEC-2024,"Etesian Wealth Advisors, Inc.",1690038
31-DEC-2024,Estabrook Capital Management,110663
31-DEC-2024,Essex Savings Bank,701066
31-DEC-2024,Essex LLC,615502
31-DEC-2024,"Executive Wealth Management, LLC",3395121
31-DEC-2024,FACTORY MUTUAL INSURANCE CO,20093233
31-DEC-2024,FIRST FOUNDATION ADVISORS,485447
31-DEC-2024,"FAIRFIELD, BUSH & CO.",218899
31-DEC-2024,FIRST FINANCIAL CORP /IN/,525567
31-DEC-2024,FIRST COMMUNITY TRUST NA,247404
31-DEC-2024,FIRST CITIZENS BANK & TRUST CO,1425583
31-DEC-2024,"FIRST AMERICAN TRUST, FSB",356040
31-DEC-2024,FINANCIAL MANAGEMENT NETWORK INC,240799
31-DEC-2024,FINANCIAL COUNSELORS INC,57425245
31-DEC-2024,FIGURE 8 INVESTMENT STRATEGIES LLC,401530
31-DEC-2024,"FIDUCIARY FINANCIAL GROUP, LLC",1626121
31-DEC-2024,FFT WEALTH MANAGEMENT LLC,674795
31-DEC-2024,"FF Advisors,LLC",689842
31-DEC-2024,FERNBRIDGE CAPITAL MANAGEMENT LP,177555642
31-DEC-2024,"FERGUSON WELLMAN CAPITAL MANAGEMENT, INC",645926
31-DEC-2024,"FDx Advisors, Inc.",369
31-DEC-2024,"FAS Wealth Partners, Inc.",874934
31-DEC-2024,FARMERS & MERCHANTS TRUST Co OF LONG BEACH,1114990
31-DEC-2024,FARMERS & MERCHANTS INVESTMENTS INC,354390
31-DEC-2024,"FAIRVIEW CAPITAL INVESTMENT MANAGEMENT, LLC",55046765
31-DEC-2024,"Family Firm, Inc.",229508
31-DEC-2024,Family Management Corp,7221528
31-DEC-2024,Farrell Financial LLC,482822
31-DEC-2024,"Frank, Rimerman Advisors LLC",6043683
31-DEC-2024,Fragasso Financial Advisors Inc,6974529
31-DEC-2024,"Foxhaven Asset Management, LP",80723979
31-DEC-2024,"Fourth Dimension Wealth, LLC",162152
31-DEC-2024,"FourThought Financial Partners, LLC",5695841
31-DEC-2024,"Fountainhead AM, LLC",860537
31-DEC-2024,"Foundations Investment Advisors, LLC",12194122
31-DEC-2024,"Foster Victor Wealth Advisors, LLC",14924571
31-DEC-2024,"Foster Group, Inc.",353737
31-DEC-2024,"Forza Wealth Management, LLC",361745
31-DEC-2024,"Forvis Mazars Wealth Advisors, LLC",902781
31-DEC-2024,"Forum Financial Management, LP",7049576
31-DEC-2024,"Fortitude Family Office, LLC",870261
31-DEC-2024,Fortitude Advisory Group L.L.C.,368097
31-DEC-2024,Fortis Capital Management LLC,4663135
31-DEC-2024,Fort Sheridan Advisors LLC,544624
31-DEC-2024,Fort Point Capital Partners LLC,708445
31-DEC-2024,"Formidable Asset Management, LLC",1079506
31-DEC-2024,"Francis Financial, Inc.",206704
31-DEC-2024,"Frazier Financial Advisors, LLC",141068
31-DEC-2024,Focus Partners Wealth,74123523
31-DEC-2024,"Freedom Investment Management, Inc.",866711
31-DEC-2024,"GENESIS PRIVATE WEALTH, LLC",355067
31-DEC-2024,GDS Wealth Management,20315917
31-DEC-2024,"GC Wealth Management RIA, LLC",71233018
31-DEC-2024,GATEWAY INVESTMENT ADVISERS LLC,60125907
31-DEC-2024,GARDNER LEWIS ASSET MANAGEMENT L P,2475714
31-DEC-2024,GARDA CAPITAL PARTNERS LP,24472956
31-DEC-2024,"GAMCO INVESTORS, INC. ET AL",797377
31-DEC-2024,GAM Holding AG,1605453
31-DEC-2024,GABLES CAPITAL MANAGEMENT INC.,38782
31-DEC-2024,GABELLI FUNDS LLC,670332
31-DEC-2024,Future Fund LLC,1075205
31-DEC-2024,"Fulton Bank, N.A.",3248350
31-DEC-2024,"Full Sail Capital, LLC",266795
31-DEC-2024,Fulcrum Capital LLC,428945
31-DEC-2024,Front Row Advisors LLC,267464
31-DEC-2024,"Frisch Financial Group, Inc.",340
31-DEC-2024,Friedenthal Financial,55165
31-DEC-2024,"Focused Wealth Management, Inc",666810
31-DEC-2024,"Focus Financial Network, Inc.",1082445
31-DEC-2024,"Farther Finance Advisors, LLC",6109729
31-DEC-2024,"Financial Management Professionals, Inc.",135877
31-DEC-2024,"Financial Gravity Companies, Inc.",2563642
31-DEC-2024,Financial Engines Advisors L.L.C.,1757238
31-DEC-2024,"Financial Council, LLC",205947
31-DEC-2024,"Financial Connections Group, Inc.",87
31-DEC-2024,Financial Advocates Investment Management,3064794
31-DEC-2024,"Financial Advisors Network, Inc.",209291
31-DEC-2024,Fifth Third Wealth Advisors LLC,4921794
31-DEC-2024,Fiera Capital Corp,193911
31-DEC-2024,Fielder Capital Group LLC,430951
31-DEC-2024,Field & Main Bank,2611008
31-DEC-2024,Fiduciary Trust Co,11859019
31-DEC-2024,"Fiduciary Group, LLC",2051783
31-DEC-2024,Fiduciary Alliance LLC,385482
31-DEC-2024,"Fidelis Capital Partners, LLC",3989123
