FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2642.0,3206.0,4253.0
 NEUBERGER BERMAN GROUP LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3895.0,10727.0,18362.0,11139.0,14355.0
&PARTNERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624965.0,1325035.0,4910350.0
"1620 INVESTMENT ADVISORS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96103.0,118046.0,163961.0
"180 WEALTH ADVISORS, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373965.0,468498.0,617352.0
1832 Asset Management L.P.,63139.0,167624.0,129207.0,168379.0,56779.0,454440.0,206248.0,175900.0,46081.0,9308.0,11141.0,12433087.0,55186178.0,136820668.0,120909875.0,169134610.0,124935683.0,43110571.0,185226460.0,204634105.0
"20/20 Capital Management, Inc.",0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25 LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1932.0,2112.0,0.0,0.0,0.0,0.0,0.0,0.0
4J Wealth Management LLC,0.0,0.0,0.0,225.0,279.0,371.0,344.0,358.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9258 Wealth Management, LLC",331.0,499.0,487.0,614.0,595.0,747.0,702.0,714.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AA Financial Advisors, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474287.0,408717.0,485087.0,652760.0
"ACCURATE INVESTMENT SOLUTIONS, INC.",13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACG Wealth,0.0,0.0,0.0,517.0,531.0,725.0,683.0,559.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACIMA PRIVATE WEALTH, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161462.0,217573.0,183792.0,262367.0,259909.0,222456.0,260535.0,345679.0
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,359.0,814.0,606.0,724.0,761.0,1020.0,1012.0,1041.0,501.0,357.0,935.0,1178474.0,2464116.0,3717795.0,3504201.0,2697355.0,2407241.0,1943587.0,2175721.0,2804985.0
"ADAGE CAPITAL PARTNERS GP, L.L.C.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700950.0,20257535.0,0.0,27114150.0
"ADE, LLC",0.0,0.0,0.0,9.0,9.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ADIRONDACK RETIREMENT SPECIALISTS, INC.",0.0,0.0,0.0,10176.0,10105.0,11505.0,10589.0,10879.0,5502.0,2573.0,2349.0,6003234.0,6628050.0,4438020.0,3614662.0,0.0,0.0,0.0,0.0,0.0
"ADVANCED RESEARCH INVESTMENT SOLUTIONS, LLC",0.0,0.0,0.0,0.0,0.0,0.0,444696.0,683.0,611.0,282.0,244.0,0.0,237782.0,320416.0,270667.0,386384.0,0.0,0.0,0.0,0.0
ADVENT CAPITAL MANAGEMENT /DE/,0.0,0.0,0.0,19358.0,9212.0,4374.0,2785.0,5310.0,51069.0,35885.0,12262.0,6383089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ADVISOR GROUP HOLDINGS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1499559.0,2047781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
