FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",,,,,,,,,,,,,,,,,,inf,21.35,32.66
 NEUBERGER BERMAN GROUP LLC,,,,,,,,,,,,,,,,inf,175.4,71.18,-39.34,28.87
&PARTNERS,,,,,,,,,,,,,,,,,,inf,112.02,270.58
"1620 INVESTMENT ADVISORS, INC.",,,,,,,,,,,,,,,,,,inf,22.83,38.9
"180 WEALTH ADVISORS, LLC",,,,,,,,,,,,,,,,,,inf,25.28,31.77
1832 Asset Management L.P.,,165.48,-22.92,30.32,-66.28,700.37,-54.61,-14.71,-73.8,-79.8,19.69,111497.59,343.87,147.93,-11.63,39.88,-26.13,-65.49,329.65,10.48
"20/20 Capital Management, Inc.",,,,,inf,-100.0,,,,,,,,,,,,,,
25 LLC,,,,,,,,,,,,,inf,9.32,-100.0,,,,,
4J Wealth Management LLC,,,,inf,24.0,32.97,-7.28,4.07,-39.11,-100.0,,,,,,,,,,
"9258 Wealth Management, LLC",,50.76,-2.4,26.08,-3.09,25.55,-6.02,1.71,-48.88,-100.0,,,,,,,,,,
"AA Financial Advisors, LLC",,,,,,,,,,,,,,,,,inf,-13.82,18.69,34.57
"ACCURATE INVESTMENT SOLUTIONS, INC.",,-100.0,,,,,,,,,,,,,,,,,,
ACG Wealth,,,,inf,2.71,36.53,-5.79,-18.16,-100.0,inf,-100.0,,,,,,,,,
"ACIMA PRIVATE WEALTH, LLC",,,,,,,,,,,,,inf,34.75,-15.53,42.75,-0.94,-14.41,17.12,32.68
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,,126.74,-25.55,19.47,5.11,34.03,-0.78,2.87,-51.87,-28.74,161.9,125940.0,109.09,50.88,-5.75,-23.03,-10.76,-19.26,11.94,28.92
