ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0002058285-25-000002,111864168,SHOPIFY INC,CL A,82509L107,,22223,209,SH,,SOLE,,0,0,209,shopify inc,"Park Square Financial Group, LLC",31-DEC-2024,,2024-12-31
0001398344-25-001240,109251781,SHOPIFY INC,CL A,82509L107,,880625,8282,SH,,SOLE,,8282,0,0,shopify inc,BENEDICT FINANCIAL ADVISORS INC,31-DEC-2024,,2024-12-31
0001085146-25-000532,109153183,SHOPIFY INC,CL A,82509L107,BBG004DW5NC7,1598672,15035,SH,,SOLE,,0,0,15035,shopify inc,"WOODWARD DIVERSIFIED CAPITAL, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000545,109209575,SHOPIFY INC,CL A,82509L107,BBG004DW5NC7,1191115,11202,SH,,SOLE,,0,0,11202,shopify inc,MWA Asset Management,31-DEC-2024,,2024-12-31
0002011195-25-000002,109210813,SHOPIFY INC,CL A,82509L107,,12561614,118138,SH,,SOLE,0,0,0,118138,shopify inc,"Apollon Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001697934-25-000001,109265761,SHOPIFY INC CL A,COM,82509l107,,4735407,44535,SH,,SOLE,,29685,0,14850,shopify inc cl a,"Moloney Securities Asset Management, LLC",31-DEC-2024,,2024-12-31
0002018007-25-000001,109126226,SHOPIFY INC,CL A,82509L107,,4254,40,SH,,SOLE,,20,0,20,shopify inc,"American Capital Advisory, LLC",31-DEC-2024,,2024-12-31
0000900974-25-000002,109218425,SHOPIFY INC,CL A,82509L107,,32962,310,SH,,SOLE,NONE,0,0,310,shopify inc,"Wilmington Savings Fund Society, FSB",31-DEC-2024,,2024-12-31
0001764968-25-000001,109126799,SHOPIFY INC,CL A,82509L107,,1053518,9908,SH,,SOLE,0,0,0,9908,shopify inc,Advisory Resource Group,31-DEC-2024,,2024-12-31
0001592828-25-000001,109176402,SHOPIFY INC,CL A,82509L107,,3318878,31213,SH,,SOLE,,31213,0,0,shopify inc,"Empowered Funds, LLC",31-DEC-2024,,2024-12-31
0001976151-25-000015,109207583,SHOPIFY CL A SUB VTG ORD,CL A,82509L107,BBG008HBD923,2549581,23978,SH,,SOLE,,23978,0,0,shopify cl a sub vtg ord,"Entropy Technologies, LP",31-DEC-2024,,2024-12-31
0001277279-25-000002,109123044,SHOPIFY INC CL A,ADR,82509L107,,4253,40,SH,,SOLE,,40,0,0,shopify inc cl a,"THOMPSON INVESTMENT MANAGEMENT, INC.",31-DEC-2024,,2024-12-31
0001889147-25-000001,109148443,SHOPIFY INC,CL A,82509L107,,487204,4582,SH,,SOLE,,4582,0,0,shopify inc,Essex LLC,31-DEC-2024,,2024-12-31
0001938514-25-000001,109398639,SHOPIFY INC,CL A,82509L107,,79748,750,SH,,SOLE,,0,0,750,shopify inc,"DecisionPoint Financial, LLC",31-DEC-2024,,2024-12-31
0001803081-25-000001,109201728,SHOPIFY INC,CL A,82509L107,,1031295,9699,SH,,SOLE,,0,0,0,shopify inc,"Moser Wealth Advisors, LLC",31-DEC-2024,,2024-12-31
0001079112-25-000001,109230204,SHOPIFY INC,CL A,82509L107,,526228,4949,SH,,SOLE,,949,0,4000,shopify inc,HOWLAND CAPITAL MANAGEMENT LLC,31-DEC-2024,,2024-12-31
0001842054-25-000001,109263860,SHOPIFY INC,CL A,82509L107,,564825,5312,SH,,SOLE,,4064,0,1248,shopify inc,"Rede Wealth, LLC",31-DEC-2024,,2024-12-31
0001649451-25-000002,109157328,SHOPIFY INC,CL A,82509L107,,4737852,44558,SH,,SOLE,,0,0,0,shopify inc,"KESTRA PRIVATE WEALTH SERVICES, LLC",31-DEC-2024,,2024-12-31
0002039088-25-000001,109242500,SHOPIFY INC,Common Stock,82509L107,,73899,695,SH,,SOLE,,0,0,695,shopify inc,Compass Financial Services Inc,31-DEC-2024,,2024-12-31
0000932974-25-000001,109185555,SHOPIFY INC,COMMON STOCK,82509L107,,182009,1695,SH,,SOLE,,1600,0,95,shopify inc,LORING WOLCOTT & COOLIDGE FIDUCIARY ADVISORS LLP/MA,31-DEC-2024,,2024-12-31
