REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,"Bleakley Financial Group, LLC",1915099
31-DEC-2024,Orion Capital Management LLC,90381
31-DEC-2024,"Occidental Asset Management, LLC",315162
31-DEC-2024,"Octavia Wealth Advisors, LLC",563124
31-DEC-2024,"Oder Investment Management, LLC",1478838
31-DEC-2024,"Olistico Wealth, LLC",12760
31-DEC-2024,Olympiad Research LP,320904
31-DEC-2024,One Madison Group LLC,13291250
31-DEC-2024,"One River Asset Management, LLC",1140932
31-DEC-2024,"One Wealth Management Investment & Advisory Services, LLC",556638
31-DEC-2024,OneAscent Financial Services LLC,331
31-DEC-2024,OneDigital Investment Advisors LLC,1896608
31-DEC-2024,Onex Canada Asset Management Inc.,10328365
31-DEC-2024,Orion Investment Co,4031396
31-DEC-2024,Obermeyer Wealth Partners,564293
31-DEC-2024,"Orion Portfolio Solutions, LLC",9875585
31-DEC-2024,Oxinas Partners Wealth Management LLC,333132
31-DEC-2024,"PACES FERRY WEALTH ADVISORS, LLC",311547
31-DEC-2024,PAR CAPITAL MANAGEMENT INC,318990
31-DEC-2024,PARK AVENUE SECURITIES LLC,3751
31-DEC-2024,PARK CIRCLE Co,69115
31-DEC-2024,"PARR MCKNIGHT WEALTH MANAGEMENT GROUP, LLC",286559
31-DEC-2024,PARSONS CAPITAL MANAGEMENT INC/RI,4670546
31-DEC-2024,PBMares Wealth Management LLC,13234
31-DEC-2024,PCJ Investment Counsel Ltd.,6986743
31-DEC-2024,"PDS Planning, Inc",1165270
31-DEC-2024,"Objectivity Squared, LLC",518239
31-DEC-2024,Oak Harvest Investment Services,318990
31-DEC-2024,PERKINS CAPITAL MANAGEMENT INC,212660
31-DEC-2024,"OAK HARBOR WEALTH PARTNERS, LLC",262422
31-DEC-2024,"Newman Dignan & Sheerar, Inc.",220103
31-DEC-2024,"Nicholas Investment Partners, LP",3562472
31-DEC-2024,"Nikko Asset Management Americas, Inc.",534336215
31-DEC-2024,"Nilsine Partners, LLC",1462038
31-DEC-2024,North Star Investment Management Corp.,58482
31-DEC-2024,"NorthCrest Asset Manangement, LLC",7443877
31-DEC-2024,"NorthRock Partners, LLC",637874
31-DEC-2024,Northwest & Ethical Investments L.P.,17423546
31-DEC-2024,"O'Dell Group, LLC",847876
31-DEC-2024,"O'Neil Global Advisors, Inc.",2018
31-DEC-2024,"O'SHAUGHNESSY ASSET MANAGEMENT, LLC",19221131
31-DEC-2024,"OARSMAN CAPITAL, INC.",48699
31-DEC-2024,"OXFORD FINANCIAL GROUP, LTD. LLC",407882
31-DEC-2024,OBERWEIS ASSET MANAGEMENT INC/,1222795
31-DEC-2024,ODDO BHF ASSET MANAGEMENT SAS,11404374
31-DEC-2024,"OGBORNE CAPITAL MANAGEMENT, LLC",27114150
31-DEC-2024,OLD POINT TRUST & FINANCIAL SERVICES N A,53165
31-DEC-2024,OMERS ADMINISTRATION Corp,6988212
31-DEC-2024,"ONE WEALTH CAPITAL MANAGEMENT, LLC",1280851
31-DEC-2024,OPPENHEIMER & CO INC,2880905
31-DEC-2024,OPTIMUM INVESTMENT ADVISORS,483483
31-DEC-2024,ORG Partners LLC,1355029
31-DEC-2024,"ORG Wealth Partners, LLC",681555
31-DEC-2024,OVERSEA-CHINESE BANKING Corp Ltd,1367827
31-DEC-2024,"PDT Partners, LLC",4338264
31-DEC-2024,PETRA FINANCIAL ADVISORS INC,557914
31-DEC-2024,Candriam S.C.A.,4847272
31-DEC-2024,"Physician Wealth Advisors, Inc.",131105
31-DEC-2024,"Park Square Financial Group, LLC",22223
31-DEC-2024,Parkside Financial Bank & Trust,17120
31-DEC-2024,Parkwood LLC,10501
31-DEC-2024,"Parkworth Wealth Management, Inc.",762173
31-DEC-2024,"Parvin Asset Management, LLC",2658
31-DEC-2024,"Pathstone Holdings, LLC",2954094
31-DEC-2024,"Pembroke Management, LTD",549081
31-DEC-2024,"Perennial Investment Advisors, LLC",1245656
31-DEC-2024,"Perigon Wealth Management, LLC",805956
31-DEC-2024,Periscope Capital Inc. ,1593322
31-DEC-2024,Perpetual Ltd,1126673
31-DEC-2024,Pictet Asset Management Holding SA,230852087
31-DEC-2024,"Parallel Advisors, LLC",2686640
31-DEC-2024,Pilgrim Partners Asia Pte Ltd,59545
31-DEC-2024,Pine Valley Investments Ltd Liability Co,397568
31-DEC-2024,Pingora Partners LLC,26583
31-DEC-2024,"Pinnacle Wealth Planning Services, Inc.",482738
31-DEC-2024,"Pitti Group Wealth Management, LLC",254873
31-DEC-2024,"Plancorp, LLC",605230
31-DEC-2024,"Plante Moran Financial Advisors, LLC",128234
31-DEC-2024,Platform Technology Partners,482206
31-DEC-2024,Plato Investment Management Ltd,5580508
31-DEC-2024,"Portside Wealth Group, LLC",5982290
31-DEC-2024,Post Resch Tallon Group Inc.,230114
31-DEC-2024,Park Place Capital Corp,213511
31-DEC-2024,"Parallax Volatility Advisers, L.P.",35798121
31-DEC-2024,PFG Advisors,425214
31-DEC-2024,PRAKASH INVESTMENT ADVISORS LLC,1053730
31-DEC-2024,"PFG Investments, LLC",1200436
31-DEC-2024,"PFG Private Wealth Management, LLC",27965
31-DEC-2024,"PFS Partners, LLC",162366
31-DEC-2024,PIER 88 INVESTMENT PARTNERS LLC,6858646
31-DEC-2024,PIN OAK INVESTMENT ADVISORS INC,95
31-DEC-2024,"PINEBRIDGE INVESTMENTS, L.P.",603699
31-DEC-2024,PINNACLE ASSOCIATES LTD,470085
31-DEC-2024,PITTENGER & ANDERSON INC,5523950
31-DEC-2024,POLEN CAPITAL MANAGEMENT LLC,1816061116
31-DEC-2024,"POM Investment Strategies, LLC",146735
31-DEC-2024,POTOMAC FUND MANAGEMENT INC /ADV,284858
31-DEC-2024,PRICE T ROWE ASSOCIATES INC /MD/,4034951
31-DEC-2024,Pallas Capital Advisors LLC,1648221
31-DEC-2024,"PRINCIPAL SECURITIES, INC.",1424716
31-DEC-2024,PRIVATE MANAGEMENT GROUP INC,5096947
31-DEC-2024,"PSI Advisors, LLC",411392
31-DEC-2024,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,70867079
31-DEC-2024,PUBLIC INVESTMENT FUND,132912500
31-DEC-2024,"PUREfi Wealth, LLC",603316
31-DEC-2024,"Pacer Advisors, Inc.",1122845
31-DEC-2024,Pachira Investments Inc.,576553
31-DEC-2024,"Pacific Capital Wealth Advisors, Inc.",145672
31-DEC-2024,Pacific Center for Financial Services,1914
31-DEC-2024,"Pacific Sage Partners, LLC",218295
31-DEC-2024,Newlands Management Operations LLC,672542567
31-DEC-2024,"Newbridge Financial Services Group, Inc.",670092
31-DEC-2024,NewSquare Capital LLC,2765
31-DEC-2024,"Marcum Wealth, LLC",1233215
31-DEC-2024,MUFG Securities EMEA plc,2658
31-DEC-2024,MWA Asset Management,1191115
31-DEC-2024,Magnetar Financial LLC,23182675
31-DEC-2024,Magnus Financial Group LLC,242539
