FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0,689.0,926.0
 NEUBERGER BERMAN GROUP LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2587.0,19715.0,3512.0,0.0,0.0
" ONCE CAPITAL MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5538690.0,7856424.0,11874129.0
&PARTNERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208444.0,1400488.0,4290194.0
12 West Capital Management LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8622.0,19749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1620 INVESTMENT ADVISORS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,270.0,230.0,0.0
1623 Capital LLC,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"180 WEALTH ADVISORS, LLC",0.0,0.0,0.0,0.0,501.0,662.0,906.0,1010.0,1182.0,1141.0,1382.0,1425179.0,1527471.0,1775210.0,1709038.0,2102825.0,2150977.0,2528349.0,3158018.0,4275536.0
1832 Asset Management L.P.,0.0,0.0,0.0,0.0,0.0,0.0,550.0,180699.0,0.0,57334.0,201624.0,245955790.0,200746719.0,143758062.0,169162221.0,334459300.0,0.0,35987976.0,0.0,160067582.0
"1858 WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279173.0
"1888 Investments, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20570.0,16942.0,14309.0,6880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25 LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0
"360 Financial, Inc.",0.0,0.0,0.0,0.0,0.0,209.0,226.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3G Capital Partners LP,0.0,0.0,10040.0,11256.0,9171.0,21762.0,24194.0,27100.0,12602.0,0.0,0.0,3588500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40 North Management LLC,0.0,0.0,10040.0,11256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCOUNT MANAGEMENT LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1831.0,863.0,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACG Wealth,0.0,0.0,0.0,212.0,225.0,275.0,354.0,315.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,0.0,0.0,0.0,1727.0,1433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACT CAPITAL MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ADAGE CAPITAL PARTNERS GP, L.L.C.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8612400.0,0.0,0.0,0.0,11940000.0,0.0,11482650.0,14931800.0,16599075.0
ADVENT CAPITAL MANAGEMENT /DE/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2815680.0,5194180.0,0.0,12225.0,0.0,1722900.0,0.0
"ADVISOR GROUP HOLDINGS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259233.0,1480721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADVISORY RESEARCH INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801061.0,0.0,0.0,0.0,0.0,0.0,0.0
"ADVISORY SERVICES NETWORK, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695473.0,0.0,0.0,0.0,0.0,0.0,0.0
AE Wealth Management LLC,0.0,0.0,0.0,0.0,0.0,210.0,1730.0,1337.0,409.0,757.0,1547.0,1154268.0,1354090.0,2308099.0,2259473.0,4652966.0,0.0,0.0,0.0,0.0
AEGON ASSET MANAGEMENT UK PLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEGON ASSET MANAGEMENT UK Plc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7394.0,4488.0,5492.0,9270.0,4980.0,5682.0,0.0,10797.0,10504.0,0.0,0.0,0.0
"AFT, FORSYTH & COMPANY, INC.",0.0,0.0,0.0,0.0,0.0,875.0,1211.0,1357.0,459.0,279.0,341.0,287798.0,414269.0,570703.0,513766.0,669237.0,645269.0,0.0,0.0,0.0
AFTON CAPITAL MANAGEMENT LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGF INVESTMENTS INC.,0.0,0.0,0.0,0.0,0.0,479.0,600.0,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGF MANAGEMENT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599279.0,0.0,0.0,0.0,382279.0,0.0,366094.0,0.0,0.0
AI-Squared Management Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1594062.0,0.0,0.0
