FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",,,,,,,,,,,,,,,,,,inf,-15.04,34.4
 NEUBERGER BERMAN GROUP LLC,,,,,,,,,,,,,,,,inf,662.08,-82.19,-100.0,
" ONCE CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,,,,,,inf,41.85,51.14
&PARTNERS,,,,,,,,,,,,,,,,,,inf,571.88,206.34
12 West Capital Management LP,,,,,,,,,,inf,129.05,-100.0,,,,,,,,
"1620 INVESTMENT ADVISORS, INC.",,,,,,,,,,,,,,,,,inf,-16.41,-14.81,-100.0
1623 Capital LLC,,,,,inf,-100.0,,,,,,,,,,,,,,
"180 WEALTH ADVISORS, LLC",,,,,inf,32.14,36.86,11.48,17.03,-3.47,21.12,103024.38,7.18,16.22,-3.73,23.04,2.29,17.54,24.9,35.39
1832 Asset Management L.P.,,,,,,,inf,32754.36,-100.0,inf,251.67,121887.36,-18.38,-28.39,17.67,97.72,-100.0,inf,-100.0,inf
"1858 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,,,,,inf
"1888 Investments, LLC",,,,,,,,,,inf,-17.64,-15.54,-51.92,-100.0,,,,,,
25 LLC,,,,,,,,,,,,,,inf,-100.0,,,,,
"360 Financial, Inc.",,,,,,inf,8.13,9.29,-100.0,,,,,,,,,,,
3G Capital Partners LP,,,inf,12.11,-18.52,137.29,11.18,12.01,-53.5,-100.0,,inf,-100.0,,,,,,,
40 North Management LLC,,,inf,12.11,-100.0,,,,,,,,,,,,,,,
ACCOUNT MANAGEMENT LLC,,,,,,,,,inf,-52.87,22.13,-100.0,,,,,,,,
ACG Wealth,,,,inf,6.13,22.22,28.73,-11.02,-100.0,inf,-100.0,,,,,,,,,
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,,,,inf,-17.02,-100.0,,,,,,,,,,,,,,
"ACT CAPITAL MANAGEMENT, LLC",,,,,,,,,,,inf,-100.0,,,,,,,,
"ADAGE CAPITAL PARTNERS GP, L.L.C.",,,,,,,,,,,,inf,-100.0,,,inf,-100.0,inf,30.04,11.17
ADVENT CAPITAL MANAGEMENT /DE/,,,,,,,,,,,,,,inf,84.47,-100.0,inf,-100.0,inf,-100.0
"ADVISOR GROUP HOLDINGS, INC.",,,,,,,,,,,,inf,471.19,-100.0,,,,,,
ADVISORY RESEARCH INC,,,,,,,,,,,,,,inf,-100.0,,,,,
"ADVISORY SERVICES NETWORK, LLC",,,,,,,,,,,,,,inf,-100.0,,,,,
AE Wealth Management LLC,,,,,,inf,723.81,-22.72,-69.41,85.09,104.36,74513.32,17.31,70.45,-2.11,105.93,-100.0,,,
AEGON ASSET MANAGEMENT UK PLC,,,,,,,,inf,-100.0,,,,,,,,,,,
AEGON ASSET MANAGEMENT UK Plc,,,,,,,,,inf,-39.3,22.37,68.79,-46.28,14.1,-100.0,inf,-2.71,-100.0,,
"AFT, FORSYTH & COMPANY, INC.",,,,,,inf,38.4,12.06,-66.18,-39.22,22.22,84298.24,43.94,37.76,-9.98,30.26,-3.58,-100.0,,
AFTON CAPITAL MANAGEMENT LLC,,,,,,,,,,,inf,-100.0,,,,,,,,
AGF INVESTMENTS INC.,,,,,,inf,25.26,-18.5,-100.0,,,,,,,,,,,
AGF MANAGEMENT LTD,,,,,,,,,,,,inf,-100.0,,,inf,-100.0,inf,-100.0,
AI-Squared Management Ltd,,,,,,,,,,,,,,,,,,inf,-100.0,
"AIGEN INVESTMENT MANAGEMENT, LP",,,,,,inf,-100.0,inf,-100.0,,,,,,,,,,,
"AJ WEALTH STRATEGIES, LLC",,,,inf,28.27,0.83,36.89,48.7,-28.99,-73.63,20.07,-1.49,-100.0,inf,-100.0,,,,,
"AJOVista, LLC",,,,,,,,,,,,,,,,inf,-100.0,,,
AKRE CAPITAL MANAGEMENT LLC,,,,,,,,,,inf,22.22,-100.0,,,,,,,,
ALBION FINANCIAL GROUP /UT,,,inf,13.08,-100.0,inf,32.96,1205.07,-67.24,-39.26,22.13,82786.06,7.49,14.27,-13.35,30.26,-40.89,-16.4,-100.0,
ALERUS FINANCIAL  NA,,,,,,,,,,inf,16.77,5540.12,-33.7,-22.21,-100.0,inf,-18.79,-100.0,,
ALGERT GLOBAL LLC,,,,,,,inf,12.64,-100.0,,,,,,,inf,-41.83,-100.0,,
ALKEON CAPITAL MANAGEMENT LLC,,,inf,-93.29,-59.24,13176.04,-99.01,-100.0,,,,,,,,,,,,
