ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001331997-25-000001,108786417,SNOWFLAKE INC CL A,Stock,833445109,,10549909,68324,SH,,SOLE,,68324,0,0,snowflake inc cl a,"Westend Capital Management, LLC",31-DEC-2024,,2024-12-31
0002051715-25-000001,109382229,SNOWFLAKE INC CL A,Stock,833445109,,5096,33,SH,,SOLE,,0,0,33,snowflake inc cl a,"SIERRA OCEAN, LLC",31-DEC-2024,,2024-12-31
0001666789-25-000001,109297889,SNOWFLAKE INC,CL A,833445109,,218182,1413,SH,,SOLE,Sheaff Brock,0,0,1413,snowflake inc,"Sheaff Brock Investment Advisors, LLC",31-DEC-2024,,2024-12-31
0001569118-25-000001,109383704,SNOWFLAKE INC,CL A,833445109,,2625,17,SH,,SOLE,,0,0,17,snowflake inc,JNBA Financial Advisors,31-DEC-2024,,2024-12-31
0001841015-25-000001,109281033,Snowflake Inc.,COM,833445109,BBG007DHGNJ4,1878861,12168,SH,,SOLE,,0,0,12168,snowflake inc.,WD RUTHERFORD LLC,31-DEC-2024,,2024-12-31
0001172661-25-000433,109316823,SNOWFLAKE INC,CL A,833445109,,2415556,15644,SH,,SOLE,,0,0,15644,snowflake inc,"Quantum Private Wealth, LLC",31-DEC-2024,,2024-12-31
0000012600-25-000001,109289150,SNOWFLAKE INC,CL A,833445109,,1145413,7418,SH,,SOLE,,0,0,7418,snowflake inc,"PRINCIPAL SECURITIES, INC.",31-DEC-2024,,2024-12-31
0001140361-25-002456,109422919,SNOWFLAKE INC,CL A,833445109,,2393864,13487,SH,,SOLE,,189,0,13298,snowflake inc,Allworth Financial LP,31-DEC-2024,,2024-12-31
0001172661-25-000434,109401655,SNOWFLAKE INC,CL A,833445109,,486083,3148,SH,,SOLE,,0,0,3148,snowflake inc,"J.W. COLE ADVISORS, INC.",31-DEC-2024,,2024-12-31
0001951757-25-000159,109308763,SNOWFLAKE INC,CL A,833445109,,292604,1895,SH,,SOLE,,0,0,1895,snowflake inc,Palumbo Wealth Management LLC,31-DEC-2024,,2024-12-31
0001729673-25-000003,109291452,SNOWFLAKE INC,CL A,833445109,,984209,6374,SH,,SOLE,0,6347,0,27,snowflake inc,"DDD Partners, LLC",31-DEC-2024,,2024-12-31
0001568068-25-000001,109439610,SNOWFLAKE INC,CL A,833445109,,464,3,SH,,SOLE,,0,0,3,snowflake inc,"JFS WEALTH ADVISORS, LLC",31-DEC-2024,,2024-12-31
0001088875-25-000002,109392347,Snowflake Inc,COM,833445109,,211487348,1369648,SH,,SOLE,0,1369648,0,0,snowflake inc,BAILLIE GIFFORD & CO,31-DEC-2024,,2024-12-31
0001172661-25-000439,109418335,SNOWFLAKE INC,CL A,833445109,,2665580,17263,SH,,SOLE,,0,0,17263,snowflake inc,"Americana Partners, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000663,109368831,SNOWFLAKE INC,CL A,833445109,BBG007DHGNK2,17146613,111046,SH,,SOLE,,111046,0,0,snowflake inc,State of New Jersey Common Pension Fund D,31-DEC-2024,,2024-12-31
0001777271-25-000001,109339714,SNOWFLAKE INC,CL A,833445109,,5175385,28866,SH,,SOLE,0,759,0,28107,snowflake inc,"Sanctuary Advisors, LLC",31-DEC-2024,,2024-12-31
0002054149-25-000001,109292771,SNOWFLAKE INC CL A,Stock,833445109,,350,2,SH,,SOLE,,0,0,2,snowflake inc cl a,Roxbury Financial LLC,31-DEC-2024,,2024-12-31
0001667731-25-000185,109284548,SNOWFLAKE INC,CL A,833445109,,337232,2184,SH,,SOLE,,0,0,2184,snowflake inc,"bLong Financial, LLC",31-DEC-2024,,2024-12-31
0001172661-25-000413,109353109,SNOWFLAKE INC,CL A,833445109,,601890,3898,SH,,SOLE,,3898,0,0,snowflake inc,"Avestar Capital, LLC",31-DEC-2024,,2024-12-31
0001725547-25-000268,109316366,SNOWFLAKE INC,CL A,833445109,,7979291,51676,SH,,SOLE,,0,0,51676,snowflake inc,"Quadrant Private Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001715740-25-000003,109302250,SNOWFLAKE INC CL A,Stock,833445109,,24706,160,SH,,SOLE,,160,0,0,snowflake inc cl a,"Bogart Wealth, LLC",31-DEC-2024,,2024-12-31
0001943239-25-000001,109325282,Snowflake Inc,A,833445109,,139389,888,SH,,SOLE,,888,0,0,snowflake inc,V-Square Quantitative Management LLC,31-DEC-2024,,2024-12-31
0001535602-25-000008,109426080,SNOWFLAKE INC,CL A,833445109,,1034547,6700,SH,,SOLE,,6700,0,0,snowflake inc,BANQUE PICTET & CIE SA,31-DEC-2024,,2024-12-31
0001856022-25-000004,109314734,SNOWFLAKE INC,CL A,833445109,,58367,378,SH,,SOLE,,0,0,378,snowflake inc,"Blue Trust, Inc.",31-DEC-2024,,2024-12-31
0001722641-25-000001,109341497,SNOWFLAKE INC CL A,Stock,833445109,,2059533,13338,SH,,SOLE,0,13338,0,0,snowflake inc cl a,"Valeo Financial Advisors, LLC",31-DEC-2024,,2024-12-31
0001535631-25-000003,109315794,SNOWFLAKE INC,CL A,833445109,,2493722,16150,SH,,SOLE,,16150,0,0,snowflake inc,Bank Pictet & Cie (Europe) AG,31-DEC-2024,,2024-12-31
0001765380-25-000021,109303287,SNOWFLAKE INC,CL A,833445109,,353310,3076,SH,,SOLE,BWA,0,0,3076,snowflake inc,Bordeaux Wealth Advisors LLC,31-DEC-2024,,2024-12-31
0000829407-25-000001,109397989,SNOWFLAKE INC,CL A,833445109,,13151,85,SH,,SOLE,Montag,0,0,85,snowflake inc,MONTAG A & ASSOCIATES INC,31-DEC-2024,,2024-12-31
0001765380-25-000022,109280601,SNOWFLAKE INC,CL A,833445109,,446709,2893,SH,,SOLE,0,0,0,2893,snowflake inc,Bordeaux Wealth Advisors LLC,31-DEC-2024,,2024-12-31
0002001520-25-000001,109348540,SNOWFLAKE INC,CL A,833445109,,205365,1330,SH,,SOLE,,0,0,1330,snowflake inc,"PUREfi Wealth, LLC",31-DEC-2024,,2024-12-31
0001803557-25-000001,109393279,SNOWFLAKE INC,CL A,833445109,,1545,10,SH,,SOLE,,0,0,10,snowflake inc,"Center for Financial Planning, Inc.",31-DEC-2024,,2024-12-31
0001079736-25-000001,109389265,Snowflake Inc,CL A,833445109,,6176,40,SH,,SOLE,NONE,0,0,40,snowflake inc,WASHINGTON TRUST Co,31-DEC-2024,,2024-12-31
0001115418-25-000001,109359126,SNOWFLAKE INC-CLASS A,COM,833445109,,58195524,376890,SH,,SOLE,,137754,0,239124,snowflake inc-class a,RHUMBLINE ADVISERS,31-DEC-2024,,2024-12-31
0001393389-25-000001,109379592,SNOWFLAKE INC,CL A,833445109,,291218,1886,SH,,SOLE,,0,0,1886,snowflake inc,Manchester Capital Management LLC,31-DEC-2024,,2024-12-31
0001034886-25-000001,109378736,SNOWFLAKE INC,CL A,833445109,,23162,150,SH,,SOLE,,150,0,0,snowflake inc,PITTENGER & ANDERSON INC,31-DEC-2024,,2024-12-31
0001172661-25-000442,109370176,SNOWFLAKE INC,CL A,833445109,,2056896,13321,SH,,SOLE,,13321,0,0,snowflake inc,CIBC Asset Management Inc,31-DEC-2024,,2024-12-31
0001080107-25-000001,109282426,SNOWFLAKE INC,CL A,833445109,,10330183,66901,SH,,SOLE,0,66901,0,0,snowflake inc,D.A. DAVIDSON & CO.,31-DEC-2024,,2024-12-31
0001580642-25-000663,109507490,SNOWFLAKE INC,CL A,833445109,,926460,6000,SH,,SOLE,,0,0,6000,snowflake inc,Bray Capital Advisors,31-DEC-2024,,2024-12-31
0001123292-25-000033,109447935,SNOWFLAKE INC,CL A,833445109,,24156518,156444,SH,,SOLE,,156444,0,0,snowflake inc,Alberta Investment Management Corp,31-DEC-2024,,2024-12-31
0001085146-25-000680,109448798,SNOWFLAKE INC,CL A,833445109,BBG007DHGNK2,419223,2715,SH,,SOLE,,2715,0,0,snowflake inc,"Private Wealth Partners, LLC",31-DEC-2024,,2024-12-31
0001398318-25-000001,109478538,SNOWFLAKE INC CL A,COM,833445109,,19424,125796,SH,,SOLE,0,0,0,125796,snowflake inc cl a,Handelsbanken Fonder AB,31-DEC-2024,,2024-12-31
0001667731-25-000197,109470769,SNOWFLAKE INC,CL A,833445109,,318069,2060,SH,,SOLE,,0,0,2060,snowflake inc,"Concurrent Investment Advisors, LLC",31-DEC-2024,,2024-12-31
0001667731-25-000197,109470768,SNOWFLAKE INC,CL A,833445109,,15441,100,SH,Call,SOLE,,0,0,0,snowflake inc,"Concurrent Investment Advisors, LLC",31-DEC-2024,,2024-12-31
0001951757-25-000174,109450825,SNOWFLAKE INC,CL A,833445109,,480215,3110,SH,,SOLE,,0,0,3110,snowflake inc,PRAKASH INVESTMENT ADVISORS LLC,31-DEC-2024,,2024-12-31
0001705819-25-000016,109516137,SNOWFLAKE INC,CL A,833445109,,982820,6365,SH,,SOLE,,0,0,6365,snowflake inc,OUTFITTER FINANCIAL LLC,31-DEC-2024,,2024-12-31
0001666363-25-000004,109335157,SNOWFLAKE INC,CL A,833445109,,515112,3336,SH,,SOLE,,3336,0,0,snowflake inc,"Venturi Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001420506-25-000106,109501344,SNOWFLAKE INC,CL A,833445109,,506465,3280,SH,,SOLE,,0,0,3280,snowflake inc,Red Wave Investments LLC,31-DEC-2024,,2024-12-31
0002054798-25-000001,109624693,SNOWFLAKE INC,CL A,833445109,,836392,5417,SH,,SOLE,0,0,0,5417,snowflake inc,"Variant Private Wealth, LLC",31-DEC-2024,,2024-12-31
0001420506-25-000109,109532599,SNOWFLAKE INC,CL A,833445109,,307585,1992,SH,,SOLE,,0,0,1992,snowflake inc,Sigma Planning Corp,31-DEC-2024,,2024-12-31
0001588539-25-000001,109522410,SNOWFLAKE INC CL A,COMMON STOCK,833445109,,61146,396,SH,,SOLE,,396,0,0,snowflake inc cl a,"First Horizon Advisors, Inc.",31-DEC-2024,,2024-12-31
0001508120-25-000001,109536678,SNOWFLAKE INC CL A,Stock,833445109,,2891173,18724,SH,,SOLE,0,18724,0,0,snowflake inc cl a,"Cohen Capital Management, Inc.",31-DEC-2024,,2024-12-31
0001646247-25-000001,109539827,SNOWFLAKE INC,CL A,833445109,,1476469,9562,SH,,SOLE,,0,0,9562,snowflake inc,"Wealthspire Advisors, LLC",31-DEC-2024,,2024-12-31
0001754960-25-000092,109482669,SNOWFLAKE INC,CL A,833445109,,1171509,7587,SH,,SOLE,,0,0,7587,snowflake inc,Werba Rubin Papier Wealth Management,31-DEC-2024,,2024-12-31
0002003287-25-000001,109482436,SNOWFLAKE INC,CL A,833445109,,197799,1281,SH,,SOLE,,0,0,1281,snowflake inc,"Financial Perspectives, Inc",31-DEC-2024,,2024-12-31
0001754960-25-000090,109469544,SNOWFLAKE INC,CL A,833445109,,235463,2050,SH,,SOLE,,0,0,2050,snowflake inc,"Cresta Advisors, Ltd.",31-DEC-2024,,2024-12-31
0001085146-25-000685,109468794,SNOWFLAKE INC,CL A,833445109,BBG007DHGNK2,183752935,1190033,SH,,SOLE,,56953,0,1133080,snowflake inc,"IEQ CAPITAL, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000667,109466482,SNOWFLAKE INC,CL A,833445109,BBG007DHGNK2,3607488,23363,SH,,SOLE,,0,0,23363,snowflake inc,"Private Advisor Group, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000677,109463835,SNOWFLAKE INC,CL A,833445109,BBG007DHGNK2,889987,5764,SH,,SOLE,,5764,0,0,snowflake inc,"TBH Global Asset Management, LLC",31-DEC-2024,,2024-12-31
0001104659-25-008208,109452852,SNOWFLAKE INC CL A,Stock,833445109,,8914089,57730,SH,,SOLE,,57730,0,0,snowflake inc cl a,"LYELL WEALTH MANAGEMENT, LP",31-DEC-2024,,2024-12-31
0001580642-25-000642,109457052,SNOWFLAKE INC,CL A,833445109,,350511,2270,SH,,SOLE,,0,0,2270,snowflake inc,"Global Retirement Partners, LLC",31-DEC-2024,,2024-12-31
0001104659-25-008104,109475511,Snowflake Inc.,CL A,833445109,,1853,12,SH,,SOLE,,12,0,0,snowflake inc.,Bank of Jackson Hole Trust,31-DEC-2024,,2024-12-31
