REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,Hel Ved Capital Management Ltd,1229876
31-DEC-2024,"HighTower Advisors, LLC",26655695
31-DEC-2024,"Householder Group Estate & Retirement Specialist, LLC",3
31-DEC-2024,Howard Capital Management Inc.,277938
31-DEC-2024,Hudson Bay Capital Management LP,21617400
31-DEC-2024,"ICONIQ Capital, LLC",2830953
31-DEC-2024,"IEQ CAPITAL, LLC",183752935
31-DEC-2024,"IFP Advisors, Inc",751800
31-DEC-2024,"IFS Advisors, LLC",8955
31-DEC-2024,"IHT Wealth Management, LLC",1356499
31-DEC-2024,"IMC-Chicago, LLC",453934518
31-DEC-2024,"INSIGNEO ADVISORY SERVICES, LLC",550665
31-DEC-2024,INTECH INVESTMENT MANAGEMENT LLC,1105576
31-DEC-2024,"INTERNATIONAL ASSETS INVESTMENT MANAGEMENT, LLC",733839
31-DEC-2024,IPG Investment Advisors LLC,362091
31-DEC-2024,IVC Wealth Advisors LLC,244277
31-DEC-2024,"Icon Wealth Advisors, LLC",132021
31-DEC-2024,"Holocene Advisors, LP",3525489
31-DEC-2024,HighPoint Advisor Group LLC,327637
31-DEC-2024,"Orion Portfolio Solutions, LLC",1016245
31-DEC-2024,HighMark Wealth Management LLC,11581
31-DEC-2024,HERSHEY TRUST CO,1202854
31-DEC-2024,"HHM Wealth Advisors, LLC",15441
31-DEC-2024,"HIGHLAND CAPITAL MANAGEMENT, LLC",1616673
31-DEC-2024,HIGHLINE WEALTH PARTNERS LLC,11581
31-DEC-2024,HOLLENCREST CAPITAL MANAGEMENT,100058
31-DEC-2024,HSBC HOLDINGS PLC,48411713
31-DEC-2024,"HUB Investment Partners, LLC",1485908
31-DEC-2024,Handelsbanken Fonder AB,19424
31-DEC-2024,Harbor Advisors LLC,772050
31-DEC-2024,Hartford Financial Management Inc.,38603
31-DEC-2024,"Harvest Fund Management Co., Ltd",875
31-DEC-2024,"Heck Capital Advisors, LLC",11118
31-DEC-2024,Hemington Wealth Management,16
31-DEC-2024,"Hestia Capital Management, LLC",586758
31-DEC-2024,Hexagon Capital Partners LLC,42772
31-DEC-2024,"Ignite Planners, LLC",453732
31-DEC-2024,Ilmarinen Mutual Pension Insurance Co,2316
31-DEC-2024,"In-Depth Partners, LLC",2360466
31-DEC-2024,Independence Bank of Kentucky,1076547
31-DEC-2024,"KESTRA PRIVATE WEALTH SERVICES, LLC",784248
31-DEC-2024,KEYSTONE INVESTORS PTE LTD,2055352
31-DEC-2024,"KG&L Capital Management,LLC",1908508
31-DEC-2024,"KINGSWOOD WEALTH ADVISORS, LLC",289673
31-DEC-2024,"KIRTLAND HILLS CAPITAL MANAGEMENT, LLC",2458207
31-DEC-2024,KLP KAPITALFORVALTNING AS,15410118
31-DEC-2024,KORNITZER CAPITAL MANAGEMENT INC /KS,7735941
31-DEC-2024,"KRAEMATON INVESTMENT ADVISORS, INC",240108
31-DEC-2024,"Kazazian Asset Management, LLC",1266162
31-DEC-2024,Keener Financial Planning LLC,4
31-DEC-2024,"Kestra Advisory Services, LLC",4066079
31-DEC-2024,"Kestra Investment Management, LLC",15750
31-DEC-2024,Key Financial Inc,8029
31-DEC-2024,"Kingsview Wealth Management, LLC",376915
31-DEC-2024,Knights of Columbus Asset Advisors LLC,810189
31-DEC-2024,KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,13799878
31-DEC-2024,K.J. Harrison & Partners Inc,1890908
31-DEC-2024,"Joule Financial, LLC",468017
31-DEC-2024,"JFS WEALTH ADVISORS, LLC",464
31-DEC-2024,Independent Advisor Alliance,791554
