FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58770.0,75088.0,43615.0
" FOGEL CAPITAL MANAGEMENT, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229450.0,358610.0
 NEUBERGER BERMAN GROUP LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6816800.0,4263786.0,10167074.0,2865633.0,5918275.0
" ONCE CAPITAL MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3799296.0,0.0,807680.0
&PARTNERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1594690.0,1237562.0,2985218.0,8775070.0,21058040.0
1 NORTH WEALTH SERVICES LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704701.0
"10-15 ASSOCIATES, INC.",0.0,347.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10Elms LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49699.0
"1248 Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854525.0
"1620 INVESTMENT ADVISORS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41891.0,61164.0,273715.0
1776 WEALTH LLC,1603.0,1182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776 Wealth LLC,0.0,0.0,1276.0,4944.0,2372.0,2628.0,3070.0,4184.0,4333.0,3022.0,3419.0,1603.0,3190998.0,4183468.0,3362957.0,4636636.0,2842524.0,3277882.0,4303290.0,6743320.0
"180 WEALTH ADVISORS, LLC",0.0,398.0,717.0,4168.0,5398.0,6629.0,8107.0,9405.0,9966.0,7017.0,8062.0,4839145.0,6205482.0,8860837.0,7568655.0,8008450.0,6025474.0,8505574.0,9116706.0,13669094.0
1832 Asset Management L.P.,110.0,88.0,210.0,1026.0,117.0,392.0,4567.0,13179.0,109434.0,4567.0,139184.0,574141.0,1082318.0,609662.0,70148176.0,1761972.0,1539920.0,1600453.0,2321181.0,268531793.0
1834 INVESTMENT ADVISORS CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247293.0,529299.0,330791.0,0.0,0.0,0.0,0.0,0.0
"1858 WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426027.0,1426027.0,0.0,0.0,0.0
1900 WEALTH MANAGEMENT LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672226.0,0.0,0.0,0.0,0.0,0.0,206363.0
1ST SOURCE BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,315.0,0.0,284.0,0.0,0.0,0.0,0.0,201517.0,268431.0,212523.0,258229.0,420801.0
"20/20 Capital Management, Inc.",0.0,314.0,562.0,1529.0,1357.0,1387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25 LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305615.0,508835.0,476669.0,474597.0,340624.0,377555.0,519074.0,0.0
"360 Financial, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,208487.0,0.0,205751.0,0.0,0.0,0.0,0.0,0.0,0.0
"3Chopt Investment Partners, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524176.0,0.0,1322630.0,0.0,2891898.0
"3D/L Capital Management, LLC",0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44 WEALTH MANAGEMENT LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228178.0,437763.0
"49 WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391853.0,250214.0,266522.0,202240.0,425647.0
4J Wealth Management LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323692.0,2229365.0,1260684.0,1205060.0,1196680.0,820236.0,903520.0,1195649.0,1831414.0
4Thought Financial Group Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84483.0,59769.0,67279.0,88954.0,0.0
"4WEALTH ADVISORS, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150944.0
"55I, LLC",0.0,0.0,0.0,255.0,462.0,891.0,923.0,1571.0,1865.0,1733.0,7472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5th Street Advisors, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,317.0,205.0,242.0,0.0,0.0,258367.0,228201.0,226614.0,0.0,0.0,256921.0,396571.0
6 Meridian,0.0,0.0,0.0,0.0,1421.0,1414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"626 Financial, LLC",0.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,273.0,0.0,209.0,205341.0,382140.0,535059.0,514952.0,511371.0,394475.0,444042.0,583174.0,909045.0
"9258 Wealth Management, LLC",0.0,0.0,327.0,450.0,408.0,502.0,565.0,1104.0,1351.0,931.0,1122.0,658274.0,1282933.0,1625068.0,1525341.0,4595637.0,871918.0,794092.0,1051229.0,0.0
"A&I FINANCIAL SERVICES, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519338.0
"A.P. Gilfoyle & Co., L.P.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40744.0,0.0,0.0,0.0,0.0
"AA Financial Advisors, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4056003.0,3602603.0,4591607.0,7087392.0
AAFMAA Wealth Management & Trust LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483396.0
ABEILLE ASSET MANAGEMENT SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29364.0,29727.0,34235.0,28567967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ABLE Financial Group, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336085.0,440559.0,399101.0,404028.0,234680.0,264170.0,349276.0,639683.0
"ABLES, IANNONE, MOORE & ASSOCIATES, INC.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776252.0,784375.0,864339.0,1089427.0,1681590.0
