FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
" CALDWELL SUTTER CAPITAL, INC.",,,,,,,,,,,,,,,,,,inf,27.77,-41.91
" FOGEL CAPITAL MANAGEMENT, INC.",,,,,,,,,,,,,,,,,,,inf,56.29
 NEUBERGER BERMAN GROUP LLC,,,,,,,,,,,,,,,,inf,-37.45,138.45,-71.81,106.53
" ONCE CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,,,,,,inf,-100.0,inf
&PARTNERS,,,,,,,,,,,,,,,,inf,-22.39,141.22,193.95,139.98
1 NORTH WEALTH SERVICES LLC,,,,,,,,,,,,,,,,,,,,inf
"10-15 ASSOCIATES, INC.",,inf,130.84,-100.0,,,,,,,,,,,,,,,,
10Elms LLP,,,,,,,,,,,,,,,,,,,,inf
"1248 Management, LLC",,,,,,,,,,,,,,,,,,,,inf
"1620 INVESTMENT ADVISORS, INC.",,,,,,,,,,,,,,,,,,inf,46.01,347.51
1776 WEALTH LLC,,-26.26,-100.0,,,,,,,,,,,,,,,,,
1776 Wealth LLC,,,inf,287.46,-52.02,10.79,16.82,36.29,3.56,-30.26,13.14,-53.11,198964.13,31.1,-19.61,37.87,-38.69,15.32,31.28,56.7
"180 WEALTH ADVISORS, LLC",,inf,80.15,481.31,29.51,22.8,22.3,16.01,5.96,-29.59,14.89,59924.13,28.24,42.79,-14.58,5.81,-24.76,41.16,7.19,49.93
1832 Asset Management L.P.,,-20.0,138.64,388.57,-88.6,235.04,1065.05,188.57,730.37,-95.83,2947.6,312.51,88.51,-43.67,11406.08,-97.49,-12.6,3.93,45.03,11468.76
1834 INVESTMENT ADVISORS CO,,,,,,,,,,,,,inf,114.04,-37.5,-100.0,,,,
"1858 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,0.0,-100.0,,
1900 WEALTH MANAGEMENT LLC,,,,,,,,,,,,,,inf,-100.0,,,,,inf
1ST SOURCE BANK,,,,,,,,inf,1.94,-100.0,inf,-100.0,,,,inf,33.21,-20.83,21.51,62.96
"20/20 Capital Management, Inc.",,inf,78.98,172.06,-11.25,2.21,-100.0,,,,,,,,,,,,,
25 LLC,,,,,,,,,,,,,inf,66.5,-6.32,-0.43,-28.23,10.84,37.48,-100.0
"360 Financial, Inc.",,,,,,,,,,,inf,100134.13,-100.0,inf,-100.0,,,,,
"3Chopt Investment Partners, LLC",,,,,,,,,,,,,,,,inf,-100.0,inf,-100.0,inf
"3D/L Capital Management, LLC",,,,inf,-100.0,,,,,,,,,,,,,,,
44 WEALTH MANAGEMENT LLC,,,,,,,,,,,,,,,,,,,inf,91.85
"49 WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,-36.15,6.52,-24.12,110.47
4J Wealth Management LLC,,,,,,,,,,,,inf,68.42,-43.45,-4.41,-0.7,-31.46,10.15,32.33,53.17
4Thought Financial Group Inc.,,,,,,,,,,,,,,,,inf,-29.25,12.57,32.22,-100.0
"4WEALTH ADVISORS, INC.",,,,,,,,,,,,,,,,,,,,inf
"55I, LLC",,,,inf,81.18,92.86,3.59,70.21,18.71,-7.08,331.16,-100.0,,,,,,,,
"5th Street Advisors, LLC",,,,,,,,inf,1.93,-35.33,18.05,-100.0,,inf,-11.68,-0.7,-100.0,,inf,54.36
6 Meridian,,,,,inf,-0.49,-100.0,,,,,,,,,,,,,
"626 Financial, LLC",,,,,inf,-100.0,,,inf,-100.0,inf,98149.28,86.1,40.02,-3.76,-0.7,-22.86,12.57,31.33,55.88
"9258 Wealth Management, LLC",,,inf,37.61,-9.33,23.04,12.55,95.4,22.37,-31.09,20.52,58569.7,94.89,26.67,-6.14,201.29,-81.03,-8.93,32.38,-100.0
"A&I FINANCIAL SERVICES, LLC",,,,,,,,,,,,,,,,,,,,inf
"A.P. Gilfoyle & Co., L.P.",,,,,,,,,,,,,,,,inf,-100.0,,,
"AA Financial Advisors, LLC",,,,,,,,,,,,,,,,,inf,-11.18,27.45,54.36
AAFMAA Wealth Management & Trust LLC,,,,,,,,,,,,,,,,,,,,inf
ABEILLE ASSET MANAGEMENT SA,,,,,,,,,inf,1.24,15.16,83346.67,-100.0,,,,,,,
"ABLE Financial Group, LLC",,,,,,,,,,,,,inf,31.09,-9.41,1.23,-41.91,12.57,32.22,83.15
"ABLES, IANNONE, MOORE & ASSOCIATES, INC.",,,,,,,,,,,,,,,,inf,1.05,10.19,26.04,54.36
"ABOUND FINANCIAL, LLC",,,,,,,,,,,,,,,,,,,,inf
"ABSHER WEALTH MANAGEMENT, LLC",,106.84,71.65,32.11,-16.94,1.76,-17.17,1.69,1.95,-38.76,18.28,40954.56,9.94,31.62,-12.03,-0.7,-24.78,12.57,34.18,-54.13
"ACAS, LLC",,,,,inf,1.85,14.09,538.65,-78.67,-25.73,-100.0,,inf,12.35,-7.19,6.47,-100.0,inf,12.74,81.04
"ACCESS FINANCIAL SERVICES, INC.",,106.1,94.59,81.22,-18.54,-100.0,inf,-100.0,,,,,,,,,inf,12.74,-100.0,
"ACCREDITED INVESTOR SERVICES, LLC",,,,,,,,,,,,,,,,,,,,inf
ACG Wealth,,103.41,78.95,66.21,-0.8,-9.18,13.34,-3.48,-79.66,-34.53,5.58,-100.0,,,,,,,,
ACORN CREEK CAPITAL LLC,,,,,,,,,,,,,,,,inf,-45.12,45.7,44.68,67.13
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,,109.91,58.43,93.48,22.21,7.86,-13.74,63.12,2.41,-36.67,18.77,52502.77,74.09,21.5,0.19,-6.6,-37.89,32.41,26.09,54.26
"ACT Advisors, LLC.",,,,,,,,,,,,,,,,,,,inf,55.62
"ACT WEALTH MANAGEMENT, LLC",,,,inf,-5.28,1.75,0.0,88.58,10.87,-26.65,20.92,53453.16,67.44,19.4,-14.27,-1.72,-31.31,17.96,29.95,54.36
"ADAGE CAPITAL PARTNERS GP, L.L.C.",,inf,-100.0,inf,7.76,-13.7,21.76,65.31,-9.76,-27.54,23.56,46626.24,62.23,-100.0,inf,-1.45,-30.01,2.99,43.33,54.15
"ADAMS DIVERSIFIED EQUITY FUND, INC.",,,,inf,2.49,-7.41,14.09,36.28,14.83,-28.84,31.91,42604.31,68.42,26.18,2.13,-4.79,-29.25,12.57,19.55,54.36
ADAMSBROWN WEALTH CONSULTANTS LLC,,,,,,,,inf,5.03,-31.27,22.13,-100.0,inf,33.39,-1.79,8.68,-32.7,-12.85,22.76,184.03
ADAPT Investment Managers SA,,,,,,,,,,,,,,,,,,,,inf
"ADE, LLC",,,,inf,-6.39,1.78,14.29,38.78,0.0,-36.58,17.97,-100.0,inf,26.18,-4.41,-0.7,-33.4,12.57,32.22,54.36
