ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0002031775-25-000001,111862656,TESLA INC,COM,88160R101,,298539,1059,SH,,SOLE,0,0,0,1059,tesla inc,"BridgePort Financial Solutions, LLC",31-DEC-2024,,2024-12-31
0001376474-25-000111,109120331,TESLA INC COM,Stock,88160R101,,875525,2168,SH,,SOLE,,2168,0,0,tesla inc com,"SOA Wealth Advisors, LLC.",31-DEC-2024,,2024-12-31
0000950123-25-000642,109242822,TESLA INC,CS,88160R101,,359,889,SH,,SOLE,,0,0,0,tesla inc,APPLETON PARTNERS INC/MA,31-DEC-2024,,2024-12-31
0001830817-25-000001,109142237,TESLA INC,COM,88160R101,,4563280,11299,SH,,SOLE,,0,0,11299,tesla inc,Platform Technology Partners,31-DEC-2024,,2024-12-31
0001973728-25-000001,109277402,TESLA INC,COM,88160R101,,231631,558,SH,,SOLE,0,0,0,558,tesla inc,"Dodds Wealth, LLC",31-DEC-2024,,2024-12-31
0001398344-25-001199,109278051,TESLA INC,COM,88160R101,,6468945,15761,SH,,SOLE,,0,0,15761,tesla inc,Realta Investment Advisors,31-DEC-2024,,2024-12-31
0000033250-25-000001,109294855,Tesla Inc,Com,88160R101,,2958936,7327,SH,,SOLE,0,7327,0,0,tesla inc,EQUITABLE TRUST CO,31-DEC-2024,,2024-12-31
0000887602-25-000001,109192126,TESLA INC COM,COM,88160R101,,269361,667,SH,,SOLE,,0,0,667,tesla inc com,"BARRETT & COMPANY, INC.",31-DEC-2024,,2024-12-31
0001172661-25-000377,109256366,TESLA INC,COM,88160R101,,490666,1215,SH,,SOLE,,0,0,1215,tesla inc,"BRIGHT FINANCIAL ADVISORS, INC.",31-DEC-2024,,2024-12-31
0001776033-25-000003,109262935,TESLA INC,Common Stock,88160R101,,6690010,16566,SH,,SOLE,,2001,0,14565,tesla inc,"Golden State Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001876811-25-000001,109189270,TESLA INC,COM,88160R101,,946197,2343,SH,,SOLE,,0,0,2343,tesla inc,"Heritage Investment Group, Inc.",31-DEC-2024,,2024-12-31
0002006405-25-000001,109228087,TESLA INC,COM,88160R101,,718431,1779,SH,,SOLE,,1779,0,0,tesla inc,"Solutions 4 Wealth, Ltd",31-DEC-2024,,2024-12-31
0001162044-25-000080,109233729,TESLA INC,COM,88160R101,,513281,1271,SH,,SOLE,,1271,0,0,tesla inc,Archer Investment Corp,31-DEC-2024,,2024-12-31
0001214659-25-001425,109252583,TESLA INC,COM,88160R101,,2440001,6042,SH,,SOLE,,0,0,6042,tesla inc,SMART Wealth LLC,31-DEC-2024,,2024-12-31
0001527488-25-000002,109198301,TESLA MOTORS INC,COM,88160R101,,831,2058,SH,,SOLE,,2058,0,0,tesla motors inc,TOBAM,31-DEC-2024,,2024-12-31
0001963040-25-000001,109208651,TESLA INC,COM,88160R101,,3476659,8609,SH,,SOLE,0,0,0,8609,tesla inc,LODESTAR PRIVATE ASSET MANAGEMENT LLC,31-DEC-2024,,2024-12-31
0000929638-25-000367,109129991,TESLA INC,COM,88160R101,,38245667,94705,SH,,SOLE,,94705,0,0,tesla inc,"Global X Japan Co., Ltd.",31-DEC-2024,,2024-12-31
0001214659-25-001423,109154550,TESLA INC,COM,88160R101,,1477247,3658,SH,,SOLE,,3658,0,0,tesla inc,"Prairie Wealth Advisors, Inc.",31-DEC-2024,,2024-12-31
0000911274-25-000001,109225280,TESLA INC COM,Stock,88160R101,,702682,1740,SH,,SOLE,0,1740,0,0,tesla inc com,"BEESE FULMER INVESTMENT MANAGEMENT, INC.",31-DEC-2024,,2024-12-31
0002046607-25-000001,109193952,TESLA INC,COM,88160R101,,846449,2096,SH,,SOLE,,0,0,2096,tesla inc,"Fairvoy Private Wealth, LLC",31-DEC-2024,,2024-12-31
0002053642-25-000001,109127386,TESLA INC,COM,88160R101,,23019,57,SH,,SOLE,,0,0,57,tesla inc,"Keystone Financial Group, Inc.",31-DEC-2024,,2024-12-31
0001437749-25-001952,109205934,TESLA INC,COM,88160R101,,396571,982,SH,,SOLE,,0,0,982,tesla inc,"5th Street Advisors, LLC",31-DEC-2024,,2024-12-31
0001910168-25-000001,109111357,TESLA INC,COM,88160R101,,260477,645,SH,,SOLE,,645,0,0,tesla inc,Ameliora Wealth Management Ltd.,31-DEC-2024,,2024-12-31
0000950123-25-000628,109216457,Tesla inc,COM,88160R101,,8856449,21942,SH,,SOLE,,21942,0,0,tesla inc,"Livforsakringsbolaget Skandia, Omsesidigt",31-DEC-2024,,2024-12-31
0000950123-25-000628,109216689,Tesla inc,COM,88160R101,,28314645,70150,SH,,SOLE,,70150,0,0,tesla inc,"Livforsakringsbolaget Skandia, Omsesidigt",31-DEC-2024,,2024-12-31
0000950123-25-000621,109122013,TESLA INC,COM,88160R101,,140368726,347585,SH,,SOLE,,347585,0,0,tesla inc,"Sumitomo Mitsui DS Asset Management Company, Ltd",31-DEC-2024,,2024-12-31
0001754960-25-000075,109148179,TESLA INC,COM,88160R101,,2047237,5069,SH,,SOLE,,0,0,5069,tesla inc,"Leo Wealth, LLC",31-DEC-2024,,2024-12-31
0002017868-25-000002,109277223,TESLA INC,COM,88160R101,,251379,622,SH,,SOLE,,0,0,622,tesla inc,"Financial Synergies Wealth Advisors, Inc.",31-DEC-2024,,2024-12-31
