REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,"Eagle Capital Management, LLC",331
31-DEC-2024,Field & Main Bank,123166
31-DEC-2024,Fiduciary Planning LLC,2208601
31-DEC-2024,"Fidelis Capital Partners, LLC",7505790
31-DEC-2024,Fidato Wealth LLC,345283
31-DEC-2024,"Fernwood Investment Management, LLC",2419405
31-DEC-2024,"Fermata Advisors, LLC",1076234
31-DEC-2024,Ferguson Shapiro LLC,242540
31-DEC-2024,Fedenia Advisers LLC,593241
31-DEC-2024,"Farther Finance Advisors, LLC",15075134
31-DEC-2024,"Farringdon Capital, Ltd.",455128
31-DEC-2024,Farmers & Merchants Trust Co of Chambersburg PA,46
31-DEC-2024,"Family Investment Center, Inc.",273791
31-DEC-2024,"Family Capital Management, Inc.",481377
31-DEC-2024,Family CFO Inc,1285423
31-DEC-2024,Falcon Wealth Planning,9218473
31-DEC-2024,"Faithward Advisors, LLC",1012564
31-DEC-2024,Fairway Wealth LLC,28269
31-DEC-2024,"Fairvoy Private Wealth, LLC",846449
31-DEC-2024,"Fairscale Capital, LLC",2106429
31-DEC-2024,"Fairman Group, LLC",789797
31-DEC-2024,"Fairhaven Wealth Management, LLC",752758
31-DEC-2024,"Fairfield Financial Advisors, LTD",464012
31-DEC-2024,"Facet Wealth, Inc.",1733354
31-DEC-2024,"FWL INVESTMENT MANAGEMENT, LLC",203535
31-DEC-2024,Fiduciary Trust Co,3716943
31-DEC-2024,Fielder Capital Group LLC,819795
31-DEC-2024,FULTON BREAKEFIELD BROENNIMAN LLC,2806284
31-DEC-2024,Fifth Third Wealth Advisors LLC,17526656
31-DEC-2024,FineMark National Bank & Trust,4196301
31-DEC-2024,"Financial Synergies Wealth Advisors, Inc.",251379
31-DEC-2024,Financial Symmetry Inc,804449
31-DEC-2024,"Financial Sense Advisors, Inc.",17259314
31-DEC-2024,"Financial Security Advisor, Inc.",1158731
31-DEC-2024,"Financial Perspectives, Inc",3166055
31-DEC-2024,"Financial Partners Group, Inc",1633272
31-DEC-2024,Financial Network Wealth Management LLC,302
31-DEC-2024,Financial Network Wealth Advisors LLC,66230
31-DEC-2024,"Financial Management Professionals, Inc.",1614552
31-DEC-2024,Financial Life Planners,700922
31-DEC-2024,"Financial Harvest, LLC",497531
31-DEC-2024,"Financial Gravity Companies, Inc.",8747578
31-DEC-2024,"Financial Freedom, LLC",23423
31-DEC-2024,Financial Enhancement Group LLC,672318
31-DEC-2024,Financial Engines Advisors L.L.C.,12106576
31-DEC-2024,"Financial Connections Group, Inc.",480
31-DEC-2024,"Financial Avengers, Inc.",3107549
31-DEC-2024,"Financial Alternatives, Inc",1182222
31-DEC-2024,Financial Advocates Investment Management,19325976
31-DEC-2024,Financial Advisory Corp,319437
31-DEC-2024,"Financial Advisors, LLC",343668
31-DEC-2024,"Financial Advisors Network, Inc.",1382748
31-DEC-2024,"FWG Holdings, LLC",1564241
31-DEC-2024,FUKOKU MUTUAL LIFE INSURANCE Co,4886868
31-DEC-2024,"Finley Financial, LLC",64233
31-DEC-2024,FLOYD FINANCIAL GROUP LLC,1953568
31-DEC-2024,"FLORIDA FINANCIAL ADVISORS, LLC",2133993
31-DEC-2024,FLC Capital Advisors,1194963
31-DEC-2024,"FLAGSHIP WEALTH ADVISORS, LLC",444224
31-DEC-2024,"FLAGSHIP HARBOR ADVISORS, LLC",17500000
31-DEC-2024,FJARDE AP-FONDEN /FOURTH SWEDISH NATIONAL PENSION FUND,189305
31-DEC-2024,FISHMAN JAY A LTD/MI,232612
31-DEC-2024,FIRST UNITED BANK & TRUST,717220
31-DEC-2024,FIRST TRUST ADVISORS LP,287378690
31-DEC-2024,FIRST NATIONAL CORP /MA/ /ADV,325383
31-DEC-2024,FIRST NATIONAL BANK OF OMAHA,2908051
31-DEC-2024,FIRST MANHATTAN CO. LLC.,1638379
31-DEC-2024,FIRST HAWAIIAN BANK,51692
31-DEC-2024,FIRST FOUNDATION ADVISORS,2212639
31-DEC-2024,FIRST FINANCIAL CORP /IN/,44826
31-DEC-2024,FIRST CITIZENS BANK & TRUST CO,24878563
31-DEC-2024,"FIRST AMERICAN TRUST, FSB",577728
31-DEC-2024,FIRST AMERICAN BANK,1224846
31-DEC-2024,"FIRETHORN WEALTH PARTNERS, LLC",365071
31-DEC-2024,FINANCIAL MANAGEMENT NETWORK INC,4416927
31-DEC-2024,FINANCIAL COUNSELORS INC,71103301
31-DEC-2024,"FIDUCIARY FINANCIAL GROUP, LLC",1067772
31-DEC-2024,"FIDUCIARY FAMILY OFFICE, LLC",1119848
31-DEC-2024,"FIDELIS iM, LLC",2020
31-DEC-2024,FLOW TRADERS U.S. LLC,11262
31-DEC-2024,FLPUTNAM INVESTMENT MANAGEMENT CO,2075738
31-DEC-2024,"FSM Wealth Advisors, LLC",2096407
31-DEC-2024,"FLYNN ZITO CAPITAL MANAGEMENT, LLC",1243021
31-DEC-2024,"FSB PREMIER WEALTH MANAGEMENT, INC.",403840
31-DEC-2024,FSA Wealth Management LLC,4327549
31-DEC-2024,"FSA Advisors, Inc.",296823
31-DEC-2024,FRG Family Wealth Advisors LLC,243112
31-DEC-2024,"FRED ALGER MANAGEMENT, LLC",476245685
31-DEC-2024,"FPC INVESTMENT ADVISORY, INC.",349575
31-DEC-2024,"FOX RUN MANAGEMENT, L.L.C.",666740
31-DEC-2024,"FOURPATH CAPITAL MANAGEMENT, LLC",813738
31-DEC-2024,"FOUNDERS GROVE WEALTH PARTNERS, LLC",1626264
31-DEC-2024,FOUNDERS FINANCIAL SECURITIES LLC,4526643
31-DEC-2024,"FOSTER DYKEMA CABOT & PARTNERS, LLC",926813
31-DEC-2024,"FORTRESS PRIVATE LEDGER, LLC",697836
31-DEC-2024,"FORTRESS FINANCIAL GROUP, LLC",1167585
31-DEC-2024,"FORTEM FINANCIAL GROUP, LLC",9601700
31-DEC-2024,FORTE CAPITAL LLC /ADV,5547146
31-DEC-2024,FORT WASHINGTON INVESTMENT ADVISORS INC /OH/,619491
31-DEC-2024,FORSTA AP-FONDEN,302031936
31-DEC-2024,"FORESIGHT CAPITAL MANAGEMENT ADVISORS, INC.",204747
31-DEC-2024,FORBES J M & CO LLP,5526147
31-DEC-2024,"FORA Capital, LLC",9002805
31-DEC-2024,"FOLGER NOLAN FLEMING DOUGLAS CAPITAL MANAGEMENT, INC",1876644
31-DEC-2024,FMB WEALTH MANAGEMENT,878761
31-DEC-2024,"FMA Wealth Management, LLC",237458
31-DEC-2024,"Finer Wealth Management, Inc.",1489158
31-DEC-2024,Firestone Capital Management,288922
31-DEC-2024,"Cypress Capital, LLC",634029
31-DEC-2024,"GHP Investment Advisors, Inc.",370322
31-DEC-2024,"GFS Advisors, LLC",21361000
31-DEC-2024,GFI Investment Counsel Ltd.,254
31-DEC-2024,"GFG Capital, LLC",2597095
31-DEC-2024,"GERBER, LLC",12852248
31-DEC-2024,"GENESIS PRIVATE WEALTH, LLC",583953
31-DEC-2024,GDS Wealth Management,290361
31-DEC-2024,"GC Wealth Management RIA, LLC",1520054
31-DEC-2024,GATEWAY INVESTMENT ADVISERS LLC,205018260
31-DEC-2024,GARDA CAPITAL PARTNERS LP,70672000
31-DEC-2024,"GAMCO INVESTORS, INC. ET AL",6192886
31-DEC-2024,GABLES CAPITAL MANAGEMENT INC.,222516
31-DEC-2024,GABELLI FUNDS LLC,256438
31-DEC-2024,"GABELLI & Co INVESTMENT ADVISERS, INC.",363456
31-DEC-2024,"G2 CAPITAL MANAGEMENT, LLC / OH",1140848
31-DEC-2024,G&S Capital LLC,1003946
31-DEC-2024,Future Fund LLC,336803
31-DEC-2024,Future Financial Wealth Managment LLC,169209
31-DEC-2024,"Fusion Capital, LLC",425647
31-DEC-2024,"Fulton Bank, N.A.",9275800
31-DEC-2024,Fullerton Fund Management Co Ltd.,29769066
31-DEC-2024,"Front Street Capital Management, Inc.",395
31-DEC-2024,Front Row Advisors LLC,181728
31-DEC-2024,"Frisch Financial Group, Inc.",1297
31-DEC-2024,"GG Group Ventures, LLC",317014
31-DEC-2024,GILDER GAGNON HOWE & CO LLC,557431118
31-DEC-2024,Friday Financial,682086
31-DEC-2024,"GILL CAPITAL PARTNERS, LLC",465082
31-DEC-2024,"GS Investments, Inc.",35538
31-DEC-2024,GROUPAMA ASSET MANAGMENT,67025611
31-DEC-2024,GROUP ONE TRADING LLC,1623241341
31-DEC-2024,"GRIMES & COMPANY, INC.",2714321
31-DEC-2024,"GRIFFIN ASSET MANAGEMENT, INC.",3382968
31-DEC-2024,GRIES FINANCIAL LLC,419186
31-DEC-2024,GREENWOOD GEARHART INC,15994083
31-DEC-2024,GREENUP STREET WEALTH MANAGEMENT LLC,10162450
31-DEC-2024,"GREENLEA LANE CAPITAL MANAGEMENT, LLC",33668141
31-DEC-2024,"GREATMARK INVESTMENT PARTNERS, INC.",343264
31-DEC-2024,"GREAT VALLEY ADVISOR GROUP, INC.",14621156
31-DEC-2024,"GREAT OAK CAPITAL PARTNERS, LLC",319825
31-DEC-2024,"GREAT LAKES ADVISORS, LLC",9274380
31-DEC-2024,"GRANDFIELD & DODD, LLC",1161848
31-DEC-2024,"GR FINANCIAL GROUP, LLC",664845
31-DEC-2024,"GPS Wealth Strategies Group, LLC",4823873
31-DEC-2024,GOULD ASSET MANAGEMENT LLC /CA/,218074
31-DEC-2024,"GODSEY & GIBB, INC",688952
31-DEC-2024,"GM Advisory Group, LLC",3812250
31-DEC-2024,GLYNN CAPITAL MANAGEMENT LLC,50884
31-DEC-2024,GLOBALT Investments LLC / GA,4798831
31-DEC-2024,GLENMEDE TRUST CO NA,20833297
31-DEC-2024,"GKV Capital Management Co., Inc.",646144
31-DEC-2024,Friedenthal Financial,795565
31-DEC-2024,Freestone Grove Partners LP,1902086
31-DEC-2024,First Affirmative Financial Network,1466273
31-DEC-2024,"Fortis Capital Advisors, LLC",4129754
31-DEC-2024,Fort Point Capital Partners LLC,5259208
31-DEC-2024,"Formidable Asset Management, LLC",6139176
31-DEC-2024,Fonville Wealth Management LLC,536704
31-DEC-2024,"Foguth Wealth Management, LLC.",2230904
31-DEC-2024,"Focused Wealth Management, Inc",9073368
31-DEC-2024,Focus Partners Wealth,97146342
31-DEC-2024,"Focus Financial Network, Inc.",8802604
31-DEC-2024,Flower City Capital,388091
31-DEC-2024,"Flaharty Asset Management, LLC",398590
31-DEC-2024,Five Oceans Advisors,1957009
31-DEC-2024,"Firsthand Capital Management, Inc.",1211520
31-DEC-2024,First Western Trust Bank,212824
31-DEC-2024,First Pacific Financial,269362
31-DEC-2024,First PREMIER Bank,21
31-DEC-2024,First National Trust Co,17739883
31-DEC-2024,"First National Bank of Mount Dora, Trust Investment Services",332764
31-DEC-2024,"First National Advisers, LLC",2881989
31-DEC-2024,"First Horizon Advisors, Inc.",814141
31-DEC-2024,"First Heartland Consultants, Inc.",2819167
31-DEC-2024,First Financial Group Corp,1074214
31-DEC-2024,First County Bank /CT/,768508
31-DEC-2024,"First Command Advisory Services, Inc.",653817
31-DEC-2024,"First Bancorp, Inc /ME/",160325
31-DEC-2024,Fort Sheridan Advisors LLC,1865704
31-DEC-2024,Fortis Capital Management LLC,9770375
31-DEC-2024,"Freedom Investment Management, Inc.",3005881
31-DEC-2024,"Fortis Group Advisors, LLC",897333
31-DEC-2024,Freedom Financial Partners LLC,797180
31-DEC-2024,"Frazier Financial Advisors, LLC",223732
31-DEC-2024,"Frank, Rimerman Advisors LLC",13759225
31-DEC-2024,"Francis Financial, Inc.",671586
31-DEC-2024,Franchise Capital Ltd,4313011
31-DEC-2024,Fragasso Financial Advisors Inc,1536611
31-DEC-2024,"Fourth Dimension Wealth, LLC",628778
31-DEC-2024,"FourThought Financial Partners, LLC",548467
31-DEC-2024,"Fountainhead AM, LLC",5625491
31-DEC-2024,"Foundry Financial Group, Inc.",205151
31-DEC-2024,"Founders Financial Alliance, LLC",723683
31-DEC-2024,Founders Capital Management,214843
31-DEC-2024,"Foundations Investment Advisors, LLC",14578834
31-DEC-2024,"Foundation Wealth Management, LLC",292239
31-DEC-2024,"Foster Victor Wealth Advisors, LLC",2372620
31-DEC-2024,"Foster Group, Inc.",2060796
31-DEC-2024,"Forvis Mazars Wealth Advisors, LLC",3355103
31-DEC-2024,"Forum Financial Management, LP",22497166
31-DEC-2024,Fortune 45 LLC,1559226
31-DEC-2024,"Fortress Wealth Management, Inc.",711566
31-DEC-2024,"Fortress Financial Solutions, LLC",1180424
31-DEC-2024,"Fortitude Family Office, LLC",351341
31-DEC-2024,Fortitude Advisory Group L.L.C.,1729647
31-DEC-2024,FFT WEALTH MANAGEMENT LLC,858518
31-DEC-2024,"FF Advisors,LLC",411365
31-DEC-2024,"FDx Advisors, Inc.",676
31-DEC-2024,"DiNuzzo Private Wealth, Inc.",348514
31-DEC-2024,Destination Wealth Management,8857423
31-DEC-2024,"Denver PWM, LLC",630799
31-DEC-2024,"Delta Investment Management, LLC",3258989
31-DEC-2024,Delta Global Management LP,7798150
31-DEC-2024,"Delta Financial Group, Inc.",1976
31-DEC-2024,"Delta Accumulation, LLC",260322
31-DEC-2024,"Delos Wealth Advisors, LLC",40384
31-DEC-2024,Defined Financial Planning LLC,207978
31-DEC-2024,"Defender Capital, LLC.",3807000
31-DEC-2024,Decker Retirement Planning Inc.,4531892
31-DEC-2024,"DecisionPoint Financial, LLC",50480
31-DEC-2024,"DecisionMap Wealth Management, LLC",1062503
31-DEC-2024,"Dechtman Wealth Management, LLC",367898
31-DEC-2024,"Decatur Capital Management, Inc.",6374614
31-DEC-2024,"DeDora Capital, Inc.",7772305
31-DEC-2024,"Davis Investment Partners, LLC",270002
31-DEC-2024,Davis Capital Management,30288
31-DEC-2024,"Davies Financial Advisors, Inc.",1079060
31-DEC-2024,"Davidson Kahn Capital Management, LLC",1812434
31-DEC-2024,Davidson Capital Management Inc.,12923
31-DEC-2024,David J Yvars Group,472089
31-DEC-2024,Dash Acquisitions Inc.,712979
31-DEC-2024,Darden Wealth Group Inc,894505
31-DEC-2024,"Destiny Wealth Partners, LLC",3815884
31-DEC-2024,"Diligent Investors, LLC",2825693
31-DEC-2024,"Dana Investment Advisors, Inc.",1259981
31-DEC-2024,"Discipline Wealth Solutions, LLC",401013
31-DEC-2024,EDMOND DE ROTHSCHILD HOLDING S.A.,6154080
31-DEC-2024,EDGEWOOD MANAGEMENT LLC,399398
31-DEC-2024,ECLECTIC ASSOCIATES INC /ADV,1153771
31-DEC-2024,EASTERN BANK,26974897
31-DEC-2024,EARNEST PARTNERS LLC,628375
31-DEC-2024,"E Fund Management (Hong Kong) Co., Ltd.",48
31-DEC-2024,Dynamic Technology Lab Private Ltd,2201000
31-DEC-2024,"Dunhill Financial, LLC",726562
31-DEC-2024,"Duncan Williams Asset Management, LLC",632010
31-DEC-2024,"Drucker Wealth 3.0, LLC",722702
31-DEC-2024,Driehaus Capital Management LLC,837564
31-DEC-2024,"Draper Asset Management, LLC",14536025
31-DEC-2024,"Drake & Associates, LLC",297252
31-DEC-2024,"Douglass Winthrop Advisors, LLC",5978044
31-DEC-2024,Dougherty Wealth Advisers LLC,222112
31-DEC-2024,"Donor Advised Charitable Giving, Inc.",3144702
31-DEC-2024,"Dominguez Wealth Management Solutions, Inc.",270573
31-DEC-2024,"Dodds Wealth, LLC",231631
31-DEC-2024,"Diversify Advisory Services, LLC",12696254
31-DEC-2024,Diversified Trust Co,21472576
31-DEC-2024,"Diversified Enterprises, LLC",1071791
31-DEC-2024,"Disciplined Investors, L.L.C.",338377
31-DEC-2024,"Disciplined Equity Management, Inc.",173652
31-DEC-2024,"Daner Wealth Management, LLC",222556
31-DEC-2024,Dale Q Rice Investment Management Ltd,6328980
31-DEC-2024,FCG Investment Co,520550
31-DEC-2024,DIMENSION CAPITAL MANAGEMENT LLC,492899
31-DEC-2024,"DGS Capital Management, LLC",2335811
