PERMNO,date,NAMEENDT,SHRCD,TICKER,COMNAM,SHRCLS,TSYMBOL,PRIMEXCH,PERMCO,RCRDDT,ACPERM,ACCOMP,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,NUMTRD,RETX
10107,2020-01-02,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,158.33000,160.73000,160.62000,22610236,0.018516,160.70000,160.73000,158.78000,177688,0.018516
10107,2020-01-03,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,158.06000,159.94501,158.62000,21099013,-0.012452,158.59000,158.60001,158.32001,168785,-0.012452
10107,2020-01-06,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,156.50999,159.10001,159.03000,21156101,0.002585,159.02000,159.03000,157.08000,151702,0.002585
10107,2020-01-07,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,157.32001,159.67000,157.58000,21844325,-0.009118,157.57001,157.59000,159.32001,169629,-0.009118
10107,2020-01-08,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,157.94910,160.80000,160.09000,27722052,0.015928,160.13000,160.14000,158.92999,201189,0.015928
10107,2020-01-09,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,161.03000,162.21500,162.09000,21375474,0.012493,162.08000,162.11000,161.83501,163170,0.012493
10107,2020-01-10,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,161.17999,163.22000,161.34000,20709064,-0.004627,161.30000,161.33000,162.82401,161616,-0.004627
10107,2020-01-13,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,161.25999,163.31000,163.28000,21611045,0.012024,163.28000,163.28999,161.75999,157259,0.012024
10107,2020-01-14,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,161.72000,163.60001,162.13000,23469298,-0.007043,162.14000,162.14999,163.39000,178136,-0.007043
10107,2020-01-15,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,162.57001,163.94000,163.17999,21377516,0.006476,163.28000,163.28999,162.62000,168695,0.006476
10107,2020-01-16,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,164.03000,166.24001,166.17000,23832244,0.018323,166.20000,166.21001,164.35001,170457,0.018323
10107,2020-01-17,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,165.42999,167.46750,167.10001,34329131,0.005597,167.00999,167.06000,167.42000,203505,0.005597
10107,2020-01-21,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,166.42999,168.19000,166.50000,29508859,-0.003591,166.49001,166.52000,166.67999,183141,-0.003591
10107,2020-01-22,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,165.67999,167.49001,165.70000,24078931,-0.004805,165.67999,165.70000,167.39999,182972,-0.004805
10107,2020-01-23,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,165.27000,166.80000,166.72000,19641745,0.006156,166.72000,166.73000,166.19000,136232,0.006156
10107,2020-01-24,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,164.45000,167.53000,165.03999,24874100,-0.010077,165.02000,165.03999,167.50999,199829,-0.010077
10107,2020-01-27,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,160.20000,163.37500,162.28000,32041875,-0.016723,162.25999,162.27000,161.14999,242693,-0.016723
10107,2020-01-28,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,163.07300,165.75500,165.46001,24869337,0.019596,165.46001,165.47000,163.78000,174379,0.019596
10107,2020-01-29,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,165.69000,168.75000,168.03999,35087464,0.015593,168.17999,168.19000,167.84000,281738,0.015593
10107,2020-01-30,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,170.78999,174.05000,172.78000,51495353,0.028208,172.73000,172.75000,174.05000,411305,0.028208
