Date,Close/Last,Volume,Open,High,Low
06/30/2025,$204.64,4350789,$201.24,$204.91,$201.02
06/27/2025,$200.57,5346395,$202.34,$203.26,$198.7497
06/26/2025,$202.34,5264863,$204.59,$206.7399,$201.54
06/25/2025,$204.30,3242332,$202.80,$204.81,$202.4772
06/24/2025,$201.69,4951793,$204.00,$204.80,$201.42
06/23/2025,$203.32,4478798,$199.56,$203.87,$196.0001
06/20/2025,$199.24,8289229,$201.05,$201.05,$197.71
06/18/2025,$199.78,3324502,$202.29,$202.885,$198.8801
06/17/2025,$202.05,4132887,$197.99,$202.7488,$197.50
06/16/2025,$198.11,4137994,$196.85,$199.74,$196.85
06/13/2025,$196.27,3818451,$196.37,$199.95,$195.07
06/12/2025,$197.67,4159496,$194.57,$199.3985,$194.31
06/11/2025,$194.39,3462978,$195.71,$197.44,$194.06
06/10/2025,$195.95,2971944,$195.65,$197.0422,$193.60
06/09/2025,$196.33,2566463,$199.04,$199.1956,$196.19
06/06/2025,$199.60,3306209,$199.00,$200.88,$198.20
06/05/2025,$197.11,3549790,$194.11,$199.50,$194.11
06/04/2025,$194.07,3360595,$195.22,$197.25,$193.47
06/03/2025,$197.12,4820893,$195.00,$198.4534,$194.88
06/02/2025,$194.86,4411538,$192.14,$195.29,$191.48
05/30/2025,$192.42,11419740,$187.02,$192.73,$186.725
05/29/2025,$185.82,4499556,$189.00,$189.1475,$182.89
05/28/2025,$187.80,3869008,$187.76,$189.84,$187.47
05/27/2025,$187.46,5331677,$188.67,$189.10,$186.529
05/23/2025,$186.75,4902866,$183.605,$187.65,$183.2201
05/22/2025,$186.14,7613395,$183.01,$187.65,$182.46
05/21/2025,$181.26,19049690,$184.76,$185.30,$178.64
05/20/2025,$194.48,9533438,$194.635,$194.93,$192.66
05/19/2025,$194.30,4419514,$190.49,$194.40,$190.17
05/16/2025,$192.98,4210924,$191.045,$193.7906,$190.91
05/15/2025,$192.90,5460097,$189.79,$194.19,$189.59
05/14/2025,$190.90,5445821,$191.83,$192.2007,$189.425
05/13/2025,$192.00,5556527,$192.725,$195.42,$191.875
05/12/2025,$193.50,4580843,$191.615,$193.665,$189.515
05/09/2025,$186.93,3211041,$188.755,$189.79,$184.64
05/08/2025,$188.53,3677239,$187.69,$188.98,$184.35
05/07/2025,$188.14,3713849,$188.80,$189.31,$186.35
05/06/2025,$188.69,3031903,$186.80,$190.27,$186.02
05/05/2025,$188.13,3804317,$186.00,$190.98,$185.47
05/02/2025,$187.70,3842206,$190.00,$191.6999,$187.27
05/01/2025,$186.27,4627143,$188.64,$189.1623,$186.03
04/30/2025,$186.93,6163155,$184.98,$187.63,$182.3696
04/29/2025,$186.65,5112323,$182.96,$187.31,$182.095
04/28/2025,$181.54,3551869,$178.62,$182.20,$178.09
04/25/2025,$178.98,3536822,$176.49,$179.50,$175.33
04/24/2025,$176.04,4023389,$169.345,$176.45,$169.07
04/23/2025,$168.32,4924435,$168.74,$172.52,$167.33
04/22/2025,$163.63,4005327,$162.46,$165.36,$160.27
04/21/2025,$160.05,4555124,$165.09,$165.95,$157.60
04/17/2025,$167.69,4784631,$171.14,$171.365,$167.13
04/16/2025,$169.76,5405198,$171.535,$173.85,$167.92
04/15/2025,$173.55,4147466,$170.50,$174.94,$169.98
04/14/2025,$169.98,5103311,$171.66,$173.53,$168.68
04/11/2025,$168.34,6302298,$164.735,$168.84,$161.45
04/10/2025,$168.27,6465581,$168.93,$170.66,$162.24
04/09/2025,$173.02,10513470,$151.63,$174.11,$151.63
04/08/2025,$152.53,13716500,$157.715,$161.50,$150.12
04/07/2025,$152.44,9837943,$147.57,$159.5925,$144.145
04/04/2025,$153.57,9000534,$158.96,$160.8411,$153.39
04/03/2025,$165.17,7365360,$165.43,$168.69,$163.19
04/02/2025,$173.18,3371834,$168.27,$174.74,$168.27
04/01/2025,$171.31,4037250,$168.52,$171.89,$166.83
03/31/2025,$170.64,5888637,$169.57,$171.015,$165.8844
03/28/2025,$172.76,6249862,$173.91,$174.885,$170.77
03/27/2025,$174.44,7156303,$182.695,$183.09,$173.56
03/26/2025,$184.96,3412915,$189.67,$191.00,$184.73
03/25/2025,$189.95,5343396,$184.79,$190.10,$184.51
03/24/2025,$184.79,3758128,$186.00,$186.49,$183.86
03/21/2025,$182.32,8565886,$181.72,$183.60,$179.72
03/20/2025,$184.01,4394960,$185.59,$188.854,$183.825
03/19/2025,$187.54,3476804,$183.10,$189.6709,$182.6001
03/18/2025,$183.10,2791036,$182.95,$184.35,$180.9354
03/17/2025,$185.00,3231076,$183.50,$186.16,$182.0051
03/14/2025,$182.34,3563630,$178.87,$183.05,$178.49
03/13/2025,$176.32,3823706,$178.38,$178.77,$174.31
03/12/2025,$179.48,4472826,$183.64,$184.1618,$178.00
03/11/2025,$178.93,5523678,$173.79,$182.39,$172.75
03/10/2025,$173.83,6307400,$177.60,$177.74,$172.6216
03/07/2025,$180.93,4808545,$177.92,$182.00,$173.89
03/06/2025,$179.33,4292597,$180.30,$184.13,$178.541
03/05/2025,$184.28,4539249,$182.45,$185.27,$180.12
03/04/2025,$184.38,5197425,$182.29,$186.5932,$178.90
03/03/2025,$183.68,5120787,$191.50,$193.66,$182.26
02/28/2025,$190.43,5190538,$187.89,$191.01,$187.39
02/27/2025,$187.50,4714068,$191.38,$193.40,$186.695
02/26/2025,$189.55,2645955,$189.37,$192.31,$188.45
02/25/2025,$188.01,5474849,$189.29,$189.735,$184.65
02/24/2025,$190.39,4142275,$191.65,$193.00,$188.00
02/21/2025,$191.03,5457072,$199.12,$199.26,$190.26
02/20/2025,$198.81,5878685,$203.83,$203.97,$194.8272
02/19/2025,$205.19,5626807,$208.19,$208.39,$202.77
02/18/2025,$208.28,9069304,$197.70,$208.35,$197.70
02/14/2025,$200.03,13989020,$191.995,$201.33,$188.75
02/13/2025,$201.88,13222950,$199.16,$202.41,$195.35
02/12/2025,$196.73,4172488,$194.00,$197.33,$191.82
02/11/2025,$195.49,5664775,$198.15,$199.18,$194.40
02/10/2025,$196.40,5113176,$196.50,$198.74,$195.50
02/07/2025,$193.94,6345780,$191.225,$197.66,$191.00
